N	3gram	Tiupa_Anal_2	Psycholo
1	в самом деле	1	18
2	на то что	2	12
3	в том что	6	11
4	и в самом	2	10
5	с точки зрения	2	9
6	то же самое	1	8
7	заключается в том	1	6
8	с одной стороны	4	5
9	с другой стороны	2	5
10	до такой степени	1	3
11	и в этом	4	3
12	и то что	2	3
13	о том что	6	3
14	речь идет о	1	3
15	то и другое	1	3
16	имеет место в	1	2
17	то что с	1	2
18	и во всех	1	2
19	только то что	1	2
20	это имеет место	1	2
21	одно и то	1	2
22	не совпадает с	1	2
23	в данном случае	5	2
24	и то же	1	2
25	в свою очередь	1	2
26	к тому что	1	2
27	в том смысле	1	2
28	более или менее	1	1
29	никак не может	1	1
30	внимание на то	1	1
31	как это имеет	1	1
32	того или иного	3	1
33	я от него	1	1
34	не так уж	1	1
35	человек и в	1	1
36	есть в сущности	1	1
37	в отличие от	2	1
38	в этом отношении	3	1
39	и если бы	1	1
40	можно было бы	2	1
41	с этой точки	1	1
42	то есть на	1	1
43	в применении к	1	1
44	той точки зрения	1	1
45	в противоречие с	1	1
46	такой степени что	1	1
47	тот же самый	1	1
48	в сущности это	1	1
49	не в самом	1	1
50	состоит в том	4	1
51	как один из	1	1
52	автора и читателя	1	1
53	в этом месте	1	1
54	как и на	1	1
55	дело не в	1	1
56	в целом ряде	1	1
57	и если он	1	1
58	но если бы	1	1
59	а между тем	1	1
60	этой точки зрения	1	1
61	в тех случаях	1	1
62	а в том	1	1
63	на две части	1	1
64	том смысле что	1	1
65	как нельзя лучше	1	1
66	не только не	2	1
67	можно сказать что	1	1
68	но и не	1	1
69	не может быть	1	1
70	подобно тому как	3	1
71	к тому же	4	1
72	при этом она	1	1
73	смерти то есть	1	1
74	и тот же	1	1
75	произведения что она	1	1
