N	3gram	Propp_Isto_5	Myslijsy
1	по отношению к	2	8
2	в том что	2	7
3	в этом случае	7	5
4	не может быть	3	5
5	само по себе	1	5
6	о том что	4	5
7	мере того как	1	4
8	по мере того	1	4
9	до сих пор	2	4
10	с тем что	1	4
11	сам по себе	1	4
12	только тогда когда	1	4
13	можно сказать что	1	4
14	на то что	2	4
15	для того чтобы	3	4
16	тем не менее	4	4
17	на самом деле	1	3
18	с точки зрения	1	3
19	вместе с тем	6	3
20	во всяком случае	1	3
21	и т д	18	3
22	и таким образом	2	3
23	то же время	1	3
24	потому что в	1	3
25	в то же	1	3
26	подобно тому как	1	2
27	только в том	1	2
28	в этих случаях	6	2
29	в том смысле	1	2
30	но тем не	1	2
31	в данном случае	2	2
32	не в том	1	2
33	на вопрос почему	1	2
34	таким образом мы	2	2
35	после того как	3	2
36	что и в	2	2
37	вопрос о том	1	2
38	другими словами мы	1	1
39	мы это увидим	1	1
40	тем что знание	1	1
41	говорит так как	1	1
42	а не в	1	1
43	но так как	2	1
44	что перед нами	1	1
45	общее достояние всех	1	1
46	там где еще	1	1
47	в том числе	1	1
48	о том как	2	1
49	а потом и	1	1
50	и не только	1	1
51	смысле в каком	1	1
52	в виду что	1	1
53	а именно на	1	1
54	никогда не были	1	1
55	ее и тем	1	1
56	но и в	2	1
57	можно сделать из	1	1
58	это показывает что	2	1
59	бы мы не	1	1
60	точно так же	1	1
61	и здесь мы	1	1
62	другой стороны в	1	1
63	большую роль в	1	1
64	что все это	1	1
65	главным образом в	1	1
66	уже после того	2	1
67	не может считаться	1	1
68	и потому не	1	1
69	выше мы видели	1	1
70	в это время	2	1
71	играет ту же	1	1
72	и многие другие	1	1
73	здесь мы имеем	3	1
74	может быть не	1	1
75	если бы мы	2	1
76	мы не знаем	2	1
77	что может быть	1	1
78	этом случае мы	1	1
79	с одной стороны	7	1
80	таким образом развитие	1	1
81	в связи с	4	1
82	выводы можно сделать	1	1
83	в свою очередь	1	1
84	только после того	1	1
85	носит в себе	1	1
86	так как человек	1	1
87	в одно целое	1	1
88	с другой стороны	8	1
89	общества и его	1	1
90	том смысле в	1	1
91	не менее можно	1	1
92	т д то	1	1
93	и в таком	1	1
94	образом мы видим	1	1
95	же роль что	1	1
96	это было бы	1	1
97	таким образом в	1	1
98	иметь в виду	1	1
99	на наших глазах	1	1
100	менее можно сказать	1	1
101	в то время	1	1
102	в том чтобы	2	1
103	и вместе с	2	1
104	с самого начала	1	1
105	в ту же	1	1
106	том числе и	1	1
107	причин по которым	1	1
108	не теряет своей	1	1
109	они могут быть	1	1
110	дело не в	1	1
111	то же что	1	1
112	что у царя	1	1
113	как и в	2	1
114	ту же роль	1	1
115	мы видели что	2	1
