N	2gram	Losev_Dial_2	VLabPisa
1	таким образом	4	27
2	в этом	8	26
3	и в	19	25
4	и т	17	24
5	не только	19	22
6	может быть	20	21
7	хотя бы	4	20
8	и не	30	19
9	не может	9	17
10	т е	30	17
11	т д	15	15
12	в его	1	15
13	этом отношении	1	13
14	в том	14	13
15	прежде всего	8	13
16	в частности	2	12
17	как это	7	12
18	все это	4	12
19	в силу	5	11
20	с другой	5	11
21	из них	3	11
22	не могут	4	10
23	о том	5	10
24	представляет собою	1	10
25	то же	12	9
26	что в	7	9
27	об этом	3	9
28	т п	2	9
29	но и	12	9
30	и др	1	9
31	в своем	4	8
32	все эти	2	8
33	другой стороны	4	8
34	могут быть	4	8
35	во всех	2	7
36	из этих	1	7
37	было бы	3	7
38	как и	10	7
39	том что	10	7
40	говорит о	1	7
41	не было	3	7
42	а не	16	7
43	вместе с	2	7
44	же в	2	7
45	это и	3	6
46	в зависимости	2	6
47	более или	2	6
48	в себе	15	6
49	в нем	10	6
50	главным образом	1	6
51	это не	10	6
52	или менее	2	6
53	их в	2	6
54	и его	5	6
55	в то	6	6
56	так и	10	6
57	в порядке	1	6
58	между тем	2	6
59	бы и	2	6
60	у него	1	6
61	то что	14	6
62	и есть	4	5
63	действительности и	1	5
64	в их	2	5
65	зависимости от	2	5
66	очевидно что	2	5
67	все же	4	5
68	и при	2	5
69	не в	8	5
70	тому что	2	5
71	же время	5	5
72	связи с	4	5
73	приводит к	1	5
74	как бы	14	5
75	в результате	2	5
76	сказать что	10	5
77	только в	5	5
78	в искусстве	2	5
79	их и	1	4
80	в этой	3	4
81	перед нами	2	4
82	когда он	1	4
83	в самом	5	4
84	в целом	1	4
85	что все	1	4
86	в них	1	4
87	даже в	3	4
88	одна из	1	4
89	никогда не	9	4
90	вот почему	1	4
91	к тому	2	4
92	должен быть	1	4
93	в ее	4	4
94	это только	3	4
95	познания и	1	4
96	можно сказать	5	4
97	и подобных	1	4
98	с ними	2	4
99	что он	6	4
100	в одном	4	4
101	как раз	5	4
102	в связи	4	4
103	равно как	1	4
104	в своей	8	4
105	например в	2	3
106	человека и	2	3
107	в котором	1	3
108	его не	2	3
109	и он	1	3
110	но как	5	3
111	явлений и	2	3
112	нет и	1	3
113	что они	6	3
114	с этим	3	3
115	и как	10	3
116	и к	7	3
117	в противоположность	2	3
118	всех этих	3	3
119	и по	4	3
120	говорить не	1	3
121	его в	3	3
122	далеко не	1	3
123	что не	6	3
124	с тем	2	3
125	во время	2	3
126	точки зрения	12	3
127	и ее	1	3
128	как о	1	3
129	это мы	2	3
130	плана и	1	3
131	она не	8	3
132	том как	2	3
133	образом в	1	3
134	в виду	5	3
135	что и	5	3
136	говорит в	1	3
137	того что	6	3
138	большей или	1	3
139	и образы	2	3
140	или меньшей	1	3
141	является не	1	3
142	рассудок и	1	3
143	и их	3	3
144	даже и	1	3
145	момент в	2	3
146	в конце	2	3
147	что пишет	1	3
148	именно в	2	3
149	мы знаем	1	3
150	так же	2	3
151	по существу	1	3
152	при всем	1	3
153	и от	3	3
154	или в	2	3
155	только что	5	3
156	жизни и	6	3
157	как на	1	3
158	ее в	2	3
159	смысле слова	1	2
160	частности к	1	2
161	как известно	2	2
162	также что	2	2
163	также и	2	2
164	чтобы не	6	2
165	связана с	2	2
166	он может	2	2
167	и процессов	1	2
168	уже по	1	2
169	по его	1	2
170	мы имеем	3	2
171	же как	3	2
172	в которой	2	2
173	на эти	1	2
174	говорить о	5	2
175	но даже	1	2
176	то это	2	2
177	в ней	2	2
178	еще не	4	2
179	например у	1	2
180	в различных	1	2
181	в чем	3	2
182	но не	6	2
183	если в	2	2
184	в общем	2	2
185	отнюдь не	6	2
186	стороны и	1	2
187	и слова	3	2
188	но в	2	2
189	с нею	3	2
190	очень многие	1	2
191	он в	1	2
192	как он	4	2
193	что она	14	2
194	три года	1	2
195	после этого	3	2
196	он не	4	2
197	у пушкина	2	2
198	подобно тому	1	2
199	я бы	1	2
200	в каждом	2	2
201	в другом	4	2
202	говорил что	2	2
203	заключается в	4	2
204	в жизни	2	2
205	только о	2	2
206	одному тому	1	2
207	не всегда	1	2
208	между собою	3	2
209	года и	1	2
210	что такое	3	2
211	могут не	1	2
212	всяком случае	2	2
213	знаем что	1	2
214	и значит	1	2
215	от его	1	2
216	по крайней	9	2
217	по себе	18	2
218	можно ли	3	2
219	не менее	3	2
220	тогда когда	6	2
