N	2gram	Medvedev_B_1	KulturaY
1	и в	1	23
2	не только	1	20
3	и не	2	16
4	было бы	1	15
5	у нас	3	12
6	в области	1	11
7	а не	1	10
8	что в	1	10
9	вопрос о	1	9
10	можно было	2	9
11	прежде всего	1	8
12	с другой	1	8
13	все же	1	7
14	другой стороны	1	7
15	и на	1	6
16	по крайней	1	6
17	крайней мере	1	6
18	в речи	1	6
19	еще не	1	5
20	не следует	1	5
21	должна быть	1	5
22	что все	1	5
23	об этом	1	5
24	всяком случае	1	5
25	все это	2	5
26	таким образом	1	5
27	во всяком	1	5
28	говорить о	1	4
29	в данном	1	4
30	отнюдь не	1	4
31	так и	1	4
32	и о	1	4
33	в пределах	1	4
34	не было	1	4
35	не все	1	3
36	всего в	1	3
37	в ней	2	3
38	никак не	1	3
39	до конца	1	3
40	совершенно не	1	3
41	также что	1	2
42	и потому	1	2
43	на самом	1	2
44	меньше чем	1	2
45	не то	2	2
46	в своей	1	2
47	установка на	1	2
48	и более	1	2
49	следовало бы	1	2
50	выходит за	1	2
51	как будто	1	2
52	будто бы	1	2
53	кроме того	1	1
54	стиля и	1	1
55	бы только	1	1
56	далеко не	1	1
57	вместе взятое	1	1
58	творчества и	1	1
59	следует конечно	1	1
60	значительной степени	1	1
61	то как	1	1
62	в научном	1	1
63	в эпоху	1	1
64	своей книге	1	1
65	в значительной	1	1
66	бы больше	1	1
67	одной из	1	1
68	так по	1	1
69	говорить об	1	1
70	с западными	1	1
71	функцией в	1	1
72	и полнее	1	1
73	узко и	1	1
74	в книге	1	1
75	выпадают из	1	1
76	тем более	1	1
77	между ними	1	1
