N	2gram	Medvedev_F_1	VLabPisa
1	таким образом	13	27
2	в этом	15	26
3	и в	24	25
4	и т	12	24
5	не только	7	22
6	может быть	14	21
7	хотя бы	5	20
8	и не	20	19
9	художественного творчества	1	18
10	не может	16	17
11	т е	34	17
12	т д	8	15
13	в его	23	15
14	в процессе	9	14
15	этом отношении	1	13
16	в том	6	13
17	прежде всего	22	13
18	в частности	4	12
19	как это	6	12
20	все это	9	12
21	в силу	1	11
22	с другой	5	11
23	из них	1	11
24	в художественном	3	10
25	не могут	1	10
26	то же	10	9
27	что в	4	9
28	для него	3	9
29	т п	4	9
30	но и	7	9
31	и др	5	9
32	к этому	1	9
33	в своем	11	8
34	реальной действительности	1	8
35	ни один	1	8
36	все эти	6	8
37	не следует	1	8
38	другой стороны	1	8
39	могут быть	1	8
40	в году	2	7
41	во всех	5	7
42	по отношению	4	7
43	из этих	1	7
44	было бы	6	7
45	как и	11	7
46	том что	1	7
47	произведения в	8	7
48	творчества в	1	7
49	произведения и	8	7
50	не было	3	7
51	а не	10	7
52	вместе с	2	7
53	же в	3	7
54	отношению к	4	7
55	художественного произведения	23	6
56	это и	3	6
57	в зависимости	2	6
58	более или	6	6
59	в себе	3	6
60	в нем	14	6
61	главным образом	4	6
62	это не	2	6
63	или менее	6	6
64	и его	10	6
65	в то	9	6
66	так и	18	6
67	между тем	2	6
68	бы и	1	6
69	у него	1	6
70	в основном	3	6
71	то что	8	6
72	и есть	1	5
73	действительности и	3	5
74	в их	11	5
75	зависимости от	3	5
76	все же	3	5
77	в пределах	6	5
78	не в	8	5
79	тому что	1	5
80	же время	8	5
81	связи с	3	5
82	на основе	6	5
83	приводит к	2	5
84	произведения как	2	5
85	один из	3	5
86	художника и	1	5
87	как бы	6	5
88	не является	1	5
89	в результате	2	5
90	сказать что	1	5
91	только в	2	5
92	в искусстве	5	5
93	художественном произведении	3	4
94	с его	4	4
95	в этой	6	4
96	чем же	2	4
97	вот как	1	4
98	перед нами	1	4
99	когда он	3	4
100	в самом	5	4
101	в целом	6	4
102	в статье	1	4
103	в них	3	4
104	одна из	2	4
105	никогда не	4	4
106	к тому	3	4
107	должен быть	5	4
108	в ее	8	4
109	познания и	4	4
110	можно сказать	1	4
111	его элементах	1	4
112	и подобных	1	4
113	подобных им	1	4
114	что он	3	4
115	в единстве	7	4
116	в одном	2	4
117	он работал	1	4
