N	3gram	Nazirov_Tr_1	Sovremen
1	не может быть	1	4
2	с самого начала	1	3
3	тем не менее	1	2
4	во всяком случае	1	2
5	в отличие от	2	2
6	и в этом	1	1
7	не могут быть	1	1
8	но это уже	1	1
9	в связи с	1	1
10	для чего же	1	1
11	всего необходимо отметить	1	1
12	что при таком	1	1
13	в этом случае	1	1
14	в скрытом виде	1	1
15	и все же	1	1
16	то же время	5	1
17	необходимо отметить что	1	1
18	что в ней	1	1
19	прежде всего необходимо	1	1
20	и не может	1	1
21	в самом деле	1	1
22	но все же	2	1
23	сводится только к	1	1
24	в то же	5	1
25	это как бы	1	1
26	в том что	2	1
27	в данном случае	2	1
28	может быть в	1	1
29	в обоих случаях	1	1
30	в первом же	1	1
