N	3gram	Vinokur_Ku_2	Hudozhes
1	в отличие от	2	7
2	то же время	3	6
3	в то же	3	6
4	с другой стороны	7	5
5	в том что	10	5
6	состоит в том	1	4
7	с точки зрения	8	3
8	в конечном счете	2	3
9	тем не менее	5	3
10	того или иного	2	3
11	можно сказать что	2	3
12	в этом смысле	5	3
13	в данный момент	1	2
14	в том и	1	2
15	тот или иной	1	2
16	но он не	1	2
17	в противном случае	1	2
18	в значительной степени	1	2
19	с одной стороны	1	2
20	так или иначе	2	2
21	приводит к тому	1	2
22	в свою очередь	2	2
23	а на деле	1	2
24	для того чтобы	8	2
25	тем или иным	1	2
26	к тому что	1	2
27	в силу своей	1	2
28	и прежде всего	1	2
29	сама по себе	1	2
30	я думаю что	1	1
31	что иное как	1	1
32	в виду не	1	1
33	иметь в виду	1	1
34	а не с	1	1
35	в виду что	1	1
36	прежде всего в	1	1
37	могла бы послужить	1	1
38	в настоящее время	1	1
39	точки зрения в	3	1
40	в этом случае	2	1
41	может быть это	1	1
42	том случае если	2	1
43	в зависимости от	4	1
44	в таких случаях	2	1
45	в иных случаях	1	1
46	можно говорить о	1	1
47	что он не	1	1
48	бы то ни	1	1
49	сказать что для	1	1
50	виду не только	1	1
51	вследствие того что	1	1
52	только то что	1	1
53	состоит не в	1	1
54	в последние десятилетия	1	1
55	том или ином	1	1
56	точно так же	3	1
57	нашем языковом сознании	1	1
58	с этой точки	2	1
59	по крайней мере	6	1
60	то или иное	2	1
61	в том случае	2	1
62	может быть и	1	1
63	из уст в	1	1
64	как будто по	1	1
65	не только такие	1	1
66	если мы имеем	1	1
67	едва ли не	1	1
68	в одном и	1	1
69	здесь сводится к	1	1
70	то ни было	1	1
71	к вопросу о	2	1
72	и том же	1	1
73	не более чем	1	1
74	в той мере	1	1
75	и потому что	2	1
76	в известном смысле	1	1
77	не могут быть	1	1
78	и в этой	1	1
79	это своего рода	1	1
80	в том или	1	1
81	и характерное для	1	1
82	в связи с	3	1
83	по содержанию своему	1	1
84	как впрочем и	1	1
85	в нашем языковом	1	1
86	в первую очередь	1	1
87	на этом пути	1	1
88	так же как	2	1
89	и в том	2	1
90	уст в уста	1	1
91	в свое время	2	1
92	в то время	1	1
93	есть не что	1	1
94	о том что	1	1
95	этой точки зрения	2	1
96	и в самом	2	1
97	того что составляет	1	1
98	речь идет о	1	1
99	они ни были	1	1
100	мере в какой	1	1
101	может и не	1	1
102	в данном отношении	2	1
103	говорить о разных	1	1
104	не что иное	1	1
105	той мере в	1	1
106	тех или иных	1	1
107	в узком и	1	1
108	эти могут быть	1	1
109	одном и том	1	1
110	дело не в	2	1
111	в соответствии с	2	1
112	не может быть	4	1
113	как и в	1	1
114	к тому же	1	1
115	которая выше была	1	1
