N	3gram	Tiupa_Lite_3	Vladivir
1	в том что	4	9
2	в связи с	1	8
3	тем не менее	1	6
4	и то что	1	5
5	содержит в себе	1	4
6	более или менее	1	3
7	с точки зрения	3	3
8	в последний год	1	3
9	в отличие от	5	3
10	в то же	7	3
11	так или иначе	2	3
12	то же время	7	3
13	о том что	4	3
14	хотя и не	1	2
15	не говоря уже	4	2
16	на то что	2	2
17	говоря уже о	3	2
18	в данном случае	4	2
19	в том чтобы	2	2
20	не только в	2	2
21	так и не	1	2
22	в свою очередь	1	2
23	во второй половине	1	2
24	что иное как	1	1
25	жизни и человек	1	1
26	к бытию в	1	1
27	и в частности	2	1
28	духовного общения людей	1	1
29	в том числе	3	1
30	что несмотря на	1	1
31	вот в чем	1	1
32	сам он в	1	1
33	по существу своему	1	1
34	а также в	1	1
35	бы то ни	2	1
36	у него не	1	1
37	при этом в	1	1
38	в этом отношении	5	1
39	то что в	1	1
40	на нее и	1	1
41	почти никогда не	1	1
42	в году он	1	1
43	вместе с тем	1	1
44	и тем не	1	1
45	в самом начале	1	1
46	по существу это	1	1
47	как и следовало	1	1
48	было бы и	1	1
49	соловьева с его	1	1
50	в первую очередь	1	1
51	и наконец в	1	1
52	и в том	1	1
53	не может быть	3	1
54	то что я	2	1
55	ничего общего с	1	1
56	не может оставаться	1	1
57	еще в году	1	1
58	содержат в себе	1	1
59	в чем дело	1	1
60	в самом деле	2	1
61	но это не	1	1
62	не что иное	1	1
63	чем он сам	1	1
64	это не только	1	1
65	для того чтобы	1	1
66	может быть в	1	1
67	того чтобы стать	1	1
68	к тому же	5	1
69	и следовало ожидать	1	1
