N	2gram	Bakhtin_sl_2	KFilosof
1	может быть	37	43
2	в его	7	39
3	в нем	19	31
4	не может	20	27
5	и не	22	26
6	по отношению	4	25
7	и в	39	22
8	в себе	2	21
9	отношению к	4	21
10	и его	33	17
11	а не	14	17
12	только в	5	16
13	в этом	16	13
14	точки зрения	8	13
15	и это	1	12
16	но не	6	12
17	ни в	4	12
18	для него	7	12
19	все эти	6	11
20	в своей	1	11
21	не в	9	11
22	к нему	3	11
23	и единственного	2	11
24	во всех	12	10
25	в едином	1	10
26	в своем	6	10
27	это не	5	10
28	с точки	3	10
29	все это	16	10
30	из себя	3	10
31	и есть	1	9
32	в их	2	9
33	в целом	1	9
34	для нее	1	9
35	его целом	1	9
36	но и	21	9
37	как бы	7	9
38	и для	5	9
39	и все	5	9
40	момент его	1	8
41	лишь в	3	8
42	мир в	1	8
43	единого и	2	8
44	не было	2	8
45	жизни и	6	8
46	то что	2	7
47	во всем	4	7
48	должен быть	2	7
49	в себя	2	7
50	и здесь	2	7
51	что и	3	7
52	себя в	8	7
53	конечно не	5	7
54	вовсе не	10	7
55	быть только	1	7
56	момент в	1	6
57	менее всего	2	6
58	отношение к	4	6
59	отнюдь не	1	6
60	мира в	1	6
61	он не	2	6
62	не значит	1	6
63	но лишь	2	6
64	смысл и	2	6
65	в мире	1	6
66	и только	1	6
67	и действительно	1	6
68	уже не	5	6
69	и их	5	6
70	но это	3	6
71	в смысле	4	6
72	в том	5	6
73	но как	2	5
74	все же	6	5
75	но в	6	5
76	не только	24	5
77	то же	4	5
78	но все	5	5
79	его в	4	5
80	как и	6	5
81	должно быть	1	5
82	от его	1	5
83	но эта	2	5
84	никогда не	7	5
85	и единственный	2	5
86	с ним	7	5
87	именно в	2	5
88	его как	2	5
89	там где	6	5
90	в контексте	3	5
91	в основе	4	5
92	хотя бы	3	5
93	жизни в	2	5
94	не знает	2	5
95	ко всему	1	5
96	проникает в	2	4
97	быть в	1	4
98	в чем	3	4
99	при этом	7	4
100	время и	1	4
101	мне в	1	4
102	бы быть	1	4
103	входит в	4	4
104	место в	1	4
105	к ним	1	4
106	чем не	2	4
107	о нем	2	4
108	с ними	5	4
109	мира и	5	4
110	между тем	3	4
111	во всей	1	4
112	нисколько не	1	4
113	единая и	1	4
114	в одном	2	4
115	вне ее	1	4
116	том что	5	4
117	для нас	5	4
118	а в	4	4
119	только как	1	4
120	что в	3	4
121	в своих	1	4
122	должна быть	3	3
123	для которого	1	3
124	и этот	1	3
125	предмета в	1	3
126	мы не	2	3
127	это единство	1	3
128	слово не	1	3
129	в ней	3	3
130	еще не	7	3
131	и на	4	3
132	должен мыслить	1	3
133	тем как	1	3
134	но конечно	1	3
135	а следовательно	1	3
136	независимо от	2	3
137	и этим	1	3
138	бы и	3	3
139	всех этих	4	3
140	для того	2	3
141	в корне	1	3
142	из него	2	3
143	всех своих	1	3
144	людей и	2	3
145	в каждом	1	3
146	в другом	2	3
147	себя не	1	3
148	рядом с	3	3
149	не менее	4	3
150	тогда когда	2	3
151	ничего не	1	3
152	ибо все	1	3
153	могут быть	7	3
154	здесь не	4	3
155	единый и	3	3
156	культуры и	1	3
157	здесь нет	1	3
158	с человеком	1	3
159	но здесь	4	3
160	в виду	1	3
161	лишь при	2	3
162	о том	2	3
163	того или	1	3
164	ним и	2	3
165	нем и	2	3
