N	2gram	Medvedev_V_1	Literetu
1	и не	1	22
2	и в	2	16
3	в этом	1	14
4	в том	2	12
5	в частности	1	11
6	то же	1	9
7	том что	2	8
8	только в	1	7
9	в другом	1	6
10	и его	1	6
11	именно в	1	5
12	по существу	1	4
13	самом деле	1	3
14	потому что	1	3
15	все время	1	3
16	ни к	1	3
17	в самом	1	3
18	я не	1	2
19	время в	1	2
20	далеко не	1	2
21	а.н веселовского	2	2
22	в конце	2	2
23	и только	1	2
24	к этому	1	2
25	и то	1	1
26	бы уже	1	1
27	хотел сказать	1	1
28	говорится в	1	1
29	в их	1	1
30	сейчас все	1	1
31	но это	1	1
32	в устах	1	1
33	в книге	3	1
34	значительной степени	1	1
35	так в	1	1
36	на заре	1	1
37	имеется в	1	1
38	другом месте	1	1
39	и т.д	1	1
40	столь же	1	1
41	в значительной	1	1
42	по своим	1	1
43	жизнь их	1	1
44	так как	1	1
45	даже не	1	1
46	за свою	1	1
47	все это	1	1
48	этом и	1	1
49	хотя бы	1	1
