N	2gram	Ircho_Kome_2	Sovremen
1	не может	3	17
2	может быть	11	12
3	точки зрения	4	12
4	таким образом	6	11
5	мы не	2	9
6	в каждом	3	8
7	в этом	10	7
8	и в	26	7
9	мы можем	3	6
10	ничего не	1	6
11	как и	4	6
12	и не	14	6
13	в результате	1	6
14	все эти	1	5
15	что же	1	5
16	прежде всего	4	5
17	с точки	1	5
18	вопрос о	3	4
19	нет и	2	4
20	в том	11	4
21	в целом	4	4
22	если мы	1	4
23	из них	7	4
24	же это	1	4
25	так как	4	4
26	мы видели	1	4
27	не только	7	4
28	в развитии	2	4
29	с помощью	1	4
30	как бы	2	4
31	вместе с	9	4
32	это не	2	4
33	их в	1	4
34	а в	3	4
35	жизни и	3	4
36	в первом	2	3
37	с самого	2	3
38	на две	1	3
39	то же	3	3
40	ясно что	8	3
41	но мы	1	3
42	между собой	1	3
43	в два	1	3
44	отнюдь не	2	3
45	все же	4	3
46	еще не	6	3
47	но в	3	3
48	в этой	3	3
49	в себе	1	3
50	уже в	4	3
51	как он	3	3
52	что она	2	3
53	в одном	2	3
54	в конце	2	3
55	в нем	6	3
56	из двух	1	3
57	и мы	1	3
58	было бы	8	3
59	а не	1	3
60	так называемых	2	3
61	не в	2	3
62	все это	3	3
63	самого начала	1	3
64	при таком	1	3
65	одна из	2	3
66	для нас	3	3
67	и все	2	3
68	в системе	1	3
69	у нас	1	3
70	и к	2	3
71	отличается от	1	3
72	следующим образом	1	3
73	в области	1	3
74	как известно	2	2
75	как мы	4	2
76	свою очередь	1	2
77	жизни мы	1	2
78	и есть	2	2
79	тем же	1	2
80	приводит к	1	2
81	роль в	2	2
82	той же	3	2
83	времени и	1	2
84	в и	1	2
85	каждого из	1	2
86	на этом	2	2
87	для его	1	2
88	и даже	1	2
89	говорить о	2	2
90	и что	2	2
91	и во	2	2
92	самом деле	1	2
93	в которую	1	2
94	говорить об	1	2
95	в его	4	2
96	с совершенно	1	2
97	и будет	1	2
98	с этим	5	2
99	возможность развития	1	2
100	в самом	4	2
101	по мнению	1	2
102	в которой	5	2
103	что это	4	2
104	в нашем	2	2
105	из этих	4	2
106	тот или	1	2
107	с одной	2	2
108	ни одна	2	2
109	и они	1	2
110	то и	1	2
111	с другом	2	2
112	на его	1	2
113	тем не	1	2
114	мы знаем	3	2
115	всяком случае	2	2
116	у него	4	2
117	отличие от	2	2
118	ее на	1	2
119	но все	3	2
120	то ни	2	2
121	или иной	1	2
122	а на	2	2
123	на этот	4	2
124	которой он	1	2
125	в один	2	2
126	из которых	3	2
127	в отличие	2	2
