N	3gram	Vinokur_St_2	Dialekti
1	и т д	6	15
2	с точки зрения	2	9
3	в том что	16	9
4	то же время	1	6
5	в то же	1	6
6	для того чтобы	5	5
7	в этом смысле	1	4
8	не в том	2	4
9	ни в каком	1	4
10	не говоря уже	1	3
11	говоря уже о	1	3
12	того что именно	1	3
13	и в этом	2	3
14	на то что	2	3
15	в чем же	1	2
16	имеет ничего общего	1	2
17	т е не	1	2
18	сам по себе	1	2
19	не имеет никакого	1	2
20	точно так же	1	2
21	уже о том	1	2
22	т е в	1	2
23	ничего общего с	1	2
24	иметь в виду	3	2
25	по сравнению с	1	2
26	в свою очередь	1	2
27	не имеет ничего	1	2
28	тем не менее	2	2
29	внимание что это	1	1
30	не говорят не	1	1
31	в обоих случаях	1	1
32	что в этом	1	1
33	о том кто	1	1
34	только потому что	2	1
35	и пр но	1	1
36	дело в том	4	1
37	каком смысле не	1	1
38	не является ли	1	1
39	и не содержать	1	1
40	он не может	1	1
41	не могли быть	1	1
42	именно в этом	1	1
43	в зависимости от	1	1
44	в той же	1	1
45	в том понимании	1	1
46	в отличие от	2	1
47	и именно в	1	1
48	с тем что	2	1
49	но я не	1	1
50	на свете и	1	1
51	вы говорите что	1	1
52	и вообще не	1	1
53	в это время	2	1
54	во внимание что	1	1
55	в данном случае	1	1
56	я не стану	1	1
57	в конце концов	1	1
58	никаких сомнений в	1	1
59	как и вообще	1	1
60	так или иначе	1	1
61	своем отношении к	1	1
62	что он сам	1	1
63	в связи с	1	1
64	в виду что	1	1
65	я не могу	1	1
66	и на этом	1	1
67	не входя в	1	1
68	говорите что я	1	1
69	не мог не	1	1
70	лежащий в основе	1	1
71	то обстоятельство что	4	1
72	имел в виду	1	1
73	в этом случае	1	1
74	о том что	11	1
75	и вместе с	1	1
76	не только не	2	1
77	как бы ни	1	1
78	ни о каком	1	1
79	вопрос о том	3	1
80	речь идет о	3	1
81	но все же	2	1
82	нужно сказать что	1	1
83	с другой стороны	3	1
84	судить о том	1	1
85	в каком смысле	1	1
86	в свете этой	1	1
87	после того как	4	1
88	в отношении к	1	1
89	но также и	1	1
90	надо иметь в	1	1
91	поскольку речь идет	1	1
92	и в области	1	1
