N	4gram	Vygotskiy__4	Morfolog
1	в то время как	1	2
2	в собственном смысле слова	1	2
3	состоит в том что	3	2
4	в том что он	1	1
5	в обоих случаях значение	1	1
6	видим таким образом что	4	1
7	одно и то же	6	1
8	не что иное как	1	1
9	в тот момент когда	1	1
10	в том случае если	1	1
11	которые не могут быть	1	1
12	мы видим таким образом	4	1
13	бы они ни были	1	1
14	с другой стороны они	1	1
15	как причины так и	1	1
16	могут иметь различное значение	1	1
17	все более и более	2	1
18	прежде чем перейти к	1	1
