N	3gram	Tiupa_Vved_1	Vladivir
1	в том что	3	9
2	в связи с	1	8
3	во всяком случае	1	6
4	тем не менее	3	6
5	по крайней мере	1	4
6	содержит в себе	1	4
7	более или менее	2	3
8	в отличие от	2	3
9	в то же	4	3
10	не в том	1	3
11	на этот раз	1	3
12	то что он	1	3
13	то же время	3	3
14	о том что	4	3
15	хотя и не	1	2
16	на то что	1	2
17	в настоящее время	1	2
18	в том же	1	2
19	можно было бы	2	2
20	в данном случае	6	2
21	и вот теперь	1	2
22	в том чтобы	2	2
23	не только в	2	2
24	так и не	1	2
25	в свою очередь	4	2
26	а в том	1	2
27	само по себе	1	2
28	к этому времени	1	2
29	и все же	4	2
30	как мы видели	2	2
31	что иное как	1	1
32	на котором он	1	1
33	прежде всего на	1	1
34	а не с	1	1
35	но и по	1	1
36	в том числе	1	1
37	в этом случае	1	1
38	той же самой	1	1
39	мы не должны	1	1
40	не было и	1	1
41	не менее не	1	1
42	и в то	1	1
43	а также в	1	1
44	не было бы	1	1
45	в этом отношении	4	1
46	не о чем	1	1
47	на первом плане	1	1
48	в следующем году	1	1
49	до известной степени	1	1
50	каждый из этих	1	1
51	в высшей степени	2	1
52	в том как	1	1
53	том же году	1	1
54	из них не	1	1
55	и едва ли	1	1
56	не может быть	3	1
57	может быть названа	1	1
58	и особенно в	1	1
59	но только в	1	1
60	здесь как и	1	1
61	мы увидим ниже	1	1
62	не говорится о	1	1
63	и прежде всего	1	1
64	в этом рассуждении	1	1
65	можно сказать что	1	1
66	в этом смысле	1	1
67	в последние годы	1	1
68	но это не	1	1
69	не что иное	1	1
70	к тому же	4	1
71	пока еще не	3	1
