N	2gram	Losev_Vlad_1	Stilisti
1	и в	31	42
2	не только	24	27
3	прежде всего	1	22
4	хотя бы	2	17
5	то же	6	15
6	но и	19	15
7	и не	17	14
8	не может	6	12
9	может быть	6	12
10	мы уже	7	11
11	как и	4	11
12	точки зрения	2	11
13	отнюдь не	3	10
14	в этом	14	10
15	и как	4	10
16	как мы	9	10
17	мы должны	2	10
18	что мы	2	10
19	мы не	1	9
20	при этом	2	9
21	в то	8	9
22	для того	2	9
23	то что	18	9
24	в ней	1	8
25	все же	3	8
26	в себе	4	8
27	таким образом	3	8
28	тем самым	2	8
29	и это	2	8
30	с тем	2	8
31	что же	5	8
32	и на	3	7
33	в которой	4	7
34	было бы	2	7
35	и тем	1	7
36	так как	8	7
37	никогда не	9	7
38	же время	4	7
39	потому что	11	7
40	того чтобы	2	7
41	ничего не	3	7
42	с его	11	7
43	только в	9	7
44	и его	7	7
45	мы можем	1	7
46	а не	1	7
47	и от	5	7
48	во всех	1	6
49	мы будем	2	6
50	в этой	4	6
51	на его	3	6
52	в нем	4	6
53	не в	5	6
54	или как	1	6
55	в области	1	6
56	так и	6	6
57	и так	3	6
58	в конце	9	6
59	в свою	1	6
60	той же	2	5
61	уже в	7	5
62	в нашем	4	5
63	одно и	1	5
64	и с	14	5
65	и той	1	5
66	тому что	1	5
67	а в	9	5
68	же самое	1	5
69	те же	1	5
70	в его	12	5
71	с помощью	1	5
72	вместе с	3	5
73	как это	7	5
74	своей жизни	2	5
75	у которого	1	5
76	и то	10	4
77	самом деле	1	4
78	себя в	4	4
79	и к	6	4
80	но в	12	4
81	в самом	2	4
82	так сказать	1	4
83	уже не	3	4
84	всех своих	1	4
85	в каждом	1	4
86	и без	1	4
87	на него	3	4
88	у нас	6	4
89	но все	1	4
90	к тому	3	4
91	на это	2	4
92	свою очередь	1	4
93	с самого	1	4
94	было в	1	4
95	если бы	1	4
96	о том	11	4
97	влияние на	1	4
98	можно сказать	6	4
99	которой мы	2	4
100	того что	2	4
101	один из	4	4
102	мы увидим	3	4
103	в обществе	1	4
104	в качестве	6	4
105	связаны с	1	4
106	не просто	1	4
107	а с	5	4
108	и пр	1	4
109	то есть	3	4
110	к своему	3	4
111	не что	1	4
112	все это	5	4
113	не существует	1	4
114	бы в	1	4
115	так же	1	4
116	отношения к	1	3
117	на самом	1	3
118	еще не	2	3
119	видели что	1	3
120	то он	6	3
121	ответ на	2	3
122	нет и	2	3
123	знакомства с	1	3
124	хотя и	4	3
125	выражение в	1	3
126	если он	1	3
127	уже видели	1	3
128	не к	1	3
129	и вот	3	3
130	их в	1	3
131	здесь мы	3	3
132	не будет	1	3
133	об этом	7	3
134	лишь в	2	3
135	это не	1	3
136	этом мы	1	3
137	не мог	3	3
138	том что	14	3
139	что такое	2	3
140	бы мы	1	3
141	которое обычно	1	3
142	в разных	1	3
143	связи с	1	3
144	до того	1	3
145	деятельности и	1	3
146	да и	4	3
147	роль в	1	3
148	что у	4	3
149	во второй	1	3
150	и здесь	3	3
151	и поэтому	1	3
152	связь между	1	3
153	то мы	3	3
154	жизни и	5	3
155	теперь в	1	3
156	конечно не	2	3
157	только на	3	3
158	из них	2	3
159	в котором	6	3
160	в одном	1	3
161	но что	3	3
162	от того	1	3
163	что и	5	3
164	и даже	15	3
165	и эта	1	3
166	конце концов	3	3
167	и уже	1	3
168	если не	3	3
169	в тех	2	3
170	этого слова	1	3
171	в целом	3	3
172	как предмет	1	3
173	в начале	3	3
174	и для	2	3
175	для нас	4	3
176	и все	4	3
177	главным образом	4	3
178	но вот	1	3
179	о своем	1	3
180	между ними	1	3
181	сказать что	7	3
182	также и	10	2
183	с кем	1	2
184	мы имели	1	2
185	и больше	1	2
186	мы имеем	1	2
187	вопрос о	1	2
188	ответить на	1	2
189	нам в	1	2
190	но даже	2	2
191	для наших	1	2
192	и он	3	2
193	не нужно	1	2
194	иное как	1	2
195	природы и	1	2
196	и всего	1	2
197	итак мы	1	2
198	но не	3	2
199	только потому	1	2
200	значение и	1	2
201	отношение к	3	2
202	себе и	1	2
203	как в	3	2
204	как уже	1	2
205	может получить	1	2
206	ни один	1	2
207	представляет собой	1	2
208	все эти	3	2
209	и те	1	2
210	тому же	2	2
211	и сам	6	2
212	по своему	3	2
213	одной и	1	2
214	человек с	1	2
215	человека в	1	2
216	ясно что	2	2
217	есть не	1	2
218	в жизни	3	2
219	говорить в	1	2
220	но мы	2	2
221	в этих	1	2
222	в своей	4	2
223	ли он	1	2
224	в отношении	3	2
225	что вся	1	2
226	место в	2	2
227	но эта	1	2
228	которые в	1	2
229	который мы	1	2
230	в нас	4	2
231	о них	1	2
232	что иное	1	2
233	был и	1	2
234	этом отношении	1	2
235	за ними	1	2
236	в каком	2	2
237	все то	1	2
238	не есть	1	2
239	из всего	1	2
240	здесь не	3	2
241	в дальнейшем	8	2
242	как с	1	2
243	и когда	1	2
244	понимание и	1	2
245	не с	1	2
246	а этот	1	2
247	достаточно было	1	2
248	и вообще	4	2
