N	2gram	Voloshinov_1	StatiiOP
1	и в	3	25
2	может быть	1	19
3	в его	1	12
4	не только	1	12
5	и не	1	10
6	но и	1	9
7	в языке	1	8
8	не может	4	7
9	точки зрения	1	7
10	в то	1	7
11	из этих	1	6
12	и на	1	6
13	то же	1	5
14	а не	1	5
15	можно назвать	1	4
16	в центре	2	4
17	в ней	1	4
18	если бы	1	4
19	в особенности	1	4
20	мы видим	1	4
21	с точки	1	4
22	в каждом	1	4
23	же время	1	3
24	связи с	1	3
25	тому что	1	3
26	для него	1	3
27	в системе	1	3
28	несмотря на	1	3
29	если в	2	2
30	нет и	1	2
31	к тому	1	2
32	один из	2	2
33	в выборе	1	2
34	на нее	1	2
35	к историческому	1	2
36	не менее	1	2
37	его от	1	1
38	может не	1	1
39	русской почве	1	1
40	можно и	1	1
41	бы в	1	1
42	тех же	1	1
43	бы на	1	1
44	вопрос что	1	1
45	событий и	1	1
46	и социальной	1	1
47	и все	1	1
48	и больше	1	1
49	анализа и	1	1
50	вполне понятно	1	1
51	литературного языка	1	1
52	и должно	1	1
53	с теми	1	1
54	на примере	1	1
55	на месте	1	1
56	подхода к	1	1
57	русского литературного	1	1
58	при анализе	1	1
59	на русской	1	1
60	больше ничего	1	1
61	по своим	1	1
62	не из	1	1
