N	2gram	Berdyaev_M_2	TeoriaLi
1	в мире	7	24
2	– это	2	20
3	не только	18	18
4	и не	18	16
5	– в	2	14
6	а в	2	14
7	и в	46	13
8	так и	4	12
9	может быть	21	12
10	в этом	20	11
11	в том	3	11
12	и его	5	10
13	а не	13	10
14	то же	5	9
15	в его	5	9
16	отношению к	2	8
17	своего рода	1	8
18	что в	4	8
19	но и	15	8
20	такого рода	2	8
21	по отношению	2	8
22	в себе	10	7
23	точки зрения	2	7
24	по своей	3	7
25	во второй	1	7
26	себя в	4	7
27	только в	3	7
28	том что	4	7
29	место в	2	6
30	лишь в	2	6
31	с его	4	6
32	но в	10	6
33	в русской	6	6
34	как бы	8	6
35	как и	13	5
36	в нем	22	5
37	не в	9	5
38	между ними	1	5
39	в ее	1	5
40	между тем	2	5
41	уже не	4	5
42	в самом	5	5
43	он не	10	5
44	– с	1	5
45	не случайно	2	5
46	с другой	1	5
47	а также	1	5
48	как в	7	5
49	или иной	2	5
50	в пределах	1	5
51	в своем	8	5
52	всего лишь	1	4
53	приводит к	1	4
54	не знает	9	4
55	говорить о	1	4
56	но он	11	4
57	в своей	5	4
58	отношение к	8	4
59	хотя и	2	4
60	то что	5	4
61	– его	2	4
62	на смену	3	4
63	мира и	1	4
64	ни в	3	4
65	сказать что	3	4
66	не может	15	4
67	по преимуществу	5	4
68	личности и	2	4
69	личности в	2	4
70	и ее	1	4
71	в свою	4	4
72	все эти	1	3
73	не все	1	3
74	к которому	3	3
75	и вот	5	3
76	в другом	1	3
77	прежде всего	12	3
78	самим собой	1	3
79	в этой	7	3
80	в нашем	7	3
81	его в	3	3
82	– на	1	3
83	для него	18	3
84	того что	6	3
85	потому что	12	3
86	входит в	1	3
87	в этих	2	3
88	и сам	1	3
89	и к	7	3
90	между двумя	1	3
91	мог бы	1	3
92	на почве	3	3
93	в отношении	5	3
94	и потому	7	3
95	со своей	1	3
96	в основе	2	3
97	отношении к	3	3
98	а с	1	3
99	этого слова	1	3
100	и что	2	3
101	человека к	8	3
102	– не	3	3
103	без остатка	1	3
104	никогда не	18	3
105	в финале	1	3
106	он должен	1	3
107	и то	1	3
108	мира в	1	3
109	я –	1	3
110	ни к	1	3
111	– все	2	3
112	по своему	1	3
113	той или	1	3
114	в которой	2	2
115	анна каренина	1	2
116	и здесь	6	2
117	но она	2	2
118	мире –	1	2
119	на деле	4	2
120	того же	1	2
121	что они	3	2
122	и тем	1	2
123	так же	6	2
124	и для	7	2
125	перед лицом	1	2
126	человеческой жизни	2	2
127	перед ним	4	2
128	вслед за	1	2
129	этом мире	1	2
130	к нему	2	2
131	в культуре	1	2
132	я и	2	2
133	право на	1	2
134	в конце	5	2
135	личности как	1	2
136	во всех	2	2
137	по себе	2	2
138	об этом	1	2
139	– уже	1	2
140	известного рода	1	2
141	– и	1	2
142	к собственной	1	2
143	личности к	2	2
144	жизни в	3	2
145	вместе с	2	2
146	самим собою	2	2
147	тем в	1	2
148	культуры в	1	2
149	отношения к	2	2
150	для такого	1	2
151	к тому	5	2
152	это не	5	2
153	не с	1	2
154	за пределы	1	2
155	с точки	1	2
156	сама по	1	2
157	в той	1	2
158	это и	3	2
159	в целом	1	2
160	в чем	3	2
161	но на	2	2
162	свободы но	1	2
163	– может	1	2
164	своей природе	1	2
165	жизни то	1	2
166	от свободы	3	2
167	у него	22	2
168	во мне	1	2
169	– этого	1	2
170	их в	1	2
171	себя и	3	2
172	как к	2	2
173	роль в	1	2
174	я не	5	2
175	о том	3	2
176	о чем	1	2
177	говорит что	2	2
178	не принадлежит	1	2
179	была бы	1	2
180	принадлежит к	2	2
181	на себя	1	2
182	способность к	2	2
183	и это	5	2
184	как будто	2	2
185	его я	1	2
186	а напротив	1	2
187	если бы	3	2
188	и как	1	2
189	к одному	1	2
190	что он	7	2
191	во втором	1	2
192	за его	1	1
193	может не	1	1
194	говорят о	1	1
195	образ его	1	1
196	жизни он	3	1
197	остается лишь	1	1
198	в словах	1	1
199	не сама	1	1
200	и личной	1	1
201	но с	2	1
202	в значительной	1	1
203	на его	2	1
204	карамазов в	1	1
205	есть в	3	1
206	бы в	2	1
207	то я	1	1
208	в мировом	1	1
209	отречение от	1	1
210	вопрос о	6	1
211	от всех	1	1
212	многих других	1	1
213	всю жизнь	3	1
214	на их	1	1
215	не приводит	1	1
216	внутрь себя	2	1
217	жизни и	6	1
218	его природы	1	1
219	смотря на	1	1
220	его с	2	1
221	ее в	2	1
222	момент в	3	1
223	в чистом	1	1
224	ибо и	1	1
225	не будет	3	1
226	человеческого духа	5	1
227	ее на	1	1
228	нет в	4	1
229	личного бытия	2	1
230	стоит и	1	1
231	никто не	1	1
232	значение для	1	1
233	существа в	1	1
234	образа и	2	1
235	связи с	2	1
236	души и	2	1
237	не было	11	1
238	после того	2	1
239	и политического	1	1
240	и чрезвычайно	1	1
241	ту сторону	1	1
242	ведет к	13	1
243	и против	3	1
244	на то	1	1
245	вести к	2	1
246	из нас	1	1
247	к преступлению	5	1
248	не по	1	1
249	отношение между	1	1
250	с ней	1	1
251	отрекается от	3	1
252	наконец в	1	1
253	в каждом	3	1
254	ивана карамазова	7	1
255	в какой	1	1
256	той мере	1	1
257	с ним	3	1
258	лишь один	2	1
259	превращается в	2	1
260	независимо от	1	1
261	что это	6	1
262	так что	2	1
263	и без	1	1
264	или иная	1	1
265	нее нет	1	1
266	в центре	2	1
267	больше и	1	1
268	если в	1	1
269	любовь и	3	1
270	личности с	1	1
271	целый ряд	1	1
272	не дает	1	1
273	своей свободы	3	1
274	стоит в	2	1
275	тот же	2	1
276	это была	2	1
277	в своих	3	1
278	для личности	1	1
279	жизнь в	6	1
280	высокий уровень	1	1
281	если он	2	1
282	с тем	1	1
283	тем как	1	1
284	как внутреннее	1	1
285	то в	2	1
286	видим в	1	1
287	и становится	1	1
288	те же	5	1
289	карамазова в	1	1
290	к самому	2	1
291	со всеми	1	1
292	и теперь	1	1
293	до известной	1	1
294	себя человек	1	1
295	такое же	1	1
296	духа для	1	1
297	совсем не	5	1
298	и зло	2	1
299	к нам	1	1
300	не мыслится	1	1
301	культура есть	1	1
302	и только	1	1
303	за него	1	1
304	оно не	2	1
305	каждом человеке	2	1
306	путь к	1	1
307	людей в	2	1
308	свободы и	4	1
309	не знают	1	1
310	духа и	3	1
311	из жизни	1	1
312	с этой	1	1
313	человеческая жизнь	2	1
314	революции в	2	1
315	свобода не	2	1
316	смысла в	1	1
317	нет на	1	1
318	раз в	1	1
319	к чему	4	1
320	своего другого	1	1
321	первые два	1	1
322	состояние как	1	1
323	жизнь но	1	1
324	человек как	1	1
325	последних двух	1	1
326	но если	1	1
327	существования внутреннего	1	1
328	он переживает	2	1
329	мира с	1	1
330	раскрывает нам	3	1
331	природой и	3	1
332	не узнает	1	1
333	более чем	2	1
334	сознания в	1	1
335	себе такова	1	1
336	к своему	2	1
337	жизнь и	4	1
338	по поводу	1	1
339	ее как	1	1
340	духовной жизни	1	1
341	в момент	1	1
342	к миру	1	1
343	открывает что	1	1
344	две стороны	1	1
345	живет в	1	1
346	но внутренне	1	1
347	жизни не	2	1
348	и прежде	1	1
349	я никогда	2	1
350	и на	3	1
351	с самим	3	1
352	привести к	5	1
353	человеческая личность	2	1
354	с человеком	1	1
355	из этого	1	1
356	русской природы	1	1
357	с которым	3	1
358	в сфере	2	1
359	у нас	11	1
360	требует от	1	1
361	человека и	7	1
362	момент его	2	1
363	того чтобы	4	1
364	в прошлом	1	1
365	что такое	1	1
366	связана с	7	1
367	жизнь то	1	1
368	под маской	1	1
369	будущее в	1	1
370	о грядущем	1	1
371	все мы	1	1
372	принадлежат к	3	1
373	и от	3	1
374	в сущности	2	1
375	себя за	1	1
376	отношений между	1	1
377	что достоевский	1	1
378	да и	2	1
379	для того	5	1
380	скрытый от	1	1
381	а между	1	1
382	и глубже	2	1
383	внешней среды	1	1
384	один из	5	1
385	и который	1	1
386	окружающей его	1	1
387	же я	1	1
388	взгляд –	1	1
389	личной ответственности	1	1
390	значительной степени	1	1
391	все это	1	1
392	и ад	1	1
393	и отсутствие	1	1
394	в пространстве	1	1
395	на мир	1	1
396	этом втором	1	1
397	к более	1	1
398	делает то	1	1
399	возможность свободы	1	1
400	перед собой	1	1
401	человек должен	2	1
402	что все	5	1
403	любить в	1	1
404	же и	2	1
405	только и	4	1
406	им с	1	1
407	в них	3	1
408	восстает против	3	1
409	которое должно	1	1
410	а о	1	1
411	человека как	1	1
412	перед тем	1	1
413	мыслится как	1	1
414	от своего	1	1
415	не всегда	2	1
416	для этого	4	1
417	в котором	1	1
418	бытия не	1	1
419	свобода и	2	1
420	к другому	3	1
421	он в	3	1
422	и мир	2	1
423	же как	3	1
424	сойти с	1	1
425	всего только	1	1
426	как у	2	1
427	чтобы не	3	1
428	ему и	1	1
429	личности а	1	1
430	но я	1	1
431	могли бы	1	1
432	остается в	1	1
433	по ту	1	1
434	не от	2	1
435	не могут	1	1
436	мы видим	2	1
437	сознание не	1	1
438	она и	1	1
439	именно потому	1	1
440	с собой	2	1
441	истории не	1	1
442	она не	8	1
443	принадлежит не	1	1
444	начала и	1	1
445	также и	4	1
446	жизни поэтому	1	1
447	к этим	1	1
448	в такой	3	1
449	и религии	1	1
450	этом они	1	1
451	на земле	8	1
452	у нее	1	1
453	личность в	1	1
454	на них	1	1
455	той же	3	1
456	быть и	2	1
457	он же	3	1
458	нет не	1	1
459	должен быть	4	1
460	это ведет	1	1
461	от своей	2	1
462	свою культурную	1	1
463	на вопрос	1	1
464	направленной на	2	1
465	подобно тому	2	1
466	все они	1	1
467	та или	1	1
468	него но	1	1
469	не имеет	4	1
470	– то	2	1
471	пусть это	1	1
472	толстого в	1	1
473	поэтому у	1	1
474	не бывает	3	1
475	с ума	4	1
476	он выступает	1	1
477	и ему	1	1
478	его личности	1	1
479	к мировой	1	1
480	границ и	1	1
481	и есть	8	1
482	мировой жизни	1	1
483	бытия и	1	1
484	мере в	1	1
485	что она	5	1
486	народной жизни	4	1
487	человека –	3	1
488	быть назван	2	1
489	но эта	2	1
490	было бы	1	1
491	а после	1	1
492	человеком который	1	1
493	другим и	2	1
494	в самой	1	1
495	добро и	2	1
496	– да	1	1
497	тому как	2	1
498	знает личности	1	1
499	не быть	1	1
500	себе а	1	1
501	на нее	1	1
502	жизни героя	1	1
503	означает что	4	1
504	втором случае	1	1
505	так как	8	1
506	и делает	1	1
507	он –	8	1
508	можно было	2	1
509	от его	2	1
510	который может	2	1
511	мысль о	2	1
512	все что	4	1
513	он уже	2	1
514	он стоит	1	1
515	тайны и	1	1
516	и более	1	1
517	другу и	2	1
518	как ее	2	1
519	пусть пусть	1	1
520	делает в	1	1
521	не есть	13	1
522	себя еще	1	1
523	на примере	1	1
524	свободу и	5	1
525	страдают от	1	1
