N	3gram	Nazirov_Vr_1	FransuaR
1	о том что	1	5
2	в то же	4	5
3	то же время	4	5
4	в той же	1	4
5	до сих пор	1	3
6	на первый план	1	3
7	в этом отношении	1	3
8	в том что	2	2
9	с помощью которых	1	2
10	и то что	1	2
11	в литературе и	1	2
12	с точки зрения	2	2
13	каждый из них	1	2
14	с другой стороны	1	2
15	заключается в том	1	1
16	и из него	1	1
17	в мировой литературе	1	1
18	о том как	1	1
19	и в ней	1	1
20	в нем самом	1	1
21	но в то	2	1
22	не забудем что	1	1
23	мотивы и образы	2	1
24	но нас интересует	1	1
25	в своем увлечении	1	1
26	в конце концов	1	1
27	не знали что	1	1
28	а с другой	1	1
29	что уже в	1	1
30	раз в году	1	1
31	как бы в	1	1
32	как он сам	1	1
33	что в начале	2	1
34	и что он	1	1
35	в связи с	3	1
36	у него в	1	1
37	все же не	1	1
38	более того в	1	1
39	в эти годы	2	1
40	в них много	1	1
41	и во всем	1	1
42	один раз в	1	1
43	и все что	1	1
44	как раз в	2	1
45	в то время	1	1
46	к людям если	1	1
47	не может быть	2	1
