N	3gram	Kanaev_Sov_1	NovoeSre
1	не может быть	4	4
2	равно как и	1	2
3	в этом смысле	1	2
4	так же как	1	2
5	с одной стороны	1	2
6	когда мы говорим	1	2
7	она не может	1	2
8	такой же мере	1	1
9	но это уже	1	1
10	то нет и	1	1
11	и до сих	1	1
12	до сих пор	1	1
13	и во всех	1	1
14	и не может	1	1
15	в зависимости от	4	1
16	сами по себе	1	1
17	в отличие от	2	1
18	заключает в себе	1	1
19	можно было бы	1	1
20	может быть только	1	1
21	в том случае	1	1
22	в известном смысле	1	1
23	не могут быть	1	1
24	в такой же	1	1
25	не в том	1	1
26	но для чего	1	1
27	во всяком случае	2	1
28	может иметь только	1	1
29	века с ее	1	1
30	хотим сказать что	1	1
31	это значит что	1	1
32	не хотим сказать	1	1
33	мы говорим о	1	1
34	в новое время	1	1
35	совершенно так же	1	1
36	в том что	1	1
