N	3gram	Vinokur_Vv_1	TeoriaLi
1	по отношению к	4	8
2	в отличие от	3	7
3	в то же	5	6
4	в том что	12	6
5	то же время	5	6
6	того или иного	1	5
7	в данном случае	4	5
8	состоит в том	2	4
9	в этом смысле	10	3
10	можно сказать что	3	3
11	с другой стороны	5	3
12	той или иной	1	3
13	тем не менее	8	3
14	в свою очередь	1	3
15	так или иначе	4	2
16	с одной стороны	4	2
17	в этой системе	1	2
18	тех или иных	3	2
19	о полку игореве	1	2
20	и того же	2	2
21	и то же	1	2
22	одно и то	1	2
23	одного и того	2	2
24	сама по себе	3	2
25	не может быть	8	2
26	мы имеем дело	1	2
27	с точки зрения	2	2
28	в соответствии с	2	2
29	можно говорить о	1	1
30	подобно тому как	1	1
31	а в том	1	1
32	из этих двух	1	1
33	и др в	1	1
34	все что может	1	1
35	в реальной действительности	1	1
36	как видно из	1	1
37	бы то ни	1	1
38	точно так же	2	1
39	в одном случае	1	1
40	прежде всего к	1	1
41	в связи с	2	1
42	что представляет собой	3	1
43	этого слова как	1	1
44	в прошлом и	1	1
45	из того что	1	1
46	но в то	3	1
47	отношению к нему	1	1
48	характера как это	1	1
49	он мог бы	1	1
50	значительное место принадлежит	1	1
51	может быть и	2	1
52	для того чтобы	21	1
53	имея в виду	1	1
54	имеем дело с	1	1
55	то ни было	1	1
56	дело не в	1	1
57	в целом ряде	2	1
58	имеем в виду	1	1
59	тем или иным	1	1
60	мере в какой	4	1
61	о том что	12	1
62	действительность в ее	3	1
63	в той мере	4	1
64	в настоящее время	1	1
65	этой точки зрения	1	1
66	этом втором случае	1	1
67	каждой из них	1	1
68	не менее не	1	1
69	в значительной степени	1	1
70	том что в	1	1
71	той мере в	4	1
72	в этом случае	6	1
73	в сравнении с	1	1
74	никак не может	1	1
75	то или иное	1	1
76	иного рода и	1	1
77	на время в	1	1
78	мы имеем в	1	1
79	только то что	1	1
80	не могут быть	2	1
81	на вопрос о	4	1
82	и прежде всего	1	1
83	в этом втором	1	1
84	в самой себе	1	1
85	в этих случаях	2	1
86	в известном смысле	3	1
87	именно в этом	3	1
88	нами не как	1	1
89	второй половины xviii	1	1
90	в том-то и	1	1
91	дело в том	2	1
92	так же как	1	1
93	в первом случае	2	1
94	ту или иную	1	1
95	а в другом	1	1
96	литературы как и	1	1
97	логической точки зрения	1	1
98	с этой точки	1	1
99	как раз в	1	1
100	по крайней мере	4	1
101	а между тем	1	1
