1	в то же	4	7
2	то же время	4	7
3	в отношении к	1	5
4	в том что	7	4
5	в сравнении с	1	3
6	с точки зрения	12	3
7	сами по себе	1	3
8	с одной стороны	2	3
9	в ней не	1	2
10	и потому в	1	2
11	одной стороны и	2	2
12	и в то	2	2
13	в своем значении	1	2
14	в полной мере	1	2
15	и в частности	2	1
16	как бы она	1	1
17	в этом смысле	3	1
18	что это значит?	1	1
19	не может быть	3	1
20	и быть может	1	1
21	с ними как	1	1
22	и в этом	3	1
23	по сравнению с	2	1
24	бы она ни	1	1
25	как она есть	3	1
26	во всяком случае	2	1
27	если бы мы	1	1
28	для того чтобы	1	1
29	– все это	2	1
30	само по себе	5	1
31	более или менее	3	1
32	не в том	1	1
33	можно говорить о	1	1
34	в каком смысле	1	1
35	а никак не	1	1
36	или хотя бы	2	1
37	и т д	19	1
38	но также и	1	1
39	друг с другом	1	1
40	есть прежде всего	1	1
41	та или иная	3	1
42	значило бы что	1	1
43	между тем в	1	1
44	не было бы	2	1
45	с другой стороны	4	1
46	но в то	1	1
47	быть может и	1	1
48	для того кто	1	1
