N	4gram	Losev_Dial_3	Formalny
1	в то же время	1	7
2	бы то ни было	1	4
3	и во всяком случае	1	2
4	с точки зрения самого	1	2
5	и в то же	1	2
6	и тем не менее	2	1
7	мы имеем в виду	1	1
8	в самом деле что	2	1
9	жизни того или иного	1	1
10	и т д таким	1	1
11	что это не просто	1	1
12	во-первых с точки зрения	1	1
13	с этой точки зрения	2	1
14	коем случае не может	1	1
15	которые сами по себе	1	1
16	одной и той же	1	1
17	и пр и пр	1	1
18	ни в коем случае	3	1
19	т д таким образом	1	1
20	с той или иной	1	1
21	в коем случае не	3	1
22	в зависимости от характера	1	1
