N	2gram	Trubetskoy_1	KFilosof
1	может быть	10	43
2	в его	5	39
3	в нем	4	31
4	не может	4	27
5	и не	8	26
6	по отношению	1	25
7	и в	26	22
8	в себе	6	21
9	в котором	4	21
10	отношению к	3	21
11	не есть	1	19
12	и его	1	17
13	в ее	1	17
14	а не	5	17
15	только в	4	16
16	в этом	15	13
17	точки зрения	13	13
18	и это	2	12
19	но не	8	12
20	ни в	1	12
21	для него	3	12
22	все эти	6	11
23	в своей	1	11
24	не в	2	11
25	к нему	7	11
26	во всех	2	10
27	в своем	3	10
28	это не	1	10
29	с точки	6	10
30	все это	6	10
31	из себя	2	10
32	и есть	1	9
33	в их	1	9
34	бытия и	1	9
35	но и	9	9
36	как бы	12	9
37	и для	5	9
38	и все	2	9
39	лишь в	5	8
40	было бы	1	8
41	если бы	3	8
42	не было	2	8
43	жизни и	2	8
44	то что	7	7
45	в себя	1	7
46	и здесь	2	7
47	что и	6	7
48	себя в	1	7
49	конечно не	2	7
50	отношение к	5	6
51	мира в	1	6
52	он не	4	6
53	в мире	5	6
54	и только	4	6
55	и действительно	2	6
56	совершенно не	1	6
57	уже не	3	6
58	и их	1	6
59	но это	1	6
60	в смысле	4	6
61	в том	11	6
62	мы имеем	2	5
63	все же	6	5
64	но в	7	5
65	не только	10	5
66	то же	4	5
67	но все	7	5
68	его в	1	5
69	как и	1	5
70	должно быть	1	5
71	но эта	1	5
72	не имеет	5	5
73	никогда не	5	5
74	для себя	1	5
75	с ним	1	5
76	со всем	1	5
77	именно в	2	5
78	бытия в	1	5
79	там где	1	5
80	хотя бы	3	5
81	ко всему	2	5
82	где я	1	4
83	быть в	1	4
84	в чем	1	4
85	при этом	3	4
86	время и	1	4
87	не как	2	4
88	бы быть	1	4
89	входит в	1	4
90	место в	1	4
91	к ним	3	4
92	не по	1	4
93	в каком	1	4
94	с ними	1	4
95	и т.д	6	4
96	мира и	1	4
97	между тем	2	4
98	во всей	1	4
99	могло бы	1	4
100	ни было	2	4
101	в одном	3	4
102	бытие не	1	4
103	том что	7	4
104	а в	4	4
105	только как	1	4
106	что в	9	4
107	в своих	1	4
108	самом деле	1	3
109	этого мира	1	3
110	и этот	1	3
111	мы не	1	3
112	что это	3	3
113	в ней	1	3
114	еще не	2	3
115	и на	2	3
116	события в	1	3
117	а следовательно	1	3
118	к чему	1	3
119	бы и	1	3
120	всех этих	1	3
121	для того	5	3
122	и совершенно	1	3
123	в корне	1	3
124	из него	2	3
125	людей и	2	3
126	себя не	1	3
127	нет в	1	3
128	не должно	1	3
129	не менее	3	3
130	тогда когда	2	3
131	ничего не	1	3
132	и делает	1	3
133	могут быть	1	3
134	здесь не	1	3
135	культуры и	3	3
136	ясно что	3	3
137	в виду	2	3
138	нему в	1	3
139	о том	6	3
140	и весь	1	3
141	того что	3	3
142	быть и	2	3
143	тем что	1	3
144	и пр	1	3
145	в момент	1	3
146	по своему	2	3
147	культурные ценности	2	3
148	котором он	1	3
149	только с	1	3
150	в свою	2	3
151	в то	4	3
152	себя как	1	2
153	чтобы не	1	2
154	он может	1	2
155	это и	1	2
156	а как	1	2
157	ни у	2	2
158	этот факт	2	2
159	ему в	2	2
160	и конечно	1	2
161	с его	2	2
162	совсем не	1	2
163	в данном	1	2
164	или иное	2	2
165	один и	1	2
166	этих людей	1	2
167	как в	1	2
168	определить в	1	2
169	как к	1	2
170	то или	2	2
171	и как	3	2
172	от этого	1	2
173	та же	1	2
174	думать что	1	2
175	в этой	4	2
176	и тот	1	2
177	и будущее	1	2
178	имеем в	1	2
179	вследствие этого	1	2
180	в виде	4	2
181	так и	6	2
182	то ни	2	2
183	а по	1	2
184	весь мир	1	2
185	в жизни	1	2
186	соответствии с	1	2
187	с тем	18	2
188	и того	1	2
189	знает и	1	2
190	тем не	3	2
191	этот мир	1	2
192	по себе	1	2
193	случае мы	1	2
194	и ясно	1	2
195	дело не	1	2
196	и отсюда	1	2
197	в процессе	2	2
198	того чтобы	5	2
199	же время	2	2
200	не нужен	1	2
201	в сознании	1	2
202	в области	9	2
203	не потому	2	2
204	выход из	2	2
205	вошли в	1	2
