N	4gram	Voloshinov_1	formyVre
1	в то же время	3	4
2	в том числе и	2	2
3	одна и та же	1	2
4	в связи с этим	3	2
5	может быть и речи	2	1
6	связи с тем что	1	1
7	одного и того же	5	1
8	и в большинстве случаев	1	1
9	в связи с тем	1	1
10	не выходит за пределы	1	1
11	друг с другом и	1	1
12	сводится к тому что	1	1
13	именно в том что	1	1
14	с этой точки зрения	1	1
15	не значит конечно что	1	1
16	в том что он	1	1
17	но в то же	2	1
18	это не значит конечно	1	1
19	не может быть и	2	1
20	в своем чистом виде	1	1
21	как мы увидим дальше	1	1
22	все более и более	1	1
23	о каждом из них	1	1
24	и пр и пр	2	1
