N	2gram	Tiupa_Narr_1	Sovremen
1	не может	10	17
2	может быть	25	12
3	точки зрения	10	12
4	таким образом	1	11
5	мы не	1	9
6	в этом	17	7
7	и в	19	7
8	мы можем	1	6
9	ничего не	2	6
10	как и	7	6
11	и не	20	6
12	в результате	2	6
13	и наконец	1	5
14	все эти	2	5
15	прежде всего	4	5
16	с точки	2	5
17	нет и	2	4
18	в том	18	4
19	в целом	1	4
20	из них	3	4
21	мы видели	1	4
22	не только	32	4
23	в развитии	1	4
24	как бы	4	4
25	это не	2	4
26	точку зрения	4	4
27	их в	1	4
28	а в	11	4
29	жизни и	3	4
30	он может	1	3
31	в первом	3	3
32	на две	1	3
33	то же	4	3
34	и т.д	7	3
35	между собой	2	3
36	может не	3	3
37	отнюдь не	5	3
38	у всех	1	3
39	все же	7	3
40	еще не	7	3
41	но в	6	3
42	в этой	5	3
43	в себе	8	3
44	уже в	3	3
45	в конце	1	3
46	в нем	4	3
47	при этом	9	3
48	из двух	3	3
49	было бы	4	3
50	а не	12	3
51	и потому	2	3
52	не в	14	3
53	не подлежит	1	3
54	одна из	3	3
55	для нас	1	3
56	и все	2	3
57	в системе	1	3
58	у нас	1	3
59	и к	1	3
60	когда мы	2	3
61	отличается от	4	3
62	в области	2	3
63	как известно	2	2
64	как мы	3	2
65	свою очередь	3	2
66	жизни мы	1	2
67	и есть	1	2
68	приводит к	2	2
69	роль в	2	2
70	все те	4	2
71	времени и	7	2
72	на этом	1	2
73	и даже	3	2
74	говорить о	2	2
75	на другом	1	2
76	и во	1	2
77	подлежит сомнению	1	2
78	самом деле	2	2
79	в его	9	2
80	с совершенно	1	2
81	может иметь	1	2
82	дает нам	1	2
83	быть и	1	2
84	в самом	1	2
85	или же	1	2
86	что это	3	2
87	из этих	3	2
88	тот или	1	2
89	с одной	7	2
90	со всеми	1	2
91	ни одна	1	2
92	уже не	5	2
93	то и	1	2
94	так сказать	1	2
95	с другом	1	2
96	на его	1	2
97	тем не	3	2
98	у него	4	2
99	и по	1	2
100	отличие от	5	2
101	но все	4	2
102	то ни	3	2
103	что все	1	2
104	или иной	5	2
105	и пр	1	2
106	а на	1	2
107	первые два	2	2
108	в один	1	2
109	из которых	4	2
110	в отличие	5	2
111	такого рода	7	2
112	это за	1	2
113	друг с	1	2
114	о жизни	1	2
115	не менее	3	2
116	можно назвать	1	2
117	она может	2	2
118	из четырех	1	2
119	этих двух	1	2
120	в третьем	3	2
121	не дает	1	2
122	тот же	1	2
123	в свою	3	2
124	своего предмета	1	2
125	совершенно не	2	2
126	не могут	1	2
127	могут быть	3	2
128	же самое	1	2
129	что в	3	2
130	если же	1	2
131	в таком	2	2
132	а может	1	1
133	оно может	2	1
134	в жизненной	1	1
135	то она	2	1
136	с ее	3	1
137	на другой	2	1
138	на самом	1	1
139	это и	3	1
140	между двумя	5	1
141	здесь и	2	1
142	за все	1	1
143	характерное для	1	1
144	отношению к	6	1
145	и до	2	1
146	в мире	9	1
147	по аналогии	1	1
148	можно было	2	1
149	и могут	1	1
150	мы уже	1	1
151	те же	4	1
152	есть не	1	1
153	осуществляется в	1	1
154	мы имеем	2	1
155	же как	3	1
156	когда в	1	1
157	если бы	1	1
158	и вообще	1	1
159	с человеком	2	1
160	что иное	2	1
161	в будущем	2	1
162	и соответственно	2	1
163	нему иначе	1	1
164	имеют место	2	1
165	а далее	1	1
166	то они	2	1
167	того же	1	1
168	о том	6	1
169	в ней	3	1
170	выбора не	1	1
171	что каждый	1	1
172	одного из	4	1
173	и ставит	1	1
174	аналогии с	1	1
175	на них	1	1
176	он сам	2	1
177	иное как	2	1
178	же время	4	1
179	в вопросах	1	1
180	бы то	3	1
181	его в	2	1
182	с его	6	1
183	во всех	1	1
184	в какой-нибудь	1	1
185	данном случае	4	1
186	совсем не	1	1
187	но не	5	1
188	которых в	1	1
189	мы будем	1	1
190	но как	2	1
191	точка зрения	6	1
192	перед глазами	1	1
193	если в	3	1
194	в конечном	3	1
195	во втором	4	1
196	конечном счете	2	1
197	по отношению	7	1
198	во всей	2	1
199	крайней мере	1	1
200	один и	1	1
201	к концу	1	1
202	все время	1	1
203	жизни оно	1	1
204	идет о	2	1
205	человека как	1	1
206	другого для	1	1
207	другой день	2	1
208	независимо от	2	1
209	области явлений	1	1
210	к которому	2	1
211	к нему	5	1
212	известном смысле	2	1
213	один из	3	1
214	собственно и	1	1
215	в западной	1	1
216	одной из	4	1
217	в действительности	1	1
218	только в	4	1
219	может оказаться	2	1
220	за собой	4	1
221	он уже	2	1
222	та же	2	1
223	к другому	2	1
224	до наших	1	1
225	в известном	2	1
226	и тот	2	1
227	и у	1	1
228	мира но	1	1
229	западной европе	1	1
230	ни одного	1	1
231	какую бы	1	1
232	в начале	1	1
233	в такого	1	1
234	он не	3	1
235	отдельных элементов	1	1
236	его и	1	1
237	искать в	1	1
238	к одному	1	1
239	в целый	1	1
240	по существу	2	1
241	сами по	2	1
242	у читателя	1	1
243	вовсе не	1	1
244	будет продолжаться	2	1
245	не случайно	2	1
246	какой бы	1	1
247	бы все	1	1
248	к очень	1	1
249	по его	1	1
250	и только	2	1
251	не будет	3	1
252	и может	1	1
253	в совершенно	1	1
254	что произошло	1	1
255	в другом	1	1
256	одной стороны	7	1
257	и т.п	8	1
258	до сих	1	1
259	с другой	8	1
260	как у	1	1
261	на ее	1	1
262	это пока	1	1
263	две половины	1	1
264	нельзя сказать	1	1
265	именно в	6	1
266	здесь в	1	1
267	жизненной практике	1	1
268	этом смысле	1	1
269	и прежде	1	1
270	что один	1	1
271	должен был	1	1
272	ни в	3	1
273	но уже	1	1
274	окружающих его	1	1
275	не было	2	1
276	ей не	2	1
277	все равно	1	1
278	позиции в	1	1
279	несмотря на	2	1
280	жизни но	2	1
281	оно имеет	1	1
282	как целого	1	1
283	и ничего	1	1
284	обратимся к	3	1
285	их на	1	1
286	в связи	2	1
287	том что	14	1
288	и при	1	1
289	таким же	1	1
290	так же	2	1
291	без помощи	1	1
292	в первый	1	1
293	от его	1	1
294	в область	2	1
295	в данном	5	1
296	процесса и	2	1
297	совершенно иными	1	1
298	быть только	1	1
299	силу и	1	1
300	по крайней	1	1
301	образом на	1	1
302	и более	1	1
303	мере в	1	1
304	человек с	1	1
305	жизни в	3	1
306	зрения и	2	1
307	по себе	5	1
308	в своем	2	1
309	только о	2	1
310	еще раз	1	1
311	в любом	2	1
312	благодаря этому	1	1
313	как будет	3	1
314	сих пор	1	1
315	с ним	1	1
316	описания и	2	1
317	и развития	1	1
318	она не	2	1
319	и тогда	1	1
320	в обоих	2	1
321	свое время	1	1
322	которых он	1	1
323	не имеет	2	1
324	дело в	1	1
325	от конца	1	1
326	в процессе	1	1
327	является ли	1	1
328	не является	8	1
329	указать на	1	1
330	и от	1	1
331	только таким	1	1
332	вытекает из	1	1
333	немного в	1	1
334	никогда не	3	1
335	или в	2	1
336	человек и	1	1
337	хотя и	3	1
338	жизни не	1	1
339	это то	1	1
340	место только	1	1
341	жизни как	3	1
342	и его	5	1
343	связи с	4	1
344	ни было	3	1
345	же в	4	1
346	наших дней	1	1
347	но это	1	1
348	ли это	1	1
349	а о	1	1
350	между ними	2	1
351	не знает	1	1
352	сказать что	4	1
353	не быть	1	1
354	именно таковы	1	1
355	и для	2	1
356	очень часто	1	1
357	они все	2	1
358	происходящего в	2	1
359	не что	2	1
360	человека в	2	1
361	в то	3	1
362	в свое	1	1
363	есть то	1	1
364	возможностей в	1	1
365	отметить что	1	1
366	в какой	2	1
367	но еще	1	1
368	той или	4	1
369	и эта	1	1
370	которая не	1	1
371	они не	2	1
