N	2gram	Berdyaev_O_1	Sovremen
1	в этом	12	5
2	не может	4	5
3	мы не	1	4
4	в каждом	1	4
5	как бы	3	4
6	все эти	4	3
7	состоит из	1	3
8	друг с	1	2
9	у нас	1	2
10	это за	3	2
11	в одном	1	2
12	все же	2	2
13	и в	19	2
14	но в	2	2
15	же это	2	2
16	что же	2	2
17	на этот	1	2
18	все это	6	2
19	с другом	1	2
20	и все	10	2
21	прежде всего	9	2
22	не только	11	2
23	не в	11	2
24	и не	13	1
25	но можно	1	1
26	в процессе	1	1
27	и из	2	1
28	не допускает	1	1
29	все время	1	1
30	первый период	1	1
31	он не	7	1
32	только одно	3	1
33	за собой	1	1
34	как у	1	1
35	он ставит	1	1
36	а в	5	1
37	в своих	3	1
38	со всеми	1	1
39	в которую	1	1
40	дело в	1	1
41	в другом	2	1
42	природы и	2	1
43	указать на	1	1
44	как и	6	1
45	в которой	2	1
46	она не	1	1
47	еще не	3	1
48	отметить что	1	1
49	жизни и	1	1
50	еще более	1	1
51	о том	3	1
52	один из	1	1
53	его с	1	1
54	и потому	2	1
55	с тою	1	1
56	ничего не	2	1
57	что в	4	1
58	чем в	2	1
59	а не	11	1
60	может быть	11	1
61	он должен	1	1
62	и действительно	1	1
63	тем же	1	1
64	но еще	1	1
65	в том	5	1
66	в первый	1	1
67	это не	3	1
68	уже в	2	1
69	в себе	3	1
70	одна из	1	1
71	и даже	1	1
72	и все-таки	2	1
73	и от	3	1
74	в этой	5	1
75	но это	1	1
76	так как	2	1
77	у него	22	1
78	что это	1	1
79	он в	2	1
80	в нем	10	1
81	и к	2	1
82	между двумя	1	1
83	и более	1	1
84	в конце	1	1
85	том что	2	1
86	не могут	3	1
87	на поверхности	1	1
88	в своем	2	1
89	которых в	1	1
