N	4gram	Vinokur_Vv_1	Myshleni
1	заключается в том что	2	6
2	одного и того же	2	4
3	собственном смысле этого слова	1	4
4	в собственном смысле этого	1	4
5	состоит в том что	2	3
6	в том виде как	1	2
7	в собственном смысле слова	1	2
8	с этой точки зрения	1	2
9	одной и той же	2	2
10	только в том что	1	2
11	так как если бы	1	1
12	бы то ни было	1	1
13	и не потому что	1	1
14	в том что с	1	1
15	и в этом смысле	1	1
16	тем не менее не	1	1
17	представление о том что	1	1
18	все же в них	1	1
19	не что иное как	4	1
20	заключается в том чтобы	1	1
21	приходим к выводу что	3	1
22	в гораздо большей мере	1	1
23	разница только в том	1	1
24	одном и том же	1	1
25	если принять во внимание	1	1
26	в том что в	1	1
27	в связи с этим	1	1
28	есть не что иное	2	1
