N	2gram	Tiupa_Anal_3	Myshleni
1	в этом	14	29
2	точки зрения	3	28
3	и в	18	26
4	для себя	1	24
5	не только	22	24
6	то что	2	24
7	таким образом	4	23
8	с точки	2	21
9	представляет собой	5	19
10	того чтобы	1	19
11	для того	1	18
12	в том	9	18
13	и не	12	18
14	том что	12	17
15	потому что	1	16
16	как и	14	15
17	как мы	1	14
18	того что	1	14
19	этом случае	1	14
20	с помощью	1	13
21	в ходе	1	12
22	и его	13	12
23	вместе с	2	12
24	что в	9	12
25	мысли и	1	11
26	в слове	5	11
27	только не	3	11
28	но и	13	11
29	не может	2	11
30	что они	3	10
31	по своей	2	10
32	в сущности	5	9
33	в самом	5	9
34	в себе	2	9
35	тем что	2	9
36	что мы	2	9
37	по своему	2	9
38	то же	3	8
39	той же	5	8
40	что она	2	8
41	что он	4	8
42	только в	2	8
43	ее в	1	8
44	сказать что	2	8
45	тем самым	4	8
46	мы не	3	7
47	и к	4	7
48	к тому	6	7
49	в ситуации	1	7
50	может быть	9	7
51	прежде всего	5	7
52	самом деле	2	6
53	вопрос о	1	6
54	во всех	2	6
55	по отношению	7	6
56	все же	4	6
57	все эти	2	6
58	было бы	3	6
59	в ее	3	6
60	нас к	1	6
61	между собой	1	6
62	мы могли	1	6
63	заключается в	1	6
64	связь между	1	6
65	именно в	3	6
66	а не	9	6
67	как бы	10	6
68	мы должны	1	6
69	как на	1	6
70	все что	1	6
71	тем же	1	5
72	оно есть	1	5
73	в целом	3	5
74	как говорит	3	5
75	могли бы	2	5
76	в силу	1	5
77	с тем	2	5
78	слова как	1	5
79	данном случае	3	5
80	никак не	1	5
81	во второй	7	5
82	является в	1	5
83	если бы	1	5
84	можно сказать	4	5
85	с одной	2	5
86	в качестве	12	5
87	в начале	6	5
88	одно из	1	5
89	себе в	1	5
90	и их	1	5
91	слова в	1	5
92	одной стороны	2	5
93	как это	3	5
94	в данном	4	5
95	отношению к	7	5
96	с этой	1	5
97	и для	2	5
98	бы в	1	5
99	едва ли	3	4
100	еще не	6	4
101	с другой	7	4
102	если в	3	4
103	это и	2	4
104	как в	3	4
105	но в	2	4
106	не можем	1	4
107	на то	1	4
108	не в	6	4
109	в той	2	4
110	не менее	4	4
111	никогда не	5	4
112	своей природе	1	4
113	связи с	1	4
114	в момент	2	4
115	не могут	1	4
116	не есть	4	4
117	слова с	1	4
118	приводит к	4	4
119	что у	1	4
120	о том	6	4
121	в его	7	4
122	и только	1	4
123	одной из	1	4
124	по этому	1	4
125	так что	1	4
126	в конце	5	4
127	о чем	4	4
128	и от	2	4
129	гораздо более	2	4
130	связана с	1	3
131	на самом	1	3
132	в первом	2	3
133	к другому	1	3
134	мы уже	1	3
135	есть не	2	3
136	совпадает с	1	3
137	в ней	2	3
138	но не	7	3
139	очевидно что	2	3
140	в этой	6	3
141	как к	2	3
142	самом начале	1	3
143	имеет в	1	3
144	из этих	3	3
145	учение о	1	3
146	он не	6	3
147	в первой	8	3
148	чем у	1	3
149	и по	2	3
150	так и	14	3
151	об этом	2	3
152	с другими	1	3
153	обратимся к	1	3
154	для него	6	3
155	в своей	1	3
156	втором случае	1	3
157	тем не	2	3
158	состоит в	4	3
159	для нее	1	3
160	по себе	4	3
161	в основе	1	3
162	к изучению	1	3
163	в самой	1	3
164	я не	1	3
165	во всем	3	3
166	каждой из	1	3
167	этом отношении	3	3
168	только по	1	3
169	представляется нам	2	3
170	такое что	1	3
171	мог бы	1	3
172	для этого	1	3
173	с ним	1	3
174	во втором	4	3
175	нуждается в	2	3
176	что и	5	3
177	это не	2	3
178	все больше	1	3
179	и является	1	3
180	есть в	1	3
181	мы можем	2	3
182	как раз	7	3
