N	3gram	Savitsky_P_1	Komedia
1	в том что	4	5
2	за то что	1	4
3	вместе с тем	1	4
4	для того чтобы	1	4
5	в том числе	2	3
6	то же время	7	3
7	до тех пор	1	3
8	в то же	7	3
9	чуть ли не	1	2
10	в этом смысле	1	2
11	в частности в	1	2
12	на пути к	1	2
13	в отличие от	1	2
14	с одной стороны	3	2
15	во всяком случае	1	2
16	друг с другом	1	2
17	быта если в	1	1
18	в этом стремлении	1	1
19	и вслед за	1	1
20	есть для нас	1	1
21	с точки зрения	3	1
22	и в то	2	1
23	потому что по	1	1
24	но и в	2	1
25	том числе и	1	1
26	и не менее	1	1
27	а в качестве	1	1
28	мы можем представить	1	1
29	можем представить себе	1	1
30	по сравнению с	1	1
31	само по себе	1	1
32	тех пор пока	1	1
33	с другой стороны	1	1
34	со столь же	1	1
35	в полной мере	2	1
36	не может быть	1	1
37	не было бы	1	1
38	более или менее	1	1
39	не только в	4	1
40	но в этом	1	1
41	тем более что	1	1
42	в большинстве случаев	1	1
