N	2gram	Medvedev_B_1	Problemy
1	и в	1	34
2	и не	2	29
3	все это	2	16
4	прежде всего	1	15
5	на самом	1	11
6	не только	1	10
7	а не	1	9
8	как будто	1	7
9	все же	1	7
10	что в	1	7
11	и на	1	6
12	в пределах	1	6
13	так и	1	6
14	таким образом	1	5
15	всяком случае	1	5
16	во всяком	1	5
17	еще не	1	4
18	что все	1	4
19	не о	1	4
20	с другой	1	4
21	говорить о	1	3
22	в ней	2	3
23	далеко не	1	3
24	в своей	1	3
25	по крайней	1	3
26	и во	1	3
27	крайней мере	1	3
28	до конца	1	3
29	другой стороны	1	3
30	за пределы	1	2
31	же не	1	2
32	было бы	1	2
33	о них	1	2
34	к ней	1	2
35	отнюдь не	1	2
36	и ее	1	2
37	не то	2	2
38	со всем	1	2
39	выходит за	1	2
40	было и	1	2
41	не было	1	2
42	и потому	1	2
43	вопрос о	1	2
44	будто бы	1	2
45	как таковому	1	1
46	стиля и	1	1
47	не все	1	1
48	бы только	1	1
49	литературных произведений	2	1
50	значительной степени	1	1
51	об этом	1	1
52	и более	1	1
53	всего в	1	1
54	и о	1	1
55	можно было	2	1
56	никак не	1	1
57	в значительной	1	1
58	об исторических	1	1
59	не склонен	1	1
60	на которой	1	1
61	точно и	1	1
62	пожалуй и	1	1
63	в данном	1	1
64	между ними	1	1
65	одной из	1	1
