N	4gram	Losev_Prob_2	StatiiOP
1	не имеет ничего общего	2	2
2	в том числе и	2	2
3	на эту тему в	1	2
4	и в этом случае	3	2
5	при таком положении дела	1	2
6	заключается в том что	2	2
7	имеет ничего общего с	2	2
8	в том что в	1	2
9	одним и тем же	1	2
10	вовсе не так уж	1	1
11	в то или иное	1	1
12	уже о том что	1	1
13	что же это за	1	1
14	в той или иной	1	1
15	что бы то ни	1	1
16	еще очень и очень	1	1
17	так и в отношении	1	1
18	о том что в	1	1
19	указание на то что	1	1
20	потому что ведь и	1	1
21	ни в каком случае	3	1
22	и в то же	1	1
23	только в том случае	2	1
24	говорить о том что	1	1
25	внимание на то что	1	1
26	во всяком случае не	2	1
27	в то время как	1	1
28	в каком случае не	2	1
29	может быть даже и	1	1
30	так или иначе но	1	1
31	ничего общего с этими	1	1
32	и в данном случае	1	1
33	точно так же и	1	1
34	а на самом деле	1	1
35	не может не быть	1	1
36	тем не менее и	1	1
37	во что бы то	1	1
38	а может быть даже	1	1
39	вопрос о том что	1	1
40	так же как и	1	1
41	мысль о том что	2	1
42	с самого же начала	1	1
43	также и то что	2	1
44	бы то ни стало	1	1
45	не говоря уже о	4	1
46	не может быть никакого	1	1
47	свидетельствует о том что	1	1
48	с нашей точки зрения	1	1
