N	3gram	Losev_Prob_5	Formalny
1	с точки зрения	8	13
2	в настоящее время	3	10
3	то же время	1	8
4	в то же	1	8
5	и т д	1	8
6	на самом деле	1	6
7	до сих пор	2	6
8	не может быть	2	5
9	по отношению к	2	4
10	с одной стороны	3	4
11	во всяком случае	2	4
12	так и в	1	4
13	бы то ни	2	3
14	по аналогии с	1	3
15	бы ни были	1	2
16	а вовсе не	1	2
17	в своей работе	1	2
18	в нем и	1	2
19	во что бы	1	2
20	и не в	2	2
21	как мы увидим	1	2
22	и в частности	3	2
23	что бы то	1	2
24	в большинстве случаев	1	2
25	но в то	1	2
26	и в этом	1	2
27	то ни стало	1	2
28	в связи с	7	2
29	связи с этим	1	2
30	сама по себе	1	2
31	состоит в том	1	1
32	но он глубоко	1	1
33	не говоря уже	1	1
34	все в нем	1	1
35	в этом смысле	3	1
36	должно было бы	1	1
37	как раз и	1	1
38	говоря уже о	1	1
39	в том что	8	1
40	но и в	2	1
41	в этом отношении	1	1
42	том числе и	1	1
43	и все в	1	1
44	на первом плане	3	1
45	положительное отношение к	1	1
46	с этой точки	1	1
47	вместе с тем	3	1
48	в это время	2	1
49	в данном случае	2	1
50	и если в	1	1
51	то ни было	1	1
52	а также и	1	1
53	все же в	1	1
54	и как бы	1	1
55	так или иначе	1	1
56	в новое время	3	1
57	с другой стороны	5	1
58	и в том	1	1
59	между тем как	1	1
60	этой точки зрения	1	1
61	и притом в	1	1
62	от того что	1	1
63	значимость всю свою	1	1
64	и до сих	1	1
65	хотя бы в	1	1
66	с самого начала	1	1
67	не менее в	1	1
68	но все же	2	1
69	с этой стороны	1	1
70	эту идею в	1	1
71	но даже и	2	1
72	нет у нас	1	1
73	в том числе	2	1
74	тех или иных	2	1
75	в предисловии к	1	1
76	тем не менее	5	1
