N	3gram	Losev_Prob_3	VLabPisa
1	и т д	13	15
2	с другой стороны	5	8
3	не может быть	5	8
4	более или менее	1	6
5	в то же	4	5
6	не было бы	3	4
7	в художественном произведении	1	4
8	в связи с	7	4
9	можно сказать что	2	4
10	равно как и	1	4
11	в том что	9	4
12	о том как	2	3
13	это и есть	1	3
14	о том что	3	3
15	к тому что	1	3
16	по одному тому	1	2
17	в чем же	1	2
18	до сих пор	2	2
19	только то что	2	2
20	таким образом в	1	2
21	можно было бы	3	2
22	одному тому что	1	2
23	по крайней мере	5	2
24	в том чтобы	1	2
25	с одной стороны	1	2
26	в конце концов	3	2
27	у л толстого	1	2
28	не могут не	1	2
29	во всех этих	1	2
30	уже по одному	1	2
31	во всяком случае	6	2
32	этой точки зрения	2	2
33	от того что	1	2
34	не только не	1	2
35	для того чтобы	1	2
36	если бы он	1	1
37	даже и в	2	1
38	и может быть	1	1
39	бросается в глаза	1	1
40	того или другого	3	1
41	и есть то	1	1
42	хотя может быть	1	1
43	то это вовсе	1	1
44	том смысле что	3	1
45	на этот вопрос	1	1
46	чем же в	2	1
47	хотя и не	2	1
48	имеются в виду	1	1
49	в той или	2	1
50	точки зрения на	1	1
51	в виду не	1	1
52	в прямом смысле	1	1
53	по существу своему	1	1
54	произведения и его	1	1
55	иметь в виду	1	1
56	теми или иными	1	1
57	то время как	4	1
58	в самом деле	1	1
59	у тургенева и	1	1
60	но даже и	4	1
61	что для него	1	1
62	же как и	2	1
63	это и значит	1	1
64	с этой точки	1	1
65	художественного произведения и	1	1
66	одним из главнейших	1	1
67	в таком случае	4	1
68	сами по себе	6	1
69	сама по себе	8	1
70	что он не	1	1
71	и значит что	1	1
72	но и в	2	1
73	художественными образами и	1	1
74	только в том	1	1
75	из них и	1	1
76	мы в данном	1	1
77	это вовсе не	4	1
78	не отличается от	1	1
79	том или ином	2	1
80	прямо и непосредственно	1	1
81	может быть и	3	1
82	по себе в	1	1
83	чем иным как	1	1
84	является не чем	1	1
85	то или иное	2	1
86	одно и то	3	1
87	есть то что	1	1
88	ту или иную	1	1
89	даже и не	4	1
90	же в таком	1	1
91	так или иначе	1	1
92	в целом и	1	1
93	и в обыденной	1	1
94	в том или	2	1
95	или ином отношении	1	1
96	не чем иным	1	1
97	с теми или	2	1
98	в данном случае	7	1
99	может быть даже	3	1
100	не только в	2	1
101	таким образом и	1	1
102	ни к какому	2	1
103	это понятие или	1	1
104	то же самое	7	1
105	и то же	4	1
106	так же как	1	1
107	имеет ничего общего	3	1
108	как будто бы	3	1
109	того что не	1	1
110	по сравнению с	2	1
111	самые разнообразные формы	1	1
112	не имели бы	1	1
113	хотя в порядке	1	1
114	по существу же	1	1
115	необходимо подчеркнуть что	1	1
116	все же не	1	1
117	вовсе не значит	1	1
118	ответ на этот	1	1
119	не имеет ничего	3	1
120	может быть никакого	1	1
121	что они не	1	1
122	в целом но	1	1
123	того или иного	3	1
124	но с другой	2	1
125	прав в том	2	1
126	в то время	4	1
127	быть и речи	1	1
128	та или иная	3	1
129	и никогда не	1	1
130	ничего общего с	2	1
131	не обходится без	1	1
132	чем же выражается	1	1
133	на то или	1	1
134	нет например в	1	1
135	идеи и образа	1	1
136	той или иной	8	1
137	мы говорим о	2	1
138	уже сама по	1	1
139	или иной мере	2	1
140	отнюдь не являются	1	1
141	том что и	1	1
142	в том смысле	3	1
143	для самого себя	2	1
144	характером и не	1	1
145	в художественном образе	1	1
146	мы только что	1	1
147	в результате этого	1	1
148	может быть в	1	1
149	дело не в	2	1
150	к тому же	1	1
151	могло бы быть	2	1
152	не значит что	2	1
153	только тогда когда	1	1
