N	2gram	Tiupa_Disk_2	Komedia
1	и в	16	26
2	и не	15	14
3	и его	3	12
4	к тому	1	12
5	так и	9	12
6	может быть	16	11
7	в том	8	11
8	в этом	16	10
9	но и	11	10
10	столь же	3	9
11	том что	10	9
12	вместе с	2	9
13	что в	5	9
14	и на	5	7
15	не только	10	7
16	н э	1	7
17	что и	2	7
18	из них	3	7
19	еще не	6	6
20	в своем	5	6
21	о том	4	6
22	в нем	7	6
23	таким образом	1	6
24	в то	5	6
25	потому что	4	6
26	и здесь	1	6
27	то что	5	6
28	в которой	1	5
29	с его	6	5
30	что он	2	5
31	так что	1	5
32	в истории	1	5
33	ни в	7	5
34	и с	2	5
35	один из	1	5
36	действующих лиц	1	5
37	в качестве	16	5
38	к этому	4	5
39	более чем	2	4
40	хотя и	1	4
41	в самом	1	4
42	в целом	2	4
43	из этих	3	4
44	с их	2	4
45	по имени	1	4
46	в них	3	4
47	как и	16	4
48	в этих	3	4
49	место в	2	4
50	не менее	7	4
51	как будто	3	4
52	в в	1	4
53	еще в	3	4
54	его в	3	4
55	восходит к	3	4
56	между тем	2	4
57	в его	3	4
58	только в	3	4
59	до нас	1	4
60	же в	1	4
61	на этот	1	4
62	прежде всего	7	4
63	мира в	3	4
64	в частности	12	4
65	как это	1	4
66	все же	6	4
67	и для	2	4
68	и от	1	4
69	одной из	1	4
70	точки зрения	4	4
71	речь идет	1	3
72	например в	3	3
73	тех же	1	3
74	в котором	3	3
75	то же	6	3
76	той же	2	3
77	вопрос о	1	3
78	того же	2	3
79	это время	1	3
80	в ней	2	3
81	во всех	1	3
82	как правило	1	3
83	но не	7	3
84	по отношению	4	3
85	как в	8	3
86	что касается	1	3
87	но в	11	3
88	демосфена и	1	3
89	со своей	1	3
90	в этой	4	3
91	но все	1	3
92	человека в	4	3
93	первую очередь	2	3
94	при всем	1	3
95	но если	1	3
96	в обоих	2	3
97	того как	1	3
98	же время	5	3
99	что на	2	3
100	и сам	1	3
101	в образе	1	3
102	к их	2	3
103	себя в	6	3
104	для всех	1	3
105	ответ на	1	3
106	искать в	1	3
107	и их	1	3
108	друг друга	1	3
109	тем что	1	3
110	в первую	2	3
111	здесь в	3	3
112	не было	3	3
113	о чем	2	3
114	из которых	1	3
115	и столь	1	3
116	отношению к	4	3
117	да и	1	3
118	с этой	1	3
119	все это	2	3
120	интерес к	2	3
121	а в	2	3
122	в период	4	3
123	в своей	6	3
124	жизни и	3	3
125	том числе	1	3
126	не может	9	3
127	одним из	1	2
128	и есть	1	2
129	перед лицом	2	2
130	в первом	1	2
131	мы имеем	2	2
132	мы не	1	2
133	говорить о	2	2
134	не вполне	1	2
135	он был	1	2
136	под названием	1	2
137	бы то	1	2
138	в ее	1	2
139	чем это	1	2
140	если в	1	2
141	отличие от	12	2
142	тут же	2	2
143	отнюдь не	6	2
144	идет о	2	2
145	в одной	1	2
146	с той	2	2
147	художественного мышления	1	2
148	в нашем	1	2
149	ни одна	1	2
150	роль в	4	2
151	не следует	3	2
152	три года	1	2
153	он не	3	2
154	и еще	1	2
155	в принципе	2	2
156	в силу	1	2
157	что ни	2	2
158	на этом	1	2
159	то ни	1	2
160	об этом	1	2
161	в глазах	1	2
162	это не	3	2
163	в это	1	2
164	не более	2	2
165	всяком случае	1	2
166	в отличие	12	2
167	сюжетная ситуация	1	2
168	не в	3	2
169	вовсе не	1	2
170	даже в	1	2
171	на пути	1	2
172	одна из	1	2
173	в одном	4	2
174	эта ситуация	1	2
175	такая же	1	2
176	с достаточной	1	2
177	не столь	2	2
178	не является	4	2
179	жизненных ситуаций	1	2
180	сюжета в	1	2
181	всего в	1	2
182	и это	2	2
183	говоря уже	1	2
184	с самого	1	2
185	так в	1	2
186	и что	1	2
187	в мире	11	2
