N	2gram	Losev_Prob_4	formyVre
1	и в	20	50
2	то есть	27	33
3	в романе	1	32
4	в этом	9	25
5	в нем	5	24
6	человека в	3	17
7	и его	10	16
8	в литературе	2	16
9	прежде всего	11	15
10	как мы	3	14
11	и не	28	14
12	в его	3	13
13	вовсе не	21	13
14	как раз	4	13
15	так и	10	12
16	человека и	1	11
17	то же	7	11
18	таким образом	8	11
19	может быть	9	11
20	и как	3	10
21	но в	8	10
22	времени и	4	10
23	с его	2	9
24	все эти	16	9
25	не только	24	9
26	в то	4	9
27	ничего не	1	9
28	в том	20	9
29	в конце	2	9
30	в других	2	9
31	и др	1	9
32	и т	4	8
33	того же	2	8
34	и на	3	8
35	в самом	2	8
36	ни в	17	8
37	т п	1	8
38	жизни в	2	8
39	но и	14	8
40	как и	6	8
41	жизни и	5	8
42	это время	1	7
43	для себя	2	7
44	и во	4	7
45	не было	3	7
46	в условиях	3	7
47	время в	1	6
48	во всех	4	6
49	как в	5	6
50	с этим	4	6
51	все же	2	6
52	это не	7	6
53	в их	1	6
54	так как	5	6
55	с ее	2	6
56	в ее	5	6
57	связи с	3	6
58	в жизни	3	6
59	у него	1	6
60	то что	15	6
61	человеческой жизни	5	6
62	в частности	2	6
63	не может	5	6
64	так же	5	6
65	в результате	8	6
66	и все	8	6
67	и до	1	5
68	время как	2	5
69	еще не	7	5
70	но не	5	5
71	этого типа	1	5
72	отнюдь не	10	5
73	и у	1	5
74	не в	13	5
75	этот ряд	1	5
76	он не	2	5
77	всех этих	6	5
78	жизни но	1	5
79	в основе	1	5
80	того чтобы	2	5
81	точки зрения	14	5
82	в разных	4	5
83	только и	5	5
84	могут быть	1	5
85	но все	3	5
86	в пределах	2	5
87	в образе	1	5
88	если бы	8	5
89	для того	3	5
90	в связи	3	5
91	что в	3	5
92	и другие	1	5
93	и то	2	4
94	и это	2	4
95	мы и	1	4
96	в ней	7	4
97	в своем	3	4
98	конечно не	3	4
99	то время	2	4
100	и пространства	1	4
101	но на	1	4
102	на площади	1	4
103	бытовой жизни	1	4
104	и с	7	4
105	в них	5	4
106	том что	12	4
107	в котором	2	4
108	здесь на	2	4
109	не имеет	4	4
110	потому что	15	4
111	здесь не	7	4
112	жизнь и	4	4
113	или как	1	4
114	только в	23	4
115	до конца	1	4
116	на этой	2	4
117	нет ничего	3	4
118	пространства и	1	4
119	в той	8	4
120	все это	9	4
121	между собой	2	4
122	кроме того	4	4
123	и для	4	4
124	судьбы и	1	4
125	том числе	1	4
126	по преимуществу	2	3
127	есть не	6	3
128	мы не	7	3
