N	2gram	Bakhtin_Fr_1	VrazhdaK
1	в году	6	18
2	не только	10	9
3	в этом	15	8
4	и в	65	8
5	но и	10	7
6	и все	5	7
7	то что	3	7
8	что в	3	7
9	все же	6	6
10	но в	14	6
11	в нем	13	6
12	как и	5	6
13	и с	3	6
14	о нем	3	6
15	в начале	1	6
16	и даже	8	6
17	в романе	2	6
18	то же	1	5
19	об этом	1	5
20	в то	1	5
21	же время	1	5
22	между тем	5	5
23	у него	1	5
24	не было	1	5
25	и не	22	5
26	в ней	6	4
27	что он	3	4
28	при этом	6	4
29	это не	3	4
30	несмотря на	2	4
31	все это	9	4
32	в виду	3	4
33	во многом	2	4
34	с ним	3	4
35	о том	2	4
36	для нас	4	4
37	уже в	1	4
38	может быть	6	4
39	как бы	22	4
40	в своих	5	4
41	речь идет	1	3
42	одним из	2	3
43	который был	2	3
44	он был	2	3
45	в чем	2	3
46	с его	5	3
47	в своем	8	3
48	и как	1	3
49	в этот	1	3
50	раз в	1	3
51	на то	1	3
52	его в	7	3
53	он не	2	3
54	далеко не	3	3
55	и уже	1	3
56	том что	6	3
57	но он	1	3
58	и его	10	3
59	связи с	4	3
60	по нашему	1	3
61	человека в	1	3
62	и во	3	3
63	в его	9	3
64	в том	16	3
65	и у	6	3
66	в конце	1	3
67	тем что	1	3
68	в связи	1	3
69	наряду с	2	3
70	к этому	1	3
71	отношения к	2	2
72	и он	2	2
73	но как	3	2
74	человека с	1	2
75	в известном	1	2
76	в той	5	2
77	его на	2	2
78	в письмах	1	2
79	в этой	4	2
80	в себе	3	2
81	о которой	1	2
82	их в	2	2
83	нашего времени	1	2
84	в них	5	2
85	рядом с	5	2
86	на первый	1	2
87	в эту	1	2
88	во время	4	2
89	точки зрения	7	2
90	в своей	5	2
91	и ее	1	2
92	с точки	3	2
93	место в	1	2
94	он тоже	1	2
95	не менее	1	2
96	одна из	1	2
97	никогда не	6	2
98	к себе	2	2
99	великих писателей	1	2
100	на это	1	2
101	время он	1	2
102	и это	2	2
103	так в	1	2
104	еще не	6	2
105	и образы	2	2
106	с нею	1	2
107	уже не	3	2
108	из них	4	2
109	его и	1	2
110	для него	5	2
111	отношение к	4	2
112	к ним	1	2
113	как раз	3	2
114	и т.п	17	2
115	и стал	1	2
116	о чем	1	2
117	начиная с	2	2
118	не может	3	2
119	в это	2	2
120	но это	3	2
121	же в	2	2
122	это в	4	2
123	а между	1	1
124	от этой	1	1
125	к людям	1	1
126	можно говорить	3	1
127	на творчество	1	1
128	человека и	1	1
129	не имел	1	1
130	это и	1	1
131	этот характер	1	1
132	ему не	1	1
133	что слово	1	1
134	несколько позже	1	1
135	по преимуществу	1	1
136	в их	4	1
137	по его	3	1
138	из всех	2	1
139	по объему	1	1
140	именно к	1	1
141	совпадает с	1	1
142	говорить о	1	1
143	роман в	1	1
144	с исторической	1	1
145	это время	2	1
146	литературе и	2	1
147	одном из	1	1
148	на них	2	1
149	первый план	1	1
150	всех в	1	1
151	по своему	8	1
152	и всего	1	1
153	совершенно прав	1	1
154	но не	2	1
155	есть по	1	1
156	в комедии	1	1
157	они эти	1	1
158	как в	5	1
159	с этим	1	1
160	для всех	1	1
161	как к	1	1
162	что как	1	1
163	как нам	1	1
164	и наконец	2	1
165	роль играет	1	1
166	поэтому он	1	1
167	в самом	4	1
168	в целом	2	1
169	тому же	1	1
170	во многих	2	1
171	как он	1	1
172	он всегда	1	1
173	не могла	1	1
174	развиваться в	1	1
175	в свет	1	1
176	да и	2	1
177	всех этих	8	1
178	дать лишь	1	1
179	же это	1	1
180	этот процесс	1	1
181	из него	1	1
182	людей и	1	1
183	это конечно	1	1
184	конечно в	2	1
185	мировой литературе	3	1
186	их и	1	1
187	самим собой	1	1
188	это было	2	1
189	смеха и	3	1
190	было бы	1	1
191	эпохи он	1	1
192	на пороге	1	1
193	в жизни	4	1
194	буржуазной европы	1	1
195	это сама	2	1
196	а за	1	1
197	его отношения	1	1
198	он и	3	1
199	в развитии	1	1
200	такой же	1	1
201	которую он	1	1
202	в этих	2	1
203	эта была	2	1
204	и их	3	1
205	можно найти	1	1
206	всяком случае	1	1
207	человеком и	1	1
208	печального образа	1	1
209	представление о	1	1
210	своего рода	1	1
211	полно и	2	1
212	без всяких	1	1
213	есть еще	1	1
214	не могли	1	1
215	возвращается к	1	1
216	раз и	2	1
217	на три	1	1
218	вплоть до	1	1
219	но они	1	1
220	тем самым	1	1
221	отражает и	1	1
222	от нас	1	1
223	даже во	1	1
224	в процессе	2	1
225	нем в	2	1
226	следовательно и	1	1
227	все свои	1	1
228	без преувеличения	1	1
229	своего прежнего	1	1
230	ничего не	3	1
231	в знаменитых	1	1
232	вне его	1	1
233	по своей	3	1
234	потому что	5	1
235	в эпизоде	2	1
236	до того	1	1
237	никуда не	1	1
238	этом отношении	3	1
239	в мировой	1	1
240	в духе	8	1
241	конечно гораздо	1	1
242	могут быть	2	1
243	вошли в	1	1
244	глаза в	1	1
245	ли не	1	1
246	сама жизнь	3	1
247	отличается от	1	1
248	уже на	1	1
249	у себя	1	1
250	и образ	1	1
251	но при	2	1
252	в ее	3	1
253	не могло	1	1
254	что раскрывается	1	1
255	идет не	1	1
256	роль в	2	1
257	к смерти	1	1
258	на страницах	1	1
259	и сам	1	1
260	так и	10	1
261	было в	1	1
262	еще в	1	1
263	именно этот	1	1
264	во второй	2	1
265	но у	2	1
266	жизнь и	1	1
267	и вообще	3	1
268	вышел в	1	1
269	во всяком	1	1
270	приближается к	1	1
271	удалении от	1	1
272	второй половине	2	1
273	в будущее	1	1
274	его жизни	1	1
275	до сих	4	1
276	единства и	1	1
277	как эта	1	1
278	нас в	1	1
279	затем в	1	1
280	к нему	3	1
281	во всех	9	1
282	особенно резко	1	1
283	от них	1	1
284	рыцарь печального	1	1
285	во всей	3	1
286	в форме	3	1
287	в свете	2	1
288	в литературе	6	1
289	к которому	1	1
290	один из	1	1
291	но с	2	1
292	ли он	1	1
293	проникнуть в	1	1
294	во всем	2	1
295	назад в	1	1
296	и раньше	1	1
297	начало в	4	1
298	же он	2	1
299	сколько в	1	1
300	самым он	1	1
301	целого ряда	1	1
302	между обоими	1	1
303	ни с	2	1
304	говорит о	1	1
305	в известной	3	1
306	в одном	5	1
307	друг друга	3	1
308	резко отличают	1	1
309	не просто	3	1
310	от того	2	1
311	в особенности	2	1
312	связан с	3	1
313	и речи	1	1
314	с другой	3	1
315	именно в	1	1
316	характерно для	3	1
317	труд и	1	1
318	с героями	1	1
319	прежде всего	11	1
320	выше и	1	1
321	только по	1	1
322	что им	1	1
323	максимальном удалении	1	1
324	на этот	2	1
325	нашему мнению	1	1
326	до конца	2	1
327	и самый	2	1
328	с конца	2	1
329	обычно не	1	1
330	во франции	3	1
331	нет ничего	3	1
332	в частности	5	1
333	людей было	1	1
334	этот мотив	1	1
335	из которых	1	1
336	он смотрел	1	1
337	каковы же	2	1
338	этого типа	1	1
339	и довольно	1	1
340	того что	2	1
341	был в	1	1
342	в свое	2	1
343	еще к	1	1
344	еще раз	2	1
345	известном смысле	1	1
346	в условиях	13	1
347	сих пор	4	1
348	в основном	2	1
349	с последним	1	1
350	между прочим	2	1
351	но для	3	1
352	под влиянием	1	1
353	мире а	1	1
354	более того	2	1
355	восходящая к	2	1
356	и от	2	1
357	но на	3	1
358	это можно	2	1
359	людьми и	2	1
360	это как	4	1
361	хотя и	2	1
362	бы в	1	1
363	еще более	5	1
364	но зато	1	1
365	уже давно	1	1
366	отношении к	1	1
367	а о	1	1
368	другой стороны	1	1
369	они как	1	1
370	больших и	1	1
371	жизни и	7	1
372	как на	1	1
373	в таком	2	1
374	все что	1	1
375	они не	1	1
