N	2gram	Berdyaev_N_1	TeoriaLi
1	в мире	3	24
2	не только	5	18
3	и не	11	16
4	а в	2	14
5	и в	16	13
6	так и	2	12
7	может быть	7	12
8	в этом	7	11
9	в том	8	11
10	но не	2	10
11	и его	1	10
12	а не	17	10
13	в его	1	9
14	такого рода	2	8
15	своего рода	1	8
16	но и	3	8
17	что в	9	8
18	отличие от	1	7
19	в себе	2	7
20	том что	2	7
21	в отличие	1	7
22	в то	2	7
23	по своей	1	7
24	только в	1	7
25	себя в	2	7
26	как это	2	7
27	еще не	3	6
28	с его	6	6
29	но в	2	6
30	лишь в	6	6
31	место в	2	6
32	жизни как	2	5
33	в своем	1	5
34	в самом	1	5
35	он не	8	5
36	как и	7	5
37	не в	6	5
38	в нем	5	5
39	в ее	3	5
40	а также	1	5
41	уже не	2	5
42	не случайно	1	5
43	с другой	3	5
44	как в	3	5
45	по преимуществу	1	4
46	говорить о	1	4
47	хотя и	2	4
48	то что	4	4
49	ни в	6	4
50	в своей	3	4
51	не столько	1	4
52	не менее	4	4
53	приводит к	1	4
54	можно сказать	1	4
55	но он	1	4
56	и т.п	2	4
57	и а	1	4
58	мира и	2	4
59	в свою	1	4
60	на смену	1	4
61	не знает	6	4
62	сказать что	3	4
63	не может	16	4
64	и к	5	3
65	все эти	2	3
66	в этой	1	3
67	этом смысле	2	3
68	в этих	1	3
69	никогда не	6	3
70	потому что	4	3
71	другой стороны	2	3
72	и что	2	3
73	во времени	1	3
74	слова в	1	3
75	с ее	5	3
76	нового времени	12	3
77	прежде всего	4	3
78	и потому	4	3
79	по своему	4	3
80	к которому	1	3
81	в основе	3	3
82	ни к	2	3
83	того же	1	2
84	и это	2	2
85	это и	2	2
86	перед лицом	1	2
87	но она	2	2
88	на себя	1	2
89	я не	2	2
90	в чем	1	2
91	и мира	1	2
92	у него	2	2
93	за пределы	3	2
94	говорит что	1	2
95	в которой	1	2
96	к одному	1	2
97	это не	4	2
98	передо мной	1	2
99	на уровне	2	2
100	и того	1	2
101	одного и	1	2
102	к такой	1	2
103	войне и	1	2
104	их в	1	2
105	по себе	1	2
106	своей природе	1	2
107	как будто	2	2
108	и для	4	2
109	роль в	2	2
110	не с	1	2
111	мы в	1	2
112	в виду	1	2
113	о том	4	2
114	особого рода	1	2
115	времени в	2	2
116	это было	3	2
117	к нему	1	2
118	во всех	3	2
119	с одной	2	2
120	этой системе	1	2
121	в большинстве	1	2
122	в конце	1	2
123	и даже	2	2
124	в области	1	2
125	себя и	1	2
126	одной стороны	2	2
127	а на	1	2
128	не на	1	2
129	человеческой жизни	1	2
130	одну из	1	2
131	вместе с	2	2
132	так же	2	2
133	и особенно	1	2
134	к жизни	3	2
135	в той	1	2
136	могут быть	2	2
137	в мировой	2	2
138	к тому	3	2
139	жизни в	3	2
140	что он	1	2
141	культуры в	5	2
142	также что	1	1
143	человека и	3	1
144	и через	1	1
145	связана с	2	1
146	и есть	10	1
147	этого мира	1	1
148	и до	1	1
149	можно лишь	1	1
150	со всех	4	1
151	же как	2	1
152	не во	4	1
153	вопрос о	3	1
154	героя но	1	1
155	от своих	1	1
156	это всегда	1	1
157	личности с	1	1
158	думаю что	1	1
159	освобождения от	1	1
160	и на	2	1
161	на них	1	1
162	на их	1	1
163	совсем не	12	1
164	значение для	1	1
165	или к	1	1
166	есть нарушение	1	1
167	в истории	3	1
168	в центре	2	1
169	обращения к	1	1
170	ей было	1	1
171	глубже чем	1	1
172	а блок	1	1
173	духа и	3	1
174	добро и	1	1
175	к чему	1	1
176	он в	1	1
177	из этих	1	1
178	тоже не	1	1
179	в известном	1	1
180	с их	2	1
181	не могла	2	1
182	духовной культуры	1	1
183	жизнью и	1	1
184	что она	2	1
185	в статье	1	1
186	одному из	1	1
187	человеческого духа	1	1
188	в силу	1	1
189	по существу	2	1
190	том числе	1	1
191	подобно тому	3	1
192	явление культуры	1	1
193	не будет	7	1
194	что все	2	1
195	таким центром	1	1
196	том случае	1	1
197	для будущего	1	1
198	а по	1	1
199	времени и	2	1
200	большинстве случаев	1	1
201	теми которые	1	1
202	было бы	1	1
203	весь мир	1	1
204	в них	4	1
205	нет в	1	1
206	с тем	3	1
207	всю жизнь	1	1
208	не всегда	1	1
209	он и	1	1
