N	3gram	Tiupa_Disk_1	Mirosoze
1	не может быть	3	8
2	никогда не было	1	3
3	до сих пор	1	3
4	это и есть	1	3
5	а не в	2	2
6	подобно тому как	2	2
7	также и в	1	2
8	в нем нет	1	2
9	на этом пути	1	2
10	о том что	5	2
11	по отношению к	9	2
12	как и в	1	2
13	и те же	1	2
14	в том что	13	2
15	том что в	2	1
16	прежде всего как	1	1
17	потому что в	1	1
18	человек не мог	1	1
19	том что он	1	1
20	с точки зрения	1	1
21	не могли быть	1	1
22	как и все	1	1
23	сам по себе	1	1
24	что он не	1	1
25	в этом отношении	1	1
26	на то что	1	1
27	был прежде всего	1	1
28	в значительной степени	2	1
29	а не только	2	1
30	не было в	2	1
31	не могу не	1	1
32	по природе своей	5	1
33	одни и те	1	1
34	в xix веке	1	1
35	в этом направлении	1	1
36	хотя и в	2	1
37	не то чтобы	1	1
38	не может существовать	1	1
39	в действительности это	1	1
40	той или иной	3	1
41	определяется не внешними	1	1
42	к которому он	1	1
43	на самом деле	1	1
44	во всех его	1	1
45	природе своей не	1	1
46	по своей природе	2	1
