N	3gram	Ircho_Kome_3	Otkroven
1	к человеку и	1	4
2	для того чтобы	6	3
3	и в этом	1	2
4	что у него	1	2
5	и никогда не	1	2
6	отношение к человеку	1	1
7	по сравнению с	2	1
8	хотя и не	2	1
9	чем в других	1	1
10	в этом огромном	1	1
11	с утра до	1	1
12	в самом деле	6	1
13	как бы в	1	1
14	о том как	3	1
15	так и не	1	1
16	с тобой а	1	1
17	не было и	1	1
18	и не может	1	1
19	во всяком случае	3	1
20	после того как	1	1
21	он и не	2	1
22	о том что	4	1
23	в этом отношении	2	1
24	самое главное в	1	1
25	и в самом	3	1
26	и там и	1	1
27	любви к человеку	1	1
28	каждом из них	1	1
29	в том что	9	1
30	на то что	1	1
31	утра до вечера	1	1
32	в каждом из	1	1
33	друг с другом	1	1
34	в самом начале	1	1
35	там и здесь	1	1
36	и в его	1	1
