N	3gram	Vinokur_St_2	Formalny
1	с точки зрения	2	14
2	на самом деле	1	12
3	в то же	1	7
4	то же время	1	7
5	во всяком случае	3	6
6	и т д	6	6
7	и т п	3	5
8	в зависимости от	1	5
9	с другой стороны	3	5
10	в самом деле	2	4
11	для того чтобы	5	4
12	то ни было	2	4
13	в связи с	1	4
14	бы то ни	2	4
15	в данном случае	1	4
16	одни и те	1	3
17	в том что	16	3
18	по отношению к	1	3
19	в этом отношении	9	3
20	вместе с тем	5	3
21	и те же	1	3
22	в этом смысле	1	2
23	так и в	2	2
24	одним и тем	1	2
25	в конце концов	1	2
26	дело не в	1	2
27	к тому что	5	2
28	и тем же	1	2
29	не только не	2	2
30	сами по себе	2	2
31	т п в	1	2
32	как мы видели	1	2
33	в полной силе	1	2
34	в высшей степени	1	2
35	дело в том	4	2
36	в отличие от	2	2
37	тем не менее	2	2
38	как бы ни	1	2
39	произведения но и	1	1
40	о том что	11	1
41	отчета в том	1	1
42	с самого начала	3	1
43	так же как	3	1
44	сам по себе	1	1
45	так или иначе	1	1
46	в одной из	2	1
47	тот факт что	4	1
48	начале своей статьи	1	1
49	что в его	1	1
50	и пр в	1	1
51	идет не о	1	1
52	в это время	2	1
53	ни в каком	1	1
54	но и здесь	2	1
55	и в том	1	1
56	не могло в	1	1
57	говорит о том	1	1
58	т е в	1	1
59	именно в этом	1	1
60	потому что они	1	1
61	до сих пор	5	1
62	иметь в виду	3	1
63	бы ни была	1	1
64	и сами по	1	1
65	что в этом	1	1
66	в той же	1	1
67	быть не могло	1	1
68	те или другие	1	1
69	в начале своей	1	1
70	иначе и быть	1	1
71	в этом случае	1	1
72	с тем что	2	1
73	но столь же	1	1
74	т е не	1	1
75	в виду что	1	1
76	одним из элементов	1	1
77	говорит об этом	2	1
78	свое выражение в	2	1
79	на то что	2	1
80	в настоящее время	1	1
81	в значительной степени	2	1
82	той мере в	2	1
83	в том числе	1	1
84	совершенно независимо от	1	1
85	мере в какой	2	1
86	и быть не	1	1
87	и вместе с	1	1
88	но все же	2	1
89	все это и	1	1
90	в своей работе	1	1
91	и на этом	1	1
92	и интонаций в	1	1
93	не в том	2	1
94	что же касается	1	1
95	каких бы то	1	1
96	в том же	2	1
97	в отношении к	1	1
98	в той мере	2	1
99	от реальной действительности	1	1
100	в качестве мотивировки	1	1
