N	3gram	Bakhtin_Fr_1	Poddanst
1	в то же	1	7
2	то же время	1	7
3	в отношении к	1	5
4	не только в	1	4
5	в том что	6	4
6	с точки зрения	3	3
7	сами по себе	1	3
8	с одной стороны	2	3
9	в том числе	10	2
10	и не только	1	2
11	но и в	2	2
12	в значительной мере	2	2
13	имеет не только	1	2
14	в ней и	1	1
15	многие из тех	1	1
16	половины xix века	1	1
17	чуть ли не	1	1
18	в настоящее время	1	1
19	или хотя бы	1	1
20	что с точки	1	1
21	и не может	1	1
22	в эту эпоху	1	1
23	можно говорить о	1	1
24	в отличие от	4	1
25	в последующие века	1	1
26	в собственном смысле	1	1
27	и пр в	1	1
28	полноте и чистоте	1	1
29	и в частности	2	1
30	в применении к	3	1
31	все это в	1	1
32	потому что по	1	1
33	хотя и без	1	1
34	в xix веке	1	1
35	и наряду с	1	1
36	между тем в	1	1
37	главным образом на	2	1
38	но в общем	1	1
39	во всяком случае	1	1
40	с другой стороны	1	1
41	не в отрыве	1	1
42	не может быть	1	1
43	большей степени чем	1	1
44	но в то	1	1
45	именно потому что	1	1
46	в большинстве случаев	2	1
47	друг с другом	1	1
48	в известном смысле	1	1
49	для того чтобы	1	1
50	в нем в	2	1
51	в отрыве от	2	1
52	том числе и	7	1
