N	2gram	Nazirov_Tr_1	Analitik
1	не только	8	22
2	тогда как	1	20
3	и в	18	18
4	как и	5	14
5	так и	5	14
6	в этом	9	14
7	и его	6	13
8	но и	4	13
9	том что	4	12
10	и не	7	12
11	в частности	2	12
12	при этом	3	11
13	ивана петровича	6	10
14	то есть	3	10
15	как бы	7	10
16	что в	4	9
17	может быть	7	9
18	а не	1	9
19	в том	2	9
20	со своей	1	8
21	с его	2	8
22	своего рода	3	8
23	не случайно	2	8
24	и даже	4	8
25	в его	3	7
26	но не	1	7
27	еще не	4	6
28	в этой	4	6
29	он не	2	6
30	не в	2	6
31	к тому	2	6
32	для него	3	6
33	о том	2	6
34	той же	1	5
35	в самом	2	5
36	лишь в	1	5
37	в мире	3	5
38	что и	2	5
39	между тем	1	5
40	уже не	2	5
41	в конце	3	5
42	никогда не	2	5
43	прежде всего	4	5
44	я в	1	5
45	не является	1	5
46	в результате	1	5
47	представляет собой	1	5
48	и на	7	4
49	столь же	2	4
50	что он	6	4
51	отнюдь не	3	4
52	в своем	3	4
53	и как	3	4
54	таким образом	1	4
55	по себе	1	4
56	тем самым	3	4
57	в одном	2	4
58	не менее	1	4
59	и сам	3	4
60	не есть	1	4
61	о чем	3	4
62	в данном	2	4
63	все же	5	4
64	перед нами	2	4
65	героя и	1	4
66	я и	1	3
67	который в	2	3
68	в целом	4	3
69	уже в	3	3
70	но как	1	3
71	как говорит	2	3
72	как в	3	3
73	роль в	1	3
74	роли в	1	3
75	в году	9	3
76	то же	5	3
77	его в	2	3
78	лишь на	1	3
79	не столько	1	3
80	все это	4	3
81	в то	5	3
82	только не	1	3
83	ничего не	2	3
84	же время	6	3
85	указывает на	1	3
86	с ее	3	3
87	в ее	2	3
88	данном случае	2	3
89	жизнь и	3	3
90	мысль о	1	3
91	восходит к	1	3
92	именно в	1	3
93	дело с	1	3
94	во всем	1	3
95	в особенности	1	3
96	в финале	1	3
97	что не	1	3
98	не было	1	3
99	он и	2	3
100	его как	1	3
101	как это	3	3
102	к жизни	5	3
103	известной степени	1	3
104	по поводу	2	3
105	во сне	2	3
106	только к	2	2
107	например в	1	2
108	самом деле	1	2
109	в первом	2	2
110	возвращения из	1	2
111	в становлении	1	2
112	на себя	1	2
113	и он	3	2
114	в ней	1	2
115	во всех	1	2
116	в противовес	1	2
117	свою жизнь	1	2
118	в общем	1	2
119	отличие от	2	2
120	это и	1	2
121	более чем	1	2
122	но в	6	2
123	бы и	2	2
124	все эти	3	2
125	в себе	4	2
126	не могла	1	2
127	так сказать	1	2
128	что она	2	2
129	в нем	4	2
130	поведение в	2	2
131	не как	1	2
132	и вот	1	2
133	о его	2	2
134	и по	1	2
135	это не	5	2
136	борьбе за	1	2
137	в них	1	2
138	пушкина и	1	2
139	с тем	2	2
140	несмотря на	5	2
141	не мог	2	2
142	в отличие	2	2
143	тем не	1	2
144	но они	2	2
145	вплоть до	1	2
146	одна из	2	2
147	судя по	1	2
148	по своей	1	2
149	в момент	1	2
150	могут быть	1	2
151	его за	2	2
152	в дальнейшем	5	2
153	в борьбе	1	2
154	об этом	4	2
155	лицо его	2	2
156	и здесь	2	2
157	и т.д	1	2
158	в глаза	2	2
159	в глазах	2	2
160	в форме	1	2
161	дистанция между	1	2
162	один из	3	2
163	только в	1	2
164	то в	1	2
165	и ее	2	2
166	с одной	1	2
167	всяком случае	1	2
168	нуждается в	1	2
169	не для	1	2
170	на меня	2	2
171	тем что	2	2
172	это по	1	2
173	в романе	10	2
174	говорит о	2	2
175	одну из	1	2
176	не может	5	2
177	о себе	1	2
178	о своих	1	2
179	вместе с	1	2
180	и потому	1	2
181	в той	1	2
182	этого слова	1	2
183	и от	1	2
184	и все	4	2
185	личности и	2	2
186	то что	4	2
187	совершенно не	1	2
188	в иной	1	2
189	к числу	1	2
190	никогда в	1	2
191	а также	1	2
192	во всяком	1	2
193	а между	1	1
194	также что	1	1
195	человека и	1	1
196	сам по	1	1
197	и есть	1	1
198	из самых	2	1
199	и до	2	1
200	на две	1	1
201	жизни ее	1	1
202	намек на	1	1
203	собой как	1	1
204	вопрос о	2	1
205	и гордости	1	1
206	я не	4	1
207	не способен	1	1
208	в таком	2	1
209	он был	2	1
210	между собой	1	1
211	он сам	7	1
212	себя а	1	1
213	всего этого	1	1
214	слова были	1	1
215	этого мотива	1	1
216	с отцом	1	1
217	отношение к	2	1
218	должны были	1	1
219	за пределы	1	1
220	самого рассказчика	1	1
221	в истории	1	1
222	эта похвальба	1	1
223	одном из	2	1
224	своей и	1	1
225	между отцом	1	1
226	говорит что	2	1
227	чтоб я	1	1
228	напомним что	1	1
229	имеет в	2	1
230	и хотя	1	1
231	сливается с	1	1
232	с творческой	1	1
233	последняя фраза	1	1
234	бы не	1	1
235	за себя	1	1
236	но без	1	1
237	это тот	1	1
238	в записках	2	1
239	которой не	1	1
240	на мысль	1	1
241	и еще	1	1
242	чем у	1	1
243	стороне его	1	1
244	этом мире	1	1
245	дистанции между	1	1
246	здесь мы	1	1
247	а затем	1	1
248	факт что	1	1
249	несколько времени	1	1
250	того кто	1	1
251	в другом	1	1
252	видит что	1	1
253	был первым	1	1
254	а по	1	1
255	это было	1	1
256	заключается в	1	1
257	он есть	1	1
258	отца и	2	1
259	есть и	1	1
260	но от	1	1
261	на свои	1	1
262	еще недавно	1	1
263	рядом с	1	1
264	перед другом	1	1
265	в самую	2	1
266	этого персонажа	1	1
267	мировой литературы	1	1
268	а за	1	1
269	которой он	1	1
270	года и	1	1
271	должно быть	3	1
272	обратимся к	1	1
273	несовместимое с	1	1
274	но я	1	1
275	не выдерживает	1	1
276	этом случае	1	1
277	в своей	1	1
278	право на	1	1
279	к истории	1	1
280	где мы	1	1
281	что сердце	1	1
282	отцом и	2	1
283	эстетическая позиция	1	1
284	на всю	1	1
285	открывается в	1	1
286	что имя	1	1
287	теперь я	1	1
288	друг перед	1	1
289	же во	1	1
290	эта встреча	1	1
291	любви и	2	1
292	с ним	3	1
293	с литературными	1	1
294	спор с	1	1
295	у него	6	1
296	того чтобы	1	1
297	не понимал	1	1
298	его речи	1	1
299	иными словами	1	1
300	стола и	1	1
301	она хочет	1	1
302	потому что	2	1
303	и теперь	1	1
304	связи с	1	1
305	же слова	1	1
306	смысл этой	1	1
307	как будто	3	1
308	ему в	1	1
309	перед ним	1	1
310	в стиле	1	1
311	и далее	1	1
312	и обращается	1	1
313	не могут	2	1
314	встречается в	1	1
315	не вызывает	1	1
316	уже было	1	1
317	этот сын	1	1
318	в поле	3	1
319	что уже	1	1
320	как некое	1	1
321	своего отца	3	1
322	что при	1	1
323	в применении	1	1
324	как мы	1	1
325	и о	1	1
326	по определению	1	1
327	позицию по	1	1
328	свою руку	1	1
329	романе в	1	1
330	даже отчасти	1	1
331	природе своей	1	1
332	не за	2	1
333	жизни на	1	1
334	по природе	1	1
335	мог бы	3	1
336	ко всему	1	1
337	на них	1	1
