N	3gram	Berdyaev_N_1	Istorich
1	так же как	2	12
2	совершенно так же	1	6
3	до сих пор	1	5
4	же как и	1	4
5	с другой стороны	2	4
6	не может быть	4	4
7	о том что	1	2
8	в средние века	3	2
9	не только в	1	2
10	то что он	1	2
11	между небом и	1	1
12	подобно тому как	3	1
13	в том числе	1	1
14	что в этом	1	1
15	и не может	1	1
16	в зависимости от	1	1
17	но и в	1	1
18	тому как в	1	1
19	но наряду с	1	1
20	может быть только	1	1
21	то время как	1	1
22	и трудно будет	1	1
23	и в большинстве	1	1
24	было то что	1	1
25	и вместе с	1	1
26	не могут быть	1	1
27	не в том	1	1
28	хотя и в	1	1
29	вместе с тем	2	1
30	как будто бы	1	1
31	в этом он	1	1
32	в то время	1	1
33	это и есть	1	1
34	он не имеет	2	1
35	но для чего	1	1
36	в большинстве случаев	1	1
37	о том чтобы	1	1
38	как и в	1	1
