N	3gram	Medvedev_F_1	Myslijsy
1	в том что	1	16
2	смысле этого слова	3	7
3	по отношению к	4	5
4	то же время	8	5
5	от того что	1	5
6	в то же	8	5
7	вместе с тем	1	4
8	с другой стороны	1	4
9	но и в	1	4
10	то же что	1	4
11	более или менее	6	3
12	до сих пор	6	3
13	с одной стороны	4	3
14	в свою очередь	6	3
15	и т д	8	3
16	тем не менее	1	3
17	не может быть	5	3
18	что и в	1	3
19	и может быть	1	2
20	место в системе	1	2
21	в этом отношении	1	2
22	и т п	4	2
23	в том чтобы	2	2
24	но вместе с	1	2
25	и в том	1	2
26	именно в том	1	2
27	мы не можем	2	2
28	так и в	4	2
29	не только не	2	2
30	как бы ни	3	2
31	с этой стороны	1	2
32	самих по себе	1	2
33	к тому что	1	2
34	сама по себе	2	2
35	одной стороны и	4	1
36	его места в	1	1
37	в чем же	1	1
38	в душе и	1	1
39	одним словом не	1	1
40	не говоря уже	1	1
41	на самом деле	6	1
42	ему в то	1	1
43	же время и	1	1
44	что оно не	1	1
45	что как бы	1	1
46	говоря уже о	1	1
47	сами по себе	2	1
48	друг друга не	1	1
49	бы ни было	1	1
50	в строгом смысле	2	1
51	не было как	1	1
52	и конечно не	1	1
53	и не менее	3	1
54	и в каждом	2	1
55	до тех пор	1	1
56	в противном случае	1	1
57	со всех сторон	1	1
58	была бы уже	1	1
59	в целом и	1	1
60	сводится к тому	2	1
61	все это в	1	1
62	по себе не	1	1
63	в данном случае	1	1
64	бы быть только	1	1
65	из виду что	2	1
66	для нас это	1	1
67	и ближайшим образом	1	1
68	он может и	1	1
69	а не как	1	1
70	так или иначе	1	1
71	так и на	1	1
72	но и с	1	1
73	что касается до	1	1
74	как в самом	1	1
75	строгом смысле этого	1	1
76	самом деле в	1	1
77	именно того что	2	1
78	иначе как в	1	1
79	форма и содержание	1	1
80	художественного произведения и	2	1
81	во всем своем	1	1
82	и что между	1	1
83	содержание художественного произведения	1	1
84	заключается в том	1	1
85	каждого из этих	1	1
86	определенное место в	1	1
87	это и не	1	1
88	и тем самым	1	1
89	ничего общего с	1	1
90	это значит что	1	1
91	если представить себе	1	1
92	в художественном произведении	2	1
93	может и не	1	1
94	друг от друга	2	1
95	заключается именно в	1	1
96	т п мы	1	1
97	и может стать	1	1
98	все то что	1	1
99	в их отношении	1	1
100	этого слова но	1	1
101	их отношении к	1	1
102	как мы видели	2	1
103	вне связи с	1	1
104	в какие оно	1	1
