N	2gram	Propp_Russ_1	Freidism
1	таким образом	6	24
2	и не	6	23
3	не может	4	20
4	точки зрения	3	19
5	в этом	12	15
6	в его	2	15
7	и пр	2	15
8	мы можем	2	13
9	может быть	8	13
10	и его	1	12
11	все эти	2	11
12	как и	10	11
13	с точки	3	11
14	как бы	5	11
15	то что	6	11
16	самом деле	1	10
17	но в	2	10
18	его в	1	10
19	жизни человека	1	10
20	с ним	2	10
21	как мы	10	10
22	так и	7	10
23	и потому	2	10
24	с его	1	9
25	во всех	4	9
26	по отношению	1	9
27	и в	36	9
28	то же	3	8
29	не только	22	8
30	он не	1	8
31	еще не	4	8
32	что он	1	8
33	только в	4	8
34	так как	15	8
35	все это	6	8
36	и все	1	8
37	отношению к	1	8
38	все что	1	8
39	мы уже	1	7
40	и наконец	1	7
41	ни в	1	7
42	мы видели	1	7
43	те же	1	7
44	к нему	1	7
45	один из	8	7
46	тот же	1	7
47	мы знаем	1	7
48	всяком случае	1	7
49	сказать что	1	7
50	во всяком	1	7
51	в ней	2	6
52	и с	2	6
53	и ее	1	6
54	точку зрения	1	6
55	того что	4	6
56	на самом	2	5
57	и на	10	5
58	в чем	1	5
59	и к	3	5
60	в этой	1	5
61	мы должны	2	5
62	в то	1	5
63	могут быть	2	5
64	для этого	2	5
65	но мы	1	5
66	можно сказать	1	5
67	в большинстве	2	5
68	большинстве случаев	2	5
69	а в	9	5
70	но и	16	5
71	с этим	2	5
72	в период	1	5
73	в свою	3	5
74	что в	19	5
75	и за	1	4
76	связанных с	1	4
77	мы не	6	4
78	в которой	1	4
79	говорить о	1	4
80	зависимости от	1	4
81	совсем не	1	4
82	но не	2	4
83	в собственном	1	4
84	все же	5	4
85	не было	2	4
86	из этих	4	4
87	в пределах	1	4
88	в нем	2	4
89	всех этих	2	4
90	на этом	3	4
91	связанные с	3	4
92	при этом	6	4
93	об этом	9	4
94	в жизни	2	4
95	на основании	1	4
96	во время	14	4
97	не менее	3	4
98	в основе	1	4
99	потому что	10	4
100	и для	2	4
101	к тому	4	4
102	данном случае	1	4
103	с ними	5	4
104	уже не	6	4
105	не дает	1	4
106	от того	1	4
107	и др	4	4
108	себя и	2	4
109	в данном	1	4
110	и о	1	4
111	в более	2	4
112	в этих	3	4
113	этот вопрос	2	4
114	между ними	1	4
115	в таком	1	4
116	таком случае	1	3
117	собственном смысле	1	3
118	на место	1	3
119	на себя	2	3
120	он был	2	3
121	такие же	1	3
122	а только	1	3
123	в общем	1	3
124	как в	5	3
125	и как	2	3
126	между двумя	2	3
127	в себе	1	3
128	и те	3	3
129	главным образом	2	3
130	и по	8	3
131	что все	1	3
132	было бы	1	3
133	уже знаем	1	3
134	мы имеем	4	3
135	такой же	2	3
136	случае не	1	3
137	тому что	4	3
138	одна из	4	3
139	представления и	2	3
140	методы изучения	1	3
141	ни о	1	3
142	не могут	1	3
143	она не	2	3
144	ничего общего	2	3
145	свою очередь	2	3
146	всем этим	1	3
147	приводит к	3	3
148	если бы	1	3
149	и что	4	3
150	во втором	1	3
151	на другие	2	3
152	у него	2	3
153	в них	6	3
154	на этот	3	3
155	вместе с	10	3
156	по своему	1	3
157	но это	4	3
158	не является	1	3
159	это как	1	3
160	когда он	2	3
161	не знает	1	3
162	жизни и	1	3
163	по поводу	1	3
164	чтобы не	1	2
165	тех же	1	2
166	тем же	1	2
167	в первом	1	2
168	и до	2	2
169	что между	1	2
170	в первый	4	2
171	по учению	1	2
172	не совсем	4	2
173	как не	2	2
174	того же	1	2
175	между собой	2	2
176	не отличается	1	2
177	не без	1	2
178	с которыми	1	2
179	ответ на	1	2
180	себе и	1	2
181	отличие от	1	2
182	относится к	1	2
183	же с	1	2
184	в своем	3	2
185	от этого	1	2
186	в этот	10	2
187	не приходится	1	2
188	что это	3	2
189	в нашем	2	2
190	что она	2	2
191	их в	3	2
192	но все	3	2
193	в совершенно	1	2
194	наибольшее значение	1	2
195	на этой	2	2
196	это не	10	2
197	на почве	1	2
198	но их	1	2
199	чаще всего	3	2
200	и смерти	1	2
201	по всему	1	2
202	поэтому они	1	2
203	только о	1	2
204	этом мы	1	2
205	жизни то	1	2
206	которой он	1	2
207	на две	1	2
208	так называемый	2	2
209	том что	19	2
210	что значит	1	2
211	но если	1	2
212	во второй	1	2
213	и при	1	2
214	в их	4	2
215	в отличие	1	2
216	теми же	1	2
217	общего не	1	2
218	как это	8	2
219	но для	1	2
220	дело не	1	2
221	к этим	1	2
222	тому кто	1	2
223	в самых	1	2
224	тем не	3	2
225	и теперь	1	2
226	только с	1	2
227	этом отношении	1	2
228	является по	1	2
229	в области	3	2
230	же что	1	2
231	должны быть	1	2
232	они и	2	2
233	оно не	1	2
234	для себя	1	2
235	из всего	1	2
236	в виду	1	2
237	на основе	1	2
238	нами выше	1	2
239	можно сделать	3	2
240	даже самых	1	2
241	пытается объяснить	1	2
242	в глаза	1	2
243	и вообще	1	2
244	стремление к	1	2
245	выводу что	2	2
246	и поэтому	2	2
247	нуждается в	1	2
248	что и	7	2
249	во всей	1	2
250	в настоящей	1	2
251	что бы	1	2
252	всего этого	1	2
253	также в	3	2
254	быть и	2	2
255	на которой	1	2
256	мы видим	2	2
257	в какой	2	2
258	даже если	1	2
259	очень много	1	2
260	не можем	3	2
261	и у	5	2
262	уже в	1	2
263	только на	3	2
264	борьбы с	2	2
265	в нашей	1	2
266	из них	8	2
267	его и	2	2
268	точка зрения	1	2
269	в прошлом	2	2
270	с этими	1	2
271	заметить что	1	2
272	влияние на	1	2
273	а с	4	2
274	до конца	2	2
275	связано с	1	2
276	которых мы	1	2
277	а не	2	2
278	что мы	1	2
279	так же	3	2
280	мы остановимся	1	2
281	и всей	2	2
282	в развитии	1	2
283	представления но	1	2
284	в основном	3	2
285	только для	2	2
286	для нас	6	2
287	есть и	1	2
288	в заключение	1	2
289	и другие	13	2
290	в своих	2	2
291	к этому	4	2
292	как на	1	2
293	они не	1	2
294	и методы	1	1
295	мы начнем	1	1
296	ту же	1	1
297	можно говорить	2	1
298	и т	10	1
299	о каких	1	1
300	же как	1	1
301	а из	1	1
302	но тем	2	1
303	и должны	1	1
304	что дает	1	1
305	показать что	1	1
306	и первую	1	1
307	каждого кто	1	1
308	не имеют	1	1
309	оно было	1	1
310	с таким	1	1
311	часть его	1	1
312	несколько иной	1	1
313	их и	3	1
314	в несколько	1	1
315	полагает что	6	1
316	на тех	2	1
317	смерти как	1	1
318	или наоборот	1	1
319	и другими	2	1
320	которую мы	1	1
321	в семье	1	1
322	вопрос о	1	1
323	но она	2	1
324	но чаще	1	1
325	жизни как	1	1
326	рая и	1	1
327	но даже	2	1
328	ему в	1	1
329	теории происхождения	1	1
330	в целом	2	1
331	так а	1	1
332	жизни это	1	1
333	в каждой	1	1
334	значение чем	1	1
335	вывод что	3	1
336	что по	4	1
337	не был	1	1
338	природы и	2	1
339	другой пример	1	1
340	обстояло дело	2	1
341	только потому	1	1
342	же она	1	1
343	при исследовании	1	1
344	в качестве	3	1
345	и видевший	1	1
346	иногда и	5	1
347	мы сейчас	1	1
348	отличаются от	1	1
349	что они	7	1
350	которые не	3	1
351	в истории	1	1
352	что во	1	1
353	независимо от	2	1
354	общего с	1	1
355	это ни	1	1
356	имеют только	1	1
357	в различные	1	1
358	это был	1	1
359	однако не	1	1
360	как уже	4	1
361	в круг	2	1
362	его к	2	1
363	выделить и	1	1
364	полагают что	1	1
365	но эта	1	1
366	та же	2	1
367	меньшей мере	1	1
368	по преимуществу	1	1
369	общеизвестно что	1	1
370	говорят о	1	1
371	как он	2	1
372	этот вывод	1	1
373	на то	1	1
374	материал из	1	1
375	по-видимому не	1	1
376	что было	1	1
377	т д	9	1
378	все другие	1	1
379	с нашим	1	1
380	теперь еще	1	1
381	его от	2	1
