N	3gram	Propp_Russ_1	Otkroven
1	и в этом	1	2
2	с тем что	1	2
3	он был еще	1	2
4	как будто бы	1	1
5	хотя и не	1	1
6	том что в	6	1
7	друг к другу	2	1
8	и в том	1	1
9	в совершенно ином	1	1
10	бросается в глаза	1	1
11	может быть назван	1	1
12	во всяком случае	1	1
13	в россии в	1	1
14	который в них	1	1
15	он должен был	1	1
16	после того как	2	1
17	о том что	4	1
18	в этом отношении	1	1
19	как это часто	1	1
20	в том что	15	1
21	а иногда и	3	1
22	природы и ее	1	1
23	на то что	1	1
24	друг с другом	1	1
25	как и в	1	1
26	на этот случай	1	1
