N	2gram	Bakhtin_Fr_8	Stilisti
1	и в	56	42
2	не только	8	27
3	как бы	11	27
4	и т.п	11	24
5	прежде всего	6	22
6	и т.д	3	20
7	то же	11	15
8	но и	9	15
9	и не	9	14
10	не может	2	12
11	может быть	3	12
12	мы уже	10	11
13	как и	5	11
14	точки зрения	6	11
15	в этом	14	10
16	и как	2	10
17	как мы	7	10
18	ситуации и	1	10
19	мы не	2	9
20	при этом	4	9
21	в то	12	9
22	для того	2	9
23	то что	3	9
24	в ней	4	8
25	все же	2	8
26	в себе	4	8
27	таким образом	17	8
28	и это	1	8
29	с тем	2	8
30	эти слова	1	8
31	и на	7	7
32	в которой	4	7
33	было бы	2	7
34	и тем	1	7
35	так как	4	7
36	никогда не	5	7
37	же время	10	7
38	потому что	6	7
39	того чтобы	4	7
40	с его	5	7
41	слов и	3	7
42	только в	9	7
43	и его	12	7
44	мы можем	1	7
45	а не	2	7
46	и от	1	7
47	во всех	8	6
48	точку зрения	1	6
49	в этой	6	6
50	но ведь	1	6
51	на его	6	6
52	в нем	8	6
53	не в	3	6
54	в процессе	5	6
55	в области	5	6
56	так и	13	6
57	язык и	2	6
58	в форме	3	6
59	язык в	4	6
60	и так	1	6
61	или иной	1	6
62	речи и	3	6
63	той же	6	5
64	уже в	2	5
65	в нашем	2	5
66	в той	6	5
67	независимо от	1	5
68	и наконец	3	5
69	и с	8	5
70	же мы	1	5
71	мы видели	5	5
72	с точки	2	5
73	тому что	1	5
74	а в	2	5
75	же самое	1	5
76	те же	1	5
77	в его	18	5
78	и является	1	5
79	и их	8	5
80	слова в	1	5
81	точек зрения	2	5
82	с помощью	3	5
83	вместе с	2	5
84	слова и	3	5
85	у которого	1	5
86	и то	2	4
87	самом деле	2	4
88	тем же	1	4
89	себя в	1	4
90	и к	4	4
91	но в	6	4
92	в самом	9	4
93	что это	4	4
94	так сказать	5	4
95	уже не	3	4
96	можно было	1	4
97	его в	2	4
98	самого начала	1	4
99	всего в	1	4
100	к тому	1	4
101	той или	2	4
102	языка и	6	4
103	с самого	1	4
104	было в	1	4
105	если бы	2	4
106	о том	4	4
107	влияние на	1	4
108	можно сказать	2	4
109	которой мы	1	4
110	того что	1	4
111	один из	5	4
112	мы видим	6	4
113	в качестве	4	4
114	вопроса о	1	4
115	точка зрения	2	4
116	связаны с	6	4
117	не просто	3	4
118	а с	1	4
119	в слове	2	4
120	то есть	24	4
121	к своему	1	4
122	все это	8	4
123	бы в	3	4
124	того времени	4	4
125	так же	2	4
126	на самом	2	3
127	является наиболее	1	3
128	жизни это	1	3
129	еще не	10	3
130	видели что	3	3
131	то он	1	3
132	перед нами	3	3
133	хотя и	2	3
134	мертвых душ	6	3
135	та же	1	3
136	не к	1	3
137	и вот	1	3
138	их в	4	3
139	языком и	1	3
140	здесь мы	3	3
141	связанных с	1	3
142	лишь в	1	3
143	это не	2	3
144	ведь в	3	3
145	не мог	3	3
146	том что	8	3
147	бы мы	1	3
148	в потоке	2	3
149	и внешней	1	3
150	слова как	1	3
151	связи с	6	3
152	слова но	1	3
153	что оно	1	3
154	в виду	1	3
155	но при	1	3
156	в ее	6	3
157	роль в	5	3
158	мы в	1	3
159	приближается к	1	3
160	и здесь	3	3
161	должно было	1	3
162	жизни и	1	3
163	конечно не	4	3
164	только на	2	3
165	из них	2	3
166	его и	1	3
167	в котором	2	3
168	в одном	2	3
169	что и	3	3
170	и даже	8	3
171	и эта	2	3
172	расстояние между	1	3
173	в тех	1	3
174	этого слова	1	3
175	в начале	1	3
176	и для	2	3
177	для нас	1	3
178	и все	6	3
179	главным образом	3	3
180	язык не	1	3
181	между ними	2	3
182	не знает	1	3
183	сказать что	3	3
184	с природой	1	2
185	также и	2	2
186	человека и	2	2
187	что эти	2	2
188	в какой-то	1	2
189	и конечно	2	2
190	вопрос о	1	2
191	и он	1	2
192	не нужно	1	2
193	между собой	1	2
194	и всего	1	2
195	но не	5	2
196	значение и	2	2
197	себе и	2	2
198	как в	1	2
199	целый ряд	2	2
200	роль играет	1	2
201	бы и	2	2
202	т.п но	1	2
203	все эти	15	2
204	и те	2	2
205	тому же	1	2
206	друг другу	2	2
207	этот процесс	1	2
208	слово это	1	2
209	к миру	1	2
210	в реальной	1	2
211	понимания и	1	2
212	и сам	2	2
213	по своему	8	2
214	под воздействием	1	2
215	связанные с	1	2
216	зрения на	2	2
217	но мы	1	2
218	которые с	1	2
219	не всегда	1	2
220	жизненного общения	1	2
221	в этих	11	2
222	и при	2	2
223	в своей	2	2
224	в отношении	5	2
225	мы говорили	1	2
226	место в	1	2
227	в которых	2	2
228	совершенно иначе	1	2
229	в мире	2	2
230	которые в	1	2
231	имели в	1	2
232	в основе	4	2
233	о них	2	2
234	каждый из	1	2
235	смысл его	1	2
236	это слово	1	2
237	был и	2	2
238	этом отношении	1	2
239	в каком	2	2
240	и несколько	4	2
241	из всего	1	2
242	здесь не	1	2
243	в пределах	5	2
244	с собой	2	2
245	времени и	4	2
246	и вообще	1	2
247	с ним	2	2
248	по своей	4	2
249	речи не	1	2
250	в значительной	2	2
251	к нему	2	2
252	этих слов	1	2
253	в языке	1	2
254	в середине	1	2
255	языка мы	1	2
256	на отдельные	1	2
257	видим что	2	2
258	как например	3	2
259	в том	13	2
260	тот же	1	2
261	одной из	3	2
262	что он	2	2
263	как нечто	1	2
264	для всех	1	2
265	события и	2	2
266	да еще	1	2
267	или даже	1	2
268	для него	2	2
269	тем что	1	2
270	а на	2	2
271	говорить и	1	2
272	к которому	3	2
273	еще и	3	2
274	больше и	1	2
275	чичикова с	1	2
276	не было	5	2
277	даже на	1	2
278	до конца	11	2
279	должна была	1	2
280	в связи	3	2
281	равно как	1	2
282	связь с	3	2
283	нет ничего	1	2
284	стадии своего	1	2
285	и потому	4	2
286	из которых	2	2
287	в первой	3	2
288	классовой борьбы	1	2
289	несколько дальше	1	2
290	впечатлений от	1	2
291	сих пор	8	2
292	но это	2	2
293	мы найдем	2	2
294	войти в	1	2
295	и ни	1	2
296	несмотря на	2	2
297	связанный с	2	2
298	в частности	7	2
299	они еще	3	2
300	к этому	2	2
301	в своих	4	2
302	гораздо более	1	2
303	смысле слова	1	1
304	ту же	4	1
305	одним из	5	1
306	чтобы не	1	1
307	лишь там	2	1
308	обычны в	1	1
309	перед лицом	1	1
310	и всем	1	1
311	и до	10	1
312	от всяких	1	1
313	и развитие	1	1
314	слова которые	1	1
315	в их	3	1
316	когда происходит	1	1
317	те времена	2	1
318	из всех	2	1
319	например в	4	1
320	всего того	1	1
321	для своего	2	1
322	словами в	1	1
323	при анализе	1	1
324	с более	1	1
325	оно означает	1	1
326	и последующих	1	1
327	бы что	1	1
328	на меже	4	1
329	в сущности	8	1
330	они были	4	1
331	ему в	1	1
332	и явлений	2	1
333	того же	1	1
334	из ее	1	1
335	и официальной	1	1
336	одного человека	1	1
337	не был	4	1
338	явления например	1	1
339	людей это	1	1
340	в чем	1	1
341	там и	1	1
342	с реальной	1	1
343	появляется и	2	1
344	одним словом	1	1
345	и другие	5	1
346	к которой	1	1
347	в новом	1	1
348	растений и	1	1
349	в зеркале	1	1
350	значение имеет	2	1
351	связи и	3	1
352	требует и	1	1
353	там где	3	1
354	быта и	1	1
355	в одной	1	1
356	в своем	3	1
357	кроме того	3	1
358	понять и	1	1
359	и слова	1	1
360	когда он	2	1
361	более или	2	1
362	за собой	1	1
363	сливается с	1	1
364	и следующую	1	1
365	возможно что	2	1
366	он в	1	1
367	из этих	1	1
368	были связаны	2	1
369	отчасти и	2	1
370	еще один	2	1
371	с их	2	1
372	время этот	1	1
373	речи их	1	1
374	все они	6	1
375	и оценками	1	1
376	вообще не	1	1
377	а скорее	1	1
378	прямой смысл	1	1
379	он не	5	1
