N	3gram	Savitsky_E_1	Komedia
1	в том что	6	9
2	в то время	1	5
3	с другой стороны	2	5
4	к тому же	1	5
5	то время как	1	4
6	в одном из	2	4
7	то же время	14	4
8	в то же	15	4
9	и т д	1	4
10	в этом отношении	3	3
11	речь идет о	1	3
12	с одной стороны	8	3
13	из всего этого	1	2
14	о том насколько	1	2
15	не говоря уже	2	2
16	во второй половине	2	2
17	говоря уже о	1	2
18	но и в	1	2
19	то ни было	4	2
20	за тем как	1	2
21	бы то ни	4	2
22	во всяком случае	3	2
23	именно потому что	1	2
24	на то что	2	2
25	не находим в	1	1
26	хотя и не	1	1
27	следует отметить что	1	1
28	или хотя бы	2	1
29	что же касается	1	1
30	в силу этого	1	1
31	другой стороны в	1	1
32	чуть ли не	1	1
33	то наше внимание	1	1
34	более или менее	1	1
35	большей или меньшей	1	1
36	в том числе	1	1
37	в соответствии с	1	1
38	в том же	1	1
39	же как и	3	1
40	с этой точки	5	1
41	и не только	1	1
42	в свою пользу	1	1
43	друг другу их	1	1
44	независимо от того	1	1
45	можно было бы	3	1
46	в этот период	1	1
47	в аттику и	1	1
48	в значительной степени	1	1
49	в применении к	3	1
50	между тем с	1	1
51	так же как	5	1
52	представление о том	1	1
53	в данном случае	2	1
54	к сожалению не	1	1
55	не только в	4	1
56	на этот раз	1	1
57	смысле этого слова	1	1
58	только в виде	1	1
59	в отличие от	1	1
60	о которых мы	1	1
61	в стороне от	1	1
62	этой точки зрения	5	1
63	в тех случаях	1	1
64	мы не находим	1	1
65	что и сам	1	1
66	не означает что	1	1
67	именно с этой	1	1
68	и прежде всего	3	1
69	же время для	1	1
70	и насколько можно	1	1
71	друг от друга	2	1
72	совершенно очевидно что	1	1
73	тех случаях когда	1	1
74	в большинстве случаев	2	1
75	из составных частей	1	1
76	к тому что	1	1
77	и по своей	1	1
78	в отношении к	12	1
79	как мы видели	2	1
80	или вовсе не	1	1
81	для того чтобы	5	1
82	насколько можно судить	1	1
83	на то чтобы	1	1
84	и тот же	1	1
