N	3gram	Vygotskiy__6	VrazhdaK
1	и все же	1	5
2	в связи с	2	3
3	с точки зрения	10	2
4	как раз в	2	2
5	не может быть	2	2
6	в том что	19	2
7	то что я	1	1
8	в котором он	1	1
9	в этом смысле	2	1
10	в ответ на	1	1
11	в том же	2	1
12	на первый план	1	1
13	до сих пор	3	1
14	и не может	2	1
15	и начинается с	1	1
16	в этом отношении	3	1
17	независимо от того	2	1
18	в этот период	1	1
19	точно так же	1	1
20	но мы знаем	1	1
21	и то что	2	1
22	о том как	1	1
23	едва ли не	1	1
24	так же как	6	1
25	в конце концов	1	1
26	и в этом	1	1
27	от того как	1	1
28	с другой стороны	2	1
29	как бы в	1	1
30	связи с этим	1	1
31	тем не менее	1	1
32	заключается в том	5	1
33	в то время	6	1
34	его отношение к	2	1
35	в свою очередь	1	1
36	не только не	2	1
37	на этот раз	1	1
38	я не знаю	1	1
39	но в этом	1	1
40	не с точки	1	1
41	на то что	4	1
