1	записок из подполья	3	5
2	от него и	1	4
3	в нем нет	1	3
4	из подполья и	1	3
5	в романах достоевского	4	3
6	в записках из	1	3
7	записках из подполья	1	3
8	для того чтобы	1	3
9	что же это	1	2
10	и в этом	2	2
11	а не в	1	2
12	как и все	2	2
13	не может быть	3	2
14	потому что в	1	1
15	в этом отношении	1	1
16	как будто бы	1	1
17	это потому что	1	1
18	и то что	1	1
19	но к этому	1	1
20	смысле этого слова	2	1
21	в противоречии с	1	1
22	все это было	2	1
23	прежде всего в	1	1
24	в строгом смысле	1	1
25	заключает в себе	1	1
26	то что в	1	1
27	он и не	2	1
28	и не может	2	1
29	так и не	1	1
30	строгом смысле этого	1	1
31	и в самом	3	1
32	в том что	2	1
33	в братьях карамазовых	3	1
34	действующих лиц в	1	1
35	мышкиным и рогожиным	1	1
36	из подполья но	1	1
37	как бы в	1	1
38	к чему бы	1	1
39	а вовсе не	1	1
40	у достоевского есть	1	1
41	с его собственным	1	1
42	может быть что	1	1
43	почему же не	2	1
44	да и то	1	1
45	бы он ни	1	1
46	друг с другом	4	1
47	он ни был	1	1
48	в самом деле	1	1
49	не в силах	2	1
50	что и это	1	1
51	и в том	1	1
52	самое главное и	1	1
53	и прежде всего	4	1
54	героя из подполья	3	1
55	сам по себе	2	1
56	записки из подполья	1	1
57	и к чему	1	1
58	о том что	1	1
59	друг к другу	3	1
60	между этими двумя	1	1
61	всех героев достоевского	1	1
62	в обычном смысле	2	1
63	как и в	1	1
64	что в центре	1	1
65	у достоевского нет	2	1
66	смирись гордый человек	1	1
67	в других романах	1	1
68	да ведь это	1	1
69	я уверен что	2	1
70	и все это	2	1
71	вы скажете что	2	1
72	о том как	1	1
73	и все эти	1	1
74	во всяком случае	4	1
75	и не в	2	1
