N	3gram	Medvedev_F_1	Freidism
1	с точки зрения	13	11
2	по отношению к	4	8
3	во всяком случае	4	7
4	не может быть	5	7
5	в большинстве случаев	2	5
6	в зависимости от	2	4
7	то же время	8	4
8	в то же	8	4
9	в данном случае	1	4
10	на самом деле	6	4
11	в последнем счете	1	4
12	как мы видели	2	4
13	бы то ни	3	3
14	к тому чтобы	1	3
15	в свою очередь	6	3
16	с самого начала	1	3
17	до сих пор	6	2
18	и не может	2	2
19	в отличие от	1	2
20	в первый период	1	2
21	может быть и	3	2
22	в предыдущей главе	1	2
23	но в то	2	2
24	так и в	4	2
25	в его целом	8	2
26	все то что	1	2
27	во всех своих	1	2
28	в этом отношении	1	2
29	и притом в	1	2
30	во внешнем мире	1	2
31	в ее целом	3	2
32	зависимости от того	1	2
33	то ни было	1	2
34	с одной стороны	4	2
35	тем не менее	1	2
36	мы уже знаем	1	2
37	в высшей степени	1	2
38	в своей основе	1	2
39	может войти в	2	1
40	и может быть	1	1
41	имеющие отношения к	1	1
42	нет и не	2	1
43	не имеющие отношения	1	1
44	форма и содержание	1	1
45	последовательно и до	1	1
46	или хотя бы	1	1
47	сводится к тому	2	1
48	и не имеющие	1	1
49	поэтому они сами	1	1
50	то ни стало	2	1
51	а вовсе не	2	1
52	как и всякое	1	1
53	первый период развития	1	1
54	что в данном	1	1
55	но даже и	1	1
56	как бы ни	3	1
57	кроме этого отношения	1	1
58	гораздо большей степени	1	1
59	в нем и	2	1
60	во что бы	2	1
61	как раз и	1	1
62	вполне понятно что	1	1
63	и биология в	1	1
64	как и все	2	1
65	хотя бы и	1	1
66	научной основательности и	1	1
67	во внешнем объективном	1	1
68	можно говорить о	1	1
69	конечно не может	1	1
70	в дальнейшей жизни	1	1
71	на самом же	1	1
72	по аналогии с	3	1
73	никаких оснований для	1	1
74	в гораздо большей	1	1
75	вещей и социальных	1	1
76	почва на которой	1	1
77	со всех сторон	1	1
78	отнюдь не является	1	1
79	именно того что	2	1
80	и до конца	3	1
81	что бы то	2	1
82	мы полагаем что	2	1
83	во внутренней речи	1	1
84	большое значение в	1	1
85	в двух направлениях	1	1
86	социальные связи в	1	1
87	до конца и	1	1
88	среда в которой	1	1
89	но вместе с	1	1
90	а также и	1	1
91	по сравнению с	1	1
92	так и с	1	1
93	и пр все	2	1
94	и потому не	1	1
95	с помощью тех	1	1
96	сил и энергий	1	1
97	только с точки	1	1
98	вкратце остановиться на	1	1
99	формы и ее	1	1
100	в целом ряде	2	1
101	как в самом	1	1
102	роковую роль в	1	1
103	и пр и	2	1
104	мы не можем	2	1
105	от того что	1	1
106	каждого из этих	1	1
107	теперь с точки	1	1
108	ничего общего с	1	1
109	что между ними	1	1
110	к нему и	1	1
111	и его содержание	1	1
112	не только не	2	1
113	глубже и существеннее	1	1
114	ее целом а	1	1
115	при ознакомлении с	1	1
116	но все же	1	1
117	художественной формы и	1	1
118	свою очередь является	2	1
119	смысле этого слова	3	1
120	в этом смысле	1	1
121	превращения его в	1	1
122	пр и пр	2	1
123	и т д	8	1
124	то же что	1	1
125	самом же деле	1	1
126	в том что	1	1
127	что и в	1	1
128	и входит в	1	1
129	со всем этим	1	1
