1	и в	19	37
2	в отношении	1	32
3	в пределах	1	25
4	точки зрения	4	23
5	что в	4	21
6	не только	8	18
7	с точки	3	17
8	в то	9	16
9	то же	12	15
10	отношении к	1	15
11	хотя бы	2	15
12	же время	9	14
13	но в	2	14
14	в качестве	5	14
15	но и	10	14
16	и не	11	14
17	в своем	1	14
18	в этом	9	12
19	в области	4	11
20	в том	10	11
21	в их	3	11
22	россия в	1	11
23	так и	7	10
24	в смысле	1	9
25	отнюдь не	4	9
26	не может	9	9
27	так же	1	9
28	прежде всего	4	9
29	все более	1	9
30	в себе	6	9
31	в ее	2	8
32	было бы	2	8
33	к тому	1	8
34	одной стороны	6	8
35	в своей	1	8
36	с одной	7	8
37	с другой	8	7
38	как и	10	7
39	а также	2	7
40	и выше	2	7
41	того что	5	7
42	так как	3	7
43	то есть	5	6
44	того чтобы	1	6
45	том что	7	6
46	как бы	2	6
47	вовсе не	2	6
48	то что	7	6
49	во всех	3	6
50	стороны и	1	6
51	для того	2	6
52	на то	1	6
53	и даже	8	6
54	и на	6	6
55	с этой	2	6
56	может быть	17	6
57	от этого	1	5
58	столь же	5	5
59	не в	4	5
60	в частности	4	5
61	и потому	1	5
62	и по	1	5
63	в россии	2	5
64	тем самым	3	5
65	как нам	1	5
66	но не	5	5
67	одной из	2	5
68	этой точки	1	5
69	же как	2	5
70	со стороны	3	5
71	как мы	1	5
72	мира в	2	4
73	и притом	1	4
74	для нас	2	4
75	как это	2	4
76	культуры в	1	4
77	той или	1	4
78	не имеет	1	4
79	то ни	1	4
80	не служит	1	4
81	даже в	4	4
82	в самом	1	4
83	в ней	4	4
84	то в	2	4
85	именно в	1	4
86	во многих	1	4
87	в перспективе	1	4
88	или иной	1	4
89	ни было	2	4
90	но даже	1	4
91	бы то	1	4
92	можно сказать	1	4
93	мы не	4	4
94	потому что	2	3
95	идет о	3	3
96	в культуре	3	3
97	в свою	1	3
98	на себя	2	3
99	место в	1	3
100	тем что	4	3
101	как было	1	3
102	мира и	1	3
103	и для	3	3
104	того же	4	3
105	говорит о	1	3
106	никогда не	3	3
107	приближается к	1	3
108	существования в	1	3
109	из всех	1	3
110	и прежде	1	3
111	как на	3	3
112	в результате	2	3
113	в таком	1	3
114	очевидно что	2	3
115	когда он	1	3
116	в психологии	1	3
117	свой народ	1	3
118	себе в	1	3
119	можно было	1	3
120	в данном	3	3
121	обстоит дело	1	3
122	что и	2	3
123	и к	2	3
124	как в	1	3
125	в них	2	3
126	и мы	1	3
127	ее в	1	3
128	в будущем	1	3
129	не более	2	3
130	во второй	1	3
131	не является	2	3
132	из них	2	3
133	этом отношении	3	3
134	себе не	2	3
135	по нашему	1	3
136	и от	1	3
137	о том	2	3
138	с тем	2	3
139	на долю	1	3
140	представляет собой	2	3
141	мы видели	1	3
142	в сфере	4	3
143	в известном	1	3
144	и только	2	3
145	всего лишь	3	3
146	жизни в	4	3
147	и некоторые	1	3
148	культуры как	2	2
149	и теперь	1	2
150	есть не	1	2
151	свою очередь	1	2
152	что это	1	2
153	и никакое	1	2
154	именно к	1	2
155	не могут	1	2
156	в своих	2	2
157	наряду с	1	2
158	а не	20	2
159	же в	2	2
160	как же	1	2
161	одном из	2	2
162	говоря уже	2	2
163	исключительно в	1	2
164	поскольку речь	2	2
165	в других	1	2
166	в истории	2	2
167	с большой	1	2
168	он сам	1	2
169	вместе с	5	2
170	в развитии	1	2
171	но с	3	2
172	и наконец	2	2
173	культурной традиции	1	2
174	во всей	1	2
175	еще более	1	2
176	в не	1	2
177	например с	1	2
178	и все	1	2
179	он не	5	2
180	жизни и	4	2
181	но было	1	2
182	частности в	1	2
183	что на	1	2
184	бы в	1	2
185	притом в	1	2
186	всего в	1	2
187	человечества как	1	2
188	и что	2	2
189	в одном	2	2
190	в случае	1	2
191	но по	1	2
192	такой же	3	2
193	и то	3	2
194	и как	3	2
195	в какой	2	2
196	не говоря	2	2
197	должна быть	1	2
198	и эта	1	2
199	данном случае	3	2
200	из того	2	2
201	по преимуществу	2	2
202	не к	2	2
203	если в	2	2
204	и с	3	2
205	есть в	1	2
206	иначе говоря	1	2
207	а в	3	2
208	и других	4	2
209	его собственная	1	2
210	в его	4	2
211	культуры и	1	2
212	таким образом	1	2
213	в мире	9	2
214	к той	1	2
215	что же	1	2
216	могут быть	2	2
217	по своей	1	2
218	ко всему	2	2
219	во втором	1	2
220	мог бы	1	2
221	но как	2	2
222	наш путь	2	2
223	нашему мнению	1	2
224	меньшей степени	1	2
225	с другими	1	2
226	на основе	1	2
227	другой стороны	4	2
228	далеко не	1	2
229	а именно	3	2
230	в этих	1	2
231	жизни мира	1	2
232	но именно	1	2
233	более чем	1	2
234	не можем	1	2
235	в этой	3	2
236	и еще	2	2
237	вплоть до	3	1
238	в глубине	1	1
239	для него	4	1
240	отрекается от	1	1
241	сводится к	1	1
242	борьбы за	1	1
243	оно достигает	1	1
244	переходит в	1	1
245	к жизни	2	1
246	различие между	1	1
247	самих себя	1	1
248	является в	1	1
249	культуры вполне	1	1
250	ее и	1	1
251	констатировать в	1	1
252	путь наш	1	1
253	только и	1	1
254	в соответствии	1	1
255	который по	1	1
256	одно из	2	1
257	мире как	1	1
258	слова и	7	1
259	все что	2	1
260	все эти	1	1
261	на свой	1	1
262	древней воли	1	1
263	мы стремились	1	1
264	мира своей	1	1
265	в духовной	1	1
266	а для	1	1
267	воли пронзил	1	1
268	есть наиболее	1	1
269	и его	3	1
270	в последнем	1	1
271	в отношениях	1	1
272	потребности в	1	1
273	жизни вообще	1	1
274	войти в	1	1
275	дело с	1	1
276	поэзии и	2	1
277	сведена к	1	1
278	одного из	1	1
279	при этом	6	1
280	при рассмотрении	1	1
281	в каждой	2	1
282	и до	2	1
283	ли не	4	1
284	мире и	1	1
285	именно таким	1	1
286	рядом с	1	1
287	в ту	1	1
288	являет собой	2	1
289	приходится признавать	1	1
290	пронзил нам	1	1
291	их будет	1	1
292	уже не	2	1
293	нам представляется	2	1
294	то как	2	1
295	с ним	2	1
296	перед лицом	1	1
297	выше и	2	1
298	свое собственное	1	1
299	к числу	1	1
300	тех кто	4	1
301	в определенной	1	1
302	как одной	1	1
303	любви к	1	1
304	мир в	1	1
305	мы обнаруживаем	1	1
306	по нашим	1	1
307	а если	2	1
308	времени в	1	1
309	политики в	1	1
310	не станем	2	1
311	что не	2	1
312	или иных	1	1
313	постановка проблемы	1	1
314	гораздо более	1	1
315	один из	4	1
316	более того	1	1
317	в столь	1	1
318	с лица	1	1
319	и о	1	1
320	революции в	1	1
321	интересующего нас	1	1
322	но тем	4	1
323	всего мира	1	1
324	и было	1	1
325	традиции как	2	1
326	однако с	1	1
327	и науке	1	1
328	культуры которые	1	1
329	уже в	2	1
330	в принципе	5	1
331	нам грудь	1	1
332	во всем	1	1
333	в начале	3	1
334	в полном	1	1
335	что мы	1	1
336	одна из	5	1
337	и те	1	1
338	и продолжает	1	1
339	ее собой	1	1
340	современного человека	1	1
341	в индивидуальном	1	1
342	мыслится как	3	1
343	что может	1	1
344	в рамках	4	1
345	в третьем	2	1
346	можно назвать	1	1
347	в сознании	1	1
348	ясен долгий	1	1
349	к которому	1	1
350	нам ясен	1	1
351	мысль о	1	1
352	выход в	1	1
353	всякой иной	1	1
354	особого рода	1	1
355	в новой	1	1
356	а к	2	1
357	но они	1	1
358	для всех	5	1
359	и иного	1	1
360	как по	1	1
361	русской культуры	1	1
362	страны где	1	1
363	и будет	1	1
364	и иных	2	1
365	татарской древней	1	1
366	долгий путь	1	1
367	и направляет	1	1
368	в исторической	1	1
369	еще в	4	1
370	она и	1	1
371	на себе	1	1
372	и где	1	1
373	тот же	2	1
374	ту же	2	1
375	а затем	2	1
376	с некоторыми	1	1
377	относится к	1	1
378	уже о	2	1
379	но за	1	1
380	в такой	2	1
381	не перед	1	1
382	состоит в	9	1
383	пространства и	1	1
384	поскольку являются	1	1
385	тогда как	9	1
386	на нет	1	1
387	и сам	2	1
388	в основе	2	1
389	и культуры	1	1
390	который не	1	1
391	него не	2	1
392	том числе	2	1
393	свое существование	2	1
394	каждого из	1	1
395	той же	2	1
396	нет ничего	1	1
397	где в	2	1
398	к этой	2	1
399	за пределы	1	1
400	путь стрелой	1	1
401	мы во	1	1
402	который в	1	1
403	в нашем	2	1
404	входя в	1	1
405	исходит из	1	1
406	к какой	1	1
407	от себя	1	1
408	в этот	1	1
409	на этом	2	1
410	однако не	1	1
411	для тех	1	1
412	на земле	1	1
413	истории в	1	1
414	культурно-исторического процесса	1	1
415	тех или	1	1
416	в новом	1	1
417	бытия и	1	1
418	отличие от	1	1
419	и т	2	1
420	от других	1	1
421	судьбу свою	1	1
