N	2gram	Losev_Prob_5	KulturaY
1	и т	1	33
2	в том	12	30
3	и в	30	24
4	потому что	13	23
5	том что	17	21
6	что в	5	17
7	того чтобы	2	17
8	для того	3	16
9	было бы	4	15
10	т д	1	14
11	точки зрения	10	14
12	в этом	17	14
13	может быть	7	13
14	все же	9	12
15	таким образом	13	12
16	в его	12	12
17	и не	12	12
18	не в	7	11
19	только в	9	11
20	вовсе не	8	10
21	хотя бы	2	10
22	у нас	7	10
23	в силу	5	10
24	в самом	5	10
25	не только	18	10
26	прежде всего	6	9
27	отношению к	2	9
28	самом деле	2	9
29	того что	3	9
30	то что	18	9
31	с точки	8	9
32	так как	6	9
33	о том	12	9
34	то обстоятельство	1	8
35	как раз	5	8
36	а только	1	8
37	то же	2	8
38	по отношению	2	8
39	тем что	2	8
40	уже не	6	8
41	а не	5	8
42	обстоятельство что	2	8
43	том чтобы	1	8
44	бы в	1	7
45	не может	5	7
46	связи с	7	7
47	вместе с	7	7
48	с помощью	2	7
49	в области	2	7
50	это не	2	7
51	в качестве	4	7
52	в них	2	7
53	с другой	6	7
54	так и	7	7
55	не менее	5	7
56	как бы	6	7
57	все эти	2	6
58	в которой	5	6
59	при этом	4	6
60	все это	1	6
61	в какой	2	6
62	мере в	2	6
63	мы имеем	2	6
64	но и	13	6
65	тогда когда	4	6
66	что такое	1	6
67	другой стороны	6	6
68	только потому	1	6
69	именно в	3	6
70	можно было	2	6
71	однако не	1	6
72	в ней	3	6
73	что он	7	6
74	и с	5	5
75	во всяком	2	5
76	и его	6	5
77	еще и	4	5
78	крайней мере	4	5
79	что это	1	5
80	с ним	3	5
81	и вовсе	1	5
82	а в	6	5
83	еще не	3	5
84	но не	7	5
85	между тем	2	5
86	что не	2	5
87	к тому	2	5
88	но уже	2	5
89	всяком случае	2	5
90	xix века	1	5
91	в виду	3	5
92	по крайней	4	5
93	не потому	1	5
94	этом отношении	1	5
95	с тем	5	5
96	и что	6	5
97	в результате	7	5
98	не просто	5	5
99	есть в	2	4
100	на то	2	4
101	того же	4	4
102	что они	3	4
103	и является	2	4
104	учение о	3	4
105	сих пор	2	4
106	в нем	6	4
107	там где	1	4
108	в тех	1	4
109	так что	11	4
110	того или	1	4
111	со стороны	1	4
112	в таких	2	4
113	что и	6	4
114	до сих	2	4
115	как в	2	4
116	в самой	3	4
117	следует что	1	4
118	из этих	1	4
119	же в	3	4
120	это и	1	4
121	не на	1	4
122	с этим	1	4
123	один из	2	4
124	и потому	1	4
125	тем не	5	4
126	с ними	1	4
127	так же	5	4
