N	3gram	Vinokur_St_1	DiskursI
1	в данном случае	6	6
2	в том что	17	6
3	то же время	4	5
4	как и в	2	5
5	по отношению к	3	4
6	в этом отношении	7	4
7	в то же	4	4
8	с одной стороны	2	4
9	так и в	4	3
10	не может быть	5	3
11	о том что	11	3
12	той или иной	1	3
13	в обоих случаях	1	2
14	в соответствии с	1	2
15	в этом случае	2	2
16	что же касается	3	2
17	с точки зрения	8	2
18	ни одно из	1	2
19	и не может	1	2
20	в первую очередь	2	2
21	в наше время	1	2
22	и то что	2	2
23	на мой взгляд	1	2
24	и мн др	3	2
25	содержит в себе	1	2
26	дело в том	4	2
27	в свое время	2	2
28	в другом месте	1	1
29	том что в	3	1
30	чем у пушкина	2	1
31	в той или	1	1
32	мы имеем дело	1	1
33	в самом деле	5	1
34	того или иного	4	1
35	друг от друга	1	1
36	с другой стороны	6	1
37	одних и тех	1	1
38	из двух или	1	1
39	и в то	1	1
40	жизни и смерти	1	1
41	что в одном	1	1
42	бы то ни	1	1
43	только то что	1	1
44	то что в	2	1
45	но это не	1	1
46	в той мере	1	1
47	а с другой	1	1
48	в этом утверждении	1	1
49	и тех же	1	1
50	и могут быть	1	1
51	в это время	1	1
52	в применении к	3	1
53	это в равной	1	1
54	говоря уже о	1	1
55	а также и	2	1
56	как будто бы	1	1
57	одно из двух	1	1
58	том что и	1	1
59	во втором случае	2	1
60	не в том	2	1
61	во всяком случае	6	1
62	мере в какой	2	1
63	такого рода в	1	1
64	ни в чем	1	1
65	в иных случаях	2	1
66	в одном из	1	1
67	но все эти	1	1
68	мысль о том	1	1
69	но не менее	1	1
70	в том числе	2	1
71	той мере в	1	1
72	тем не менее	2	1
73	но также и	4	1
74	по крайней мере	2	1
75	том числе и	2	1
76	речь идет о	2	1
77	не говоря уже	1	1
