N	3gram	Medvedev_F_1	VeschiIm
1	и т д	8	20
2	не может быть	5	18
3	это значит что	1	17
4	бы то ни	3	9
5	то ни было	1	9
6	т е в	1	7
7	в том что	1	6
8	в чем же	1	5
9	в свою очередь	6	5
10	тем не менее	1	5
11	с точки зрения	13	4
12	то же время	8	4
13	от того что	1	4
14	в то же	8	4
15	более или менее	6	3
16	и в то	1	3
17	вместе с тем	1	3
18	сама по себе	2	3
19	в отрыве от	1	3
20	не может не	1	2
21	этой точки зрения	1	2
22	но даже и	1	2
23	какого бы то	1	2
24	как бы ни	3	2
25	если оно не	1	2
26	с этой точки	1	2
27	в отдельности и	1	2
28	и в частности	2	2
29	в данном случае	1	2
30	можно говорить о	1	2
31	заключается в том	1	2
32	к тому что	1	2
33	так или иначе	1	2
34	и может быть	1	1
35	как она есть	1	1
36	таким образом чтобы	1	1
37	он должен быть	1	1
38	только и может	2	1
39	чего не может	1	1
40	на почве этого	1	1
41	понимания т е	1	1
42	между прочим и	1	1
43	со всей полнотой	1	1
44	как и во	1	1
45	и ни на	1	1
46	в этом смысле	1	1
47	должно было бы	1	1
48	одной стороны и	4	1
49	как раз и	1	1
50	было бы нелепо	3	1
51	до сих пор	6	1
52	и во всех	1	1
53	и не может	2	1
54	тот или иной	1	1
55	в зависимости от	2	1
56	сами по себе	2	1
57	в той же	1	1
58	что как бы	1	1
59	бы оно было	2	1
60	резко отличается от	1	1
61	вещей в их	2	1
62	и не в	2	1
63	она должна быть	1	1
64	может быть и	3	1
65	хотя бы и	1	1
66	что бы то	2	1
67	в применении к	2	1
68	в самом начале	1	1
69	так же как	1	1
70	или хотя бы	1	1
71	в том чтобы	2	1
72	но в то	2	1
73	ни к какому	1	1
74	с одной стороны	4	1
75	смысле этого слова	3	1
76	и в этом	2	1
77	и как бы	1	1
78	если она есть	1	1
79	т е на	1	1
80	эта точка зрения	1	1
81	социологии и т	1	1
82	с другой стороны	1	1
83	и пр и	2	1
84	тем более не	1	1
85	т е к	1	1
86	во всяком случае	4	1
87	мы не можем	2	1
88	вовсе не есть	1	1
89	т е они	1	1
90	должна быть и	1	1
91	в науке это	1	1
92	если бы оно	2	1
93	хотя бы в	1	1
94	не только не	2	1
95	если же они	1	1
96	вместо того чтобы	1	1
97	но все же	1	1
98	с этой стороны	1	1
99	нужно сказать что	1	1
100	не может и	1	1
101	что оно не	1	1
102	мы видим что	1	1
103	мы замечаем что	1	1
104	тех или иных	1	1
105	в отношении к	1	1
106	что было в	1	1
107	на то чтобы	1	1
108	что и в	1	1
