N	2gram	Savitsky_P_1	slovoVRo
1	и в	14	39
2	может быть	5	37
3	и т	3	35
4	не только	17	24
5	и не	12	22
6	но и	6	21
7	не может	4	20
8	в нем	3	19
9	в этом	10	16
10	все это	2	16
11	а не	2	14
12	отличие от	1	13
13	в пределах	8	13
14	во всех	2	12
15	в отличие	1	12
16	в истории	1	11
17	и с	2	9
18	не в	5	9
19	себя в	1	8
20	прежде всего	3	8
21	точки зрения	3	8
22	еще не	1	7
23	с его	1	7
24	в этих	1	7
25	никогда не	1	7
26	могут быть	3	7
27	в его	2	7
28	и потому	4	7
29	как бы	4	7
30	но не	3	6
31	в своем	4	6
32	все же	1	6
33	и к	4	6
34	но в	9	6
35	в них	2	6
36	как и	1	6
37	она не	1	6
38	в значительной	2	6
39	в большинстве	1	6
40	там где	1	6
41	например в	2	5
42	и слова	1	5
43	это не	3	5
44	том что	4	5
45	по себе	4	5
46	с другой	5	5
47	в том	9	5
48	с ними	3	5
49	с одной	3	5
50	одной стороны	3	5
51	или иной	1	5
52	большинстве случаев	1	5
53	только в	7	5
54	для нас	2	5
55	отношения к	2	4
56	и на	1	4
57	связанные с	1	4
58	то же	9	4
59	его в	1	4
60	и иных	1	4
61	в отношении	10	4
62	не менее	2	4
63	в то	7	4
64	одна из	2	4
65	же время	7	4
66	что оно	1	4
67	для этого	1	4
68	и других	2	4
69	на фоне	1	4
70	и мир	1	4
71	xix века	6	4
72	в основном	1	4
73	в смысле	6	4
74	а в	4	4
75	отношении к	5	4
76	должна быть	1	3
77	собственном смысле	1	3
78	говорить о	2	3
79	в собственном	1	3
80	стороны и	2	3
81	и как	3	3
82	бы и	1	3
83	не с	1	3
84	с точки	3	3
85	не столько	2	3
86	нем в	1	3
87	в ней	6	3
88	а также	4	3
89	между тем	3	3
90	что и	1	3
91	в свете	1	3
92	этого процесса	1	3
93	точек зрения	2	3
94	как к	1	3
95	что в	4	3
96	хотя бы	8	3
97	одновременно и	1	3
98	во всяком	1	3
99	можно говорить	1	2
100	также и	1	2
101	в сфере	2	2
102	и само	1	2
103	мы не	3	2
104	с ее	1	2
105	конечно и	1	2
106	подчеркнуть что	1	2
107	но как	1	2
108	не все	1	2
109	из важнейших	2	2
110	не входят	1	2
111	с этим	2	2
112	стилю и	1	2
113	хотя и	3	2
114	более или	1	2
115	в себе	3	2
116	на территории	1	2
117	т д	1	2
118	в виде	2	2
119	и более	1	2
120	далеко не	1	2
121	рождается и	1	2
122	или менее	1	2
123	и другие	1	2
124	и при	1	2
125	на каждом	1	2
126	в историческом	1	2
127	в идеологическом	1	2
128	тогда когда	1	2
129	того чтобы	1	2
130	входят в	1	2
131	в области	11	2
132	и другим	1	2
133	слова о	1	2
134	должен быть	1	2
135	проблема эта	1	2
136	в себя	1	2
137	в рамки	1	2
138	стремиться к	1	2
139	те же	1	2
140	особенно в	1	2
141	и здесь	1	2
142	притом в	1	2
143	в различных	1	2
144	может не	1	2
145	еще более	2	2
146	ни к	1	2
147	всяком случае	1	2
148	именно на	1	2
149	уже в	1	2
150	в прошлом	1	2
151	широты и	1	2
152	для того	3	2
153	то что	4	2
154	не было	2	2
155	именно как	2	2
156	именно в	2	2
157	них и	1	2
158	с которым	1	2
159	в одно	1	2
160	вместе с	1	2
161	и особенно	1	2
162	эта идея	2	2
163	в данном	1	2
164	испытания и	2	2
165	существенно и	1	2
166	дело идет	1	2
167	она может	1	2
168	в результате	1	2
169	может и	2	2
170	и внутренне	1	2
171	они не	1	2
172	как известно	1	1
173	от этой	1	1
174	пусть не	1	1
175	и есть	2	1
176	в законченные	1	1
177	по преимуществу	1	1
178	обособления и	1	1
179	и творческой	1	1
180	поскольку она	1	1
181	есть не	2	1
182	и о	5	1
183	что уже	1	1
184	место в	1	1
185	мир с	1	1
186	к началу	2	1
187	к востоку	1	1
188	так называемые	2	1
189	в судьбах	6	1
190	литературы и	1	1
191	не нужно	2	1
192	что его	1	1
193	процесс этот	1	1
194	бы она	1	1
195	и главное	1	1
196	и разных	1	1
197	различия между	1	1
198	к ним	1	1
199	не просто	1	1
200	что проблема	1	1
201	не два	1	1
202	применении к	1	1
203	могли бы	1	1
204	и национальные	1	1
205	политического и	1	1
206	в самом	1	1
207	в этой	1	1
208	на то	1	1
209	если он	1	1
210	философской и	1	1
211	и только	1	1
212	и еще	1	1
213	с современным	1	1
214	и по	1	1
215	с собой	1	1
216	одно и	1	1
217	в каждом	1	1
218	в мире	2	1
219	на этой	1	1
220	и тем	2	1
221	и творческое	1	1
222	на основании	1	1
223	в действии	1	1
224	ведет к	1	1
225	воля и	1	1
226	может идти	1	1
227	в эту	2	1
228	и действенного	1	1
229	работы в	1	1
230	мысль и	1	1
231	выработанные в	1	1
232	и без	3	1
233	прийти к	1	1
234	мысли и	1	1
235	исключительно на	1	1
236	он живет	1	1
237	пути который	1	1
238	как проблема	1	1
239	и достоевского	2	1
240	и вся	1	1
241	предшествующего развития	1	1
242	xviii века	1	1
243	лиц и	1	1
244	с которой	1	1
245	не о	2	1
246	и притом	1	1
247	исторической и	1	1
248	и уже	1	1
249	и сущности	1	1
250	она ни	2	1
251	в русском	2	1
252	где уже	1	1
253	создается в	2	1
254	прежде чем	1	1
255	имеет два	1	1
256	в исторические	1	1
257	числе и	1	1
258	в недрах	2	1
259	всего что	1	1
260	но два	1	1
261	она вообще	1	1
262	что при	1	1
263	эти явления	1	1
