N	3gram	Berdyaev_M_2	Vladivir
1	в письме к	1	8
2	о том что	2	7
3	в том что	2	7
4	на то что	1	4
5	том что в	1	3
6	что он не	1	3
7	в конце концов	1	3
8	не может быть	8	3
9	он так и	1	2
10	у нас нет	1	2
11	так как он	2	2
12	был для него	2	2
13	что у него	1	2
14	для того чтобы	4	2
15	том что он	1	2
16	что и в	4	2
17	я никогда не	2	1
18	что иное как	3	1
19	а не к	1	1
20	а следовательно и	1	1
21	в чем не	2	1
22	и всю жизнь	1	1
23	и он был	1	1
24	без которых невозможна	1	1
25	потому что в	1	1
26	и той же	2	1
27	не верил в	1	1
28	так и не	1	1
29	было для него	1	1
30	в этой борьбе	1	1
31	бога и в	2	1
32	знаю что он	1	1
33	своего отца и	1	1
34	но и мир	1	1
35	он никогда не	1	1
36	его жизнь в	1	1
37	не способен к	4	1
38	не потому что	1	1
39	смысле этого слова	1	1
40	в обычном смысле	1	1
41	потому что она	3	1
42	и в этом	3	1
43	из любви к	1	1
44	совсем не было	1	1
45	что он сам	1	1
46	но и его	1	1
47	всю мою жизнь	1	1
48	со всеми его	1	1
49	он был также	1	1
50	в разных местах	1	1
51	одной и той	2	1
52	на одной и	1	1
53	есть не что	3	1
54	ни в чем	2	1
55	это и есть	3	1
56	но он не	1	1
57	у него есть	1	1
58	и никогда не	2	1
59	к которой он	1	1
60	всякого человека в	1	1
61	по своей основной	1	1
62	в бога и	2	1
63	друг друга не	1	1
64	но это не	2	1
65	к тому что	3	1
66	не что иное	3	1
67	в россии и	2	1
68	в этом отношении	1	1
69	также и в	2	1
