N	2gram	Nazirov_Vr_1	Literetu
1	и в	8	19
2	может быть	4	17
3	своего рода	1	13
4	то же	5	12
5	и не	5	11
6	как и	6	10
7	в том	3	10
8	и т.п	2	10
9	но и	7	10
10	тогда как	2	9
11	в этом	8	9
12	в то	5	9
13	в мире	2	9
14	же время	5	9
15	не может	2	9
16	не только	9	8
17	и даже	6	8
18	с другой	1	8
19	том что	3	7
20	так и	1	7
21	и т.д	1	7
22	то что	7	7
23	в себе	2	6
24	при этом	4	6
25	однако в	1	6
26	не менее	2	6
27	себя в	1	6
28	в году	18	5
29	я не	3	5
30	столь же	2	5
31	но не	1	5
32	он не	3	5
33	одна из	2	5
34	так в	2	5
35	в качестве	1	5
36	для всех	1	5
37	того что	1	5
38	вместе с	2	5
39	того же	1	4
40	отнюдь не	2	4
41	едва ли	1	4
42	человека в	3	4
43	для него	2	4
44	точки зрения	2	4
45	в поэме	1	4
46	в русской	3	4
47	ли не	1	4
48	в ней	4	4
49	еще в	1	4
50	в его	3	4
51	один из	1	4
52	каждый из	1	4
53	тем что	3	4
54	прежде всего	1	4
55	в частности	1	4
56	другой стороны	1	4
57	со мной	1	4
58	жизни и	1	4
59	что в	7	4
60	речь идет	3	3
61	одним из	3	3
62	и то	2	3
63	идет о	1	3
64	и он	2	3
65	во всех	1	3
66	как правило	1	3
67	как к	1	3
68	в этой	2	3
69	в нем	6	3
70	в глазах	2	3
71	такой же	1	3
72	в их	1	3
73	права на	2	3
74	с точки	2	3
75	тем самым	1	3
76	вплоть до	1	3
77	никогда не	2	3
78	ничего не	1	3
79	х годов	4	3
80	и его	3	3
81	не с	1	3
82	и с	6	3
83	быть может	1	3
84	но с	1	3
85	а в	2	3
86	этом отношении	1	3
87	не знали	1	3
88	врага в	2	3
89	но это	2	3
90	в начале	6	3
91	на свою	1	3
92	и как	3	3
93	что он	4	3
94	о себе	3	3
95	как на	1	3
96	себя как	1	2
97	же как	2	2
98	е годы	1	2
99	той же	1	2
100	с ее	1	2
101	эти строки	1	2
102	но как	2	2
103	если в	1	2
104	есть по	1	2
105	в е	1	2
106	в истории	4	2
107	все же	6	2
108	и наконец	1	2
109	но в	6	2
110	то в	1	2
111	в целом	1	2
112	как он	1	2
113	о которой	2	2
114	и сам	1	2
115	одно и	1	2
116	в жизни	1	2
117	в них	2	2
118	все равно	1	2
119	соответствии с	1	2
120	а за	1	2
121	он и	1	2
122	как бы	4	2
123	что я	2	2
124	по преимуществу	1	2
125	одном из	1	2
126	тем не	1	2
127	по крайней	1	2
128	в бою	1	2
129	могут быть	1	2
130	в виду	4	2
131	в ее	1	2
132	это как	1	2
133	еще не	2	2
134	о том	4	2
135	и что	8	2
136	для нас	4	2
137	а также	2	2
138	русской литературе	3	2
139	крайней мере	1	2
140	в него	2	2
141	было бы	1	2
142	друг друга	1	2
143	потому что	1	2
144	уже не	2	2
145	уже в	4	2
146	из них	2	2
147	в одном	1	2
148	в конце	3	2
149	у него	5	2
150	как раз	2	2
151	я вижу	1	2
152	выше и	1	2
