N	2gram	Medvedev_I_1	VerxiiNi
1	и в	1	26
2	в этом	2	15
3	и с	3	10
4	после смерти	1	10
5	что в	2	9
6	с другой	1	8
7	и не	2	8
8	а с	1	7
9	того же	1	6
10	все эти	1	6
11	так и	1	6
12	все это	1	6
13	того чтобы	1	5
14	никогда не	1	5
15	для того	1	5
16	он не	2	4
17	а в	1	4
18	если бы	1	3
19	как о	1	3
20	и о	1	3
21	в значительной	1	3
22	того что	1	3
23	для него	1	3
24	отношению к	1	3
25	них не	1	2
26	в них	1	2
27	вплоть до	1	2
28	значительной мере	1	2
29	а также	1	2
30	у всех	1	2
31	со всеми	1	2
32	по существу	1	2
33	только для	1	2
34	но когда	1	2
35	в эту	1	2
36	только что	1	2
37	жизни и	1	2
38	нам в	1	1
39	ходить в	1	1
40	художественном творчестве	1	1
41	к нам	1	1
42	по отношению	1	1
43	себя в	1	1
44	это был	1	1
45	от этого	1	1
46	и тот	1	1
47	в первую	1	1
48	от нее	1	1
49	а по	1	1
50	это было	1	1
51	первую очередь	1	1
52	этим и	1	1
53	ничего в	1	1
54	а отсюда	1	1
55	ничего не	2	1
56	другой стороны	1	1
57	как только	1	1
58	когда его	1	1
59	не так	1	1
60	могло бы	1	1
61	тем что	1	1
62	бы в	1	1
