N	3gram	Losev_Vesc_1	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	3	7
3	с точки зрения	3	6
4	во всяком случае	2	6
5	более или менее	1	5
6	до сих пор	1	5
7	по крайней мере	4	5
8	друг с другом	1	5
9	для того чтобы	2	5
10	о том что	4	4
11	так или иначе	4	3
12	а так как	2	3
13	в конце концов	2	3
14	так же как	1	3
15	тем не менее	3	3
16	в том что	4	3
17	то ясно что	1	2
18	и потому что	1	2
19	то же самое	1	2
20	в этом отношении	1	2
21	с тех пор	1	2
22	с этой точки	1	2
23	то ни было	4	2
24	по сравнению с	6	2
25	бы то ни	4	2
26	этой точки зрения	1	2
27	но и для	1	2
28	можно сказать что	3	2
29	на то что	2	2
30	есть как бы	3	2
31	в то же	1	2
32	и того же	1	1
33	не может не	1	1
34	и есть то	2	1
35	есть один из	1	1
36	ничем не отличаются	1	1
37	психологической точки зрения	1	1
38	в самом деле	4	1
39	одного и того	1	1
40	свидетельствует о том	3	1
41	крайней мере в	1	1
42	о том как	1	1
43	а следовательно и	1	1
44	сами по себе	3	1
45	тех пор как	1	1
46	в одном и	1	1
47	принято во внимание	1	1
48	с тем что	1	1
49	от нее не	1	1
50	и сил на	1	1
51	совершенно самостоятельные и	1	1
52	с ними в	1	1
53	станет ясным что	1	1
54	но и всякий	1	1
55	ясно что и	1	1
56	чтобы она была	1	1
57	в том или	1	1
58	в данном случае	2	1
59	не потому что	4	1
60	в первом случае	2	1
61	это однако не	1	1
62	если подойти к	1	1
63	не в том	1	1
64	с тем или	1	1
65	все что мы	1	1
66	еще и потому	1	1
67	с другой стороны	2	1
68	что именно надо	1	1
69	мы видели что	1	1
70	а в том	1	1
71	только то что	2	1
72	не может быть	6	1
73	то не только	2	1
74	в то время	1	1
75	и что она	1	1
76	в свою очередь	4	1
77	это и есть	1	1
78	но совершенно ясно	1	1
79	не только не	2	1
80	что это есть	3	1
81	и не потому	1	1
82	при таких условиях	1	1
83	мы видим что	1	1
84	и что он	1	1
85	в себе не	1	1
86	что и в	1	1
87	только тогда когда	2	1
