N	4gram	Bakhtin_Pr_3	formyVre
1	в то же время	12	6
2	одного и того же	1	5
3	и в то же	5	4
4	одно и то же	1	3
5	как мы уже говорили	1	3
6	вполне понятно что в	1	2
7	одних и тех же	1	2
8	ни в чем не	2	2
9	и т п но	1	1
10	в той или иной	2	1
11	и прежде всего в	1	1
12	бы он ни был	3	1
13	на протяжении всего романа	2	1
14	все более и более	1	1
15	не может быть и	1	1
16	или во всяком случае	1	1
17	той или иной степени	1	1
18	самому и к другому	3	1
19	с самим собою в	1	1
20	каков бы он ни	1	1
21	то же время он	1	1
22	но в то же	3	1
23	может быть и речи	1	1
24	к себе самому и	4	1
25	себе самому и к	4	1
