N	3gram	Bakhtin_Pr_2	Mirosoze
1	не может быть	4	17
2	в творчестве достоевского	2	4
3	у достоевского нет	1	4
4	но и в	1	4
5	мы увидим что	1	3
6	и в нем	1	3
7	не может не	1	2
8	в своей записной	2	2
9	прежде всего в	1	2
10	по отношению к	5	2
11	к учению о	1	2
12	до сих пор	7	2
13	и не может	4	2
14	хотя бы и	1	2
15	достоевский прежде всего	1	2
16	что он не	1	2
17	человека он не	1	2
18	в центре его	1	2
19	он никогда не	1	2
20	то время как	2	2
21	в конце концов	2	2
22	в нем не	1	2
23	он живет в	1	2
24	достоевского прежде всего	1	2
25	в этом он	1	2
26	в то время	2	2
27	никогда не может	2	2
28	все герои достоевского	1	2
29	своей записной книжке	2	2
30	он не только	1	2
31	прежде всего видит	1	1
32	в образе христа	1	1
33	очень важное место	1	1
34	но она не	1	1
35	нельзя понять его	1	1
36	а вовсе не	1	1
37	ивана карамазова в	1	1
38	в самом деле	4	1
39	себе что он	1	1
40	своем художественном творчестве	1	1
41	к нему не	1	1
42	достоевский в своем	1	1
43	как и все	4	1
44	не может найти	1	1
45	только может быть	1	1
46	в отличие от	4	1
47	в романах достоевского	2	1
48	у него не	1	1
49	и т п	9	1
50	униженных и оскорбленных	1	1
51	не знает что	1	1
52	у него нет	1	1
53	может быть и	2	1
54	иное отношение к	1	1
55	в своем художественном	1	1
56	до конца и	1	1
57	не может уже	1	1
58	и по ним	1	1
59	отношению к нему	1	1
60	в значительной степени	1	1
61	униженным и оскорбленным	1	1
62	для него и	1	1
63	входит в содержание	1	1
64	человека в человеке	2	1
65	герой из подполья	1	1
66	друг к другу	2	1
67	во всяком случае	1	1
68	одна и та	2	1
69	и в самой	2	1
70	как бы в	4	1
71	в отношении к	2	1
72	что до сих	1	1
73	между тем как	1	1
74	не мог бы	1	1
75	приводит к себе	1	1
76	как бы не	1	1
77	ставит нас перед	1	1
78	в себе и	1	1
79	и в том	1	1
80	занимает очень важное	1	1
81	к униженным и	1	1
82	между этими двумя	1	1
83	в него как	2	1
84	всего того что	1	1
85	знает может быть	1	1
86	у достоевского он	1	1
87	о том что	1	1
88	но не в	1	1
89	и ту же	1	1
90	есть прежде всего	1	1
91	можно было бы	3	1
92	и та же	2	1
93	одну и ту	1	1
94	в том что	1	1
95	достоевского в этом	1	1
96	все это не	1	1
97	иное чем у	1	1
98	центре его творчества	1	1
