N	4gram	Vinokur_St_3	Psycholo
1	в то время как	4	5
2	с этой точки зрения	1	4
3	в том чтобы показать	1	3
4	одной и той же	1	3
5	заключается в том что	2	3
6	не в том чтобы	1	2
7	и в самом деле	1	2
8	задача состоит в том	1	1
9	и тем не менее	2	1
10	что у него есть	1	1
11	и т п в	1	1
12	если принять во внимание	1	1
13	дело не в том	1	1
14	скупой рыцарь моцарт и	1	1
15	в одном из писем	1	1
16	на вопрос о том	1	1
17	и тот и другой	1	1
18	не в том что	1	1
19	состоит в том что	2	1
20	состоит в том чтобы	1	1
21	и т п но	1	1
22	то же самое и	1	1
23	и в конце концов	1	1
24	о том что он	1	1
25	рыцарь моцарт и сальери	1	1
