N	3gram	Vygotskiy__2	OGranits
1	с точки зрения	10	5
2	не может быть	8	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	одно и то	1	3
6	что иное как	1	2
7	но так как	2	2
8	в самом деле	11	2
9	в зависимости от	1	2
10	в данном случае	4	2
11	с одной стороны	1	2
12	и то же	1	2
13	с другой стороны	2	2
14	того или иного	2	2
15	ничего общего с	1	2
16	есть не что	1	2
17	с самого начала	1	2
18	не что иное	1	2
19	в том что	17	2
20	точки зрения и	1	1
21	с его точки	1	1
22	том что в	2	1
23	один и тот	1	1
24	литературного произведения как	1	1
25	только потому что	2	1
26	само собой разумеется	1	1
27	что в основе	4	1
28	в чем же	1	1
29	этой точки зрения	2	1
30	мы не сумеем	1	1
31	более или менее	1	1
32	на самом деле	5	1
33	подобно тому как	2	1
34	переходе от одного	1	1
35	те же самые	2	1
36	то же самое	6	1
37	его точки зрения	1	1
38	художественного произведения и	1	1
39	которые не только	1	1
40	и не может	2	1
41	в сознании и	2	1
42	в отличие от	1	1
43	не было бы	1	1
44	только то что	1	1
45	в этом отношении	5	1
46	нужно сказать что	1	1
47	можно было бы	4	1
48	с этой точки	1	1
49	то или иное	1	1
50	по себе а	1	1
51	и тем что	2	1
52	в процессе творчества	1	1
53	что те или	1	1
54	в узком смысле	1	1
55	для того чтобы	13	1
56	так же как	4	1
57	ложное представление о	1	1
58	может быть не	1	1
59	и тот же	1	1
60	состоит в том	2	1
61	с этим анализом	1	1
62	тем не менее	4	1
63	может быть объяснено	1	1
64	а в своей	1	1
65	в одном случае	1	1
66	в связи с	1	1
67	а не как	1	1
68	само по себе	3	1
69	того же автора	1	1
70	и вопроса о	1	1
71	указать на то	1	1
72	то же время	2	1
73	собой разумеется что	1	1
74	узком смысле слова	1	1
75	так же точно	7	1
76	при таком подходе	1	1
77	может быть это	1	1
78	те или иные	1	1
79	и никогда не	2	1
80	не только на	1	1
81	так художественное произведение	1	1
82	в конечном счете	3	1
83	выходит за пределы	1	1
84	что до тех	1	1
85	несмотря на все	3	1
86	ключ ко всем	1	1
87	ждет еще своего	1	1
88	их воздействия на	1	1
89	элемента в целом	1	1
90	на то что	6	1
91	на всем протяжении	1	1
92	время мы имеем	1	1
93	в то же	2	1
94	к тому что	2	1
95	к одному к	1	1
96	как и в	2	1
97	и подобно тому	1	1
